Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.0089,0.8823,0.1088,1
2,0.0,0.1251,0.8749,1
3,0.0,0.079,0.921,1
4,0.0,0.129,0.871,1
5,0.0,0.1185,0.8815,1
6,0.0,0.1618,0.8382,1
7,0.0,0.1545,0.8455,1
8,0.0,0.1686,0.8314,1
9,0.0,0.1712,0.8288,1
10,0.0,0.1693,0.8307,1
11,0.0,0.1817,0.8183,1
12,0.0,0.1731,0.8269,1
13,0.0,0.1859,0.8141,1
14,0.0,0.1777,0.8223,1
15,0.0,0.1757,0.8243,1
16,0.0,0.1907,0.8093,1
17,0.0,0.1626,0.8374,1
18,0.0,0.1946,0.8054,1
19,0.0,0.1678,0.8322,1
20,0.0,0.1835,0.8165,1
21,0.0,0.1695,0.8305,1
22,0.0,0.188,0.812,1
23,0.0,0.1715,0.8285,1
24,0.0,0.199,0.801,1
25,0.0,0.165,0.835,1
26,0.0,0.1951,0.8049,1
27,0.0,0.1648,0.8352,1
28,0.0,0.1973,0.8027,1
29,0.0,0.1763,0.8237,1
30,0.0,0.204,0.796,1
31,0.0,0.1779,0.8221,1
32,0.0,0.1878,0.8122,1
33,0.0,0.1805,0.8195,1
34,0.0,0.2044,0.7956,1
35,0.0,0.1737,0.8263,1
36,0.0,0.1917,0.8083,1
37,0.0,0.1881,0.8119,1
38,0.0,0.2063,0.7937,1
39,0.0,0.1824,0.8176,1
40,0.0,0.2087,0.7913,1
41,0.0,0.1785,0.8215,1
42,0.0,0.2091,0.7909,1
43,0.0,0.186,0.814,1
44,0.0,0.2107,0.7893,1
45,0.0,0.1825,0.8175,1
46,0.0,0.2168,0.7832,1
47,0.0,0.1854,0.8146,1
48,0.0,0.2228,0.7772,1
49,0.0,0.1753,0.8247,1
50,0.0,0.2286,0.7714,1
51,0.0,0.1778,0.8222,1
52,0.0,0.2292,0.7708,1
53,0.0,0.1811,0.8189,1
54,0.0,0.2257,0.7743,1
55,0.0,0.1829,0.8171,1
56,0.0,0.2304,0.7696,1
57,0.0,0.183,0.817,1
58,0.0,0.2409,0.7591,1
59,0.0,0.1795,0.8205,1
60,0.0,0.2355,0.7645,1
61,0.0,0.1816,0.8184,1
62,0.0,0.2371,0.7629,1
63,0.0,0.1774,0.8226,1
64,0.0,0.2354,0.7646,1
65,0.0,0.1869,0.8131,1
66,0.0,0.2358,0.7642,1
67,0.0,0.1851,0.8149,1
68,0.0,0.2419,0.7581,1
69,0.0,0.1826,0.8174,1
70,0.0,0.2311,0.7689,1
71,0.0,0.1935,0.8065,1
72,0.0,0.2365,0.7635,1
73,0.0,0.1911,0.8089,1
74,0.0,0.2438,0.7562,1
75,0.0,0.1867,0.8133,1
76,0.0,0.2352,0.7648,1
77,0.0,0.1896,0.8104,1
78,0.0,0.2454,0.7546,1
79,0.0,0.186,0.814,1
80,0.0,0.228,0.772,1
81,0.0,0.1934,0.8066,1
82,0.0,0.2369,0.7631,1
83,0.0,0.1941,0.8059,1
84,0.0,0.2331,0.7669,1
85,0.0,0.1987,0.8013,1
86,0.0,0.2393,0.7607,1
87,0.0,0.197,0.803,1
88,0.0,0.2366,0.7634,1
89,0.0,0.2001,0.7999,1
90,0.0,0.2376,0.7624,1
91,0.0,0.2017,0.7983,1
92,0.0,0.239,0.761,1
93,0.0,0.1989,0.8011,1
94,0.0,0.2396,0.7604,1
95,0.0,0.2028,0.7972,1
96,0.0,0.2358,0.7642,1
97,0.0,0.2011,0.7989,1
98,0.0,0.2422,0.7578,1
99,0.0,0.2008,0.7992,1
100,0.0,0.2365,0.7635,1
101,0.0,0.2035,0.7965,1
102,0.0,0.2424,0.7576,1
103,0.0,0.1984,0.8016,1
104,0.0,0.2398,0.7602,1
105,0.0,0.2016,0.7984,1
106,0.0,0.2414,0.7586,1
107,0.0,0.201,0.799,1
108,0.0,0.2399,0.7601,1
109,0.0,0.2023,0.7977,1
110,0.0,0.2406,0.7594,1
111,0.0,0.2037,0.7963,1
112,0.0,0.2441,0.7559,1
113,0.0,0.2038,0.7962,1
114,0.0,0.2455,0.7545,1
115,0.0,0.202,0.798,1
116,0.0,0.2441,0.7559,1
117,0.0,0.2073,0.7927,1
118,0.0,0.2485,0.7515,1
119,0.0,0.2049,0.7951,1
120,0.0,0.2489,0.7511,1
121,0.0,0.2032,0.7968,1
122,0.0,0.2455,0.7545,1
123,0.0,0.206,0.794,1
124,0.0,0.2499,0.7501,1
125,0.0,0.2039,0.7961,1
126,0.0,0.247,0.753,1
127,0.0,0.2047,0.7953,1
128,0.0,0.2448,0.7552,1
129,0.0,0.2081,0.7919,1
130,0.0,0.2427,0.7573,1
131,0.0,0.2113,0.7887,1
132,0.0,0.2462,0.7538,1
133,0.0,0.2106,0.7894,1
134,0.0,0.2502,0.7498,1
135,0.0,0.2079,0.7921,1
136,0.0,0.2481,0.7519,1
137,0.0,0.209,0.791,1
