Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,11.501811594202898,16.88279075396345,18.10335386721424,16.9126,1
2,0.0,19.78123379989632,20.42181885763846,20.29825,1
3,0.0,10.767885532591414,9.510511151424607,9.5896,1
4,0.0,7.864098221845893,6.15506293230525,6.3569,1
5,0.0,9.12020725388601,8.191698948533482,8.2813,1
6,0.0,7.906905890318213,7.586941217881027,7.6342,1
7,0.0,8.567590987868284,9.529843997286909,9.4188,1
8,0.0,7.933743169398907,8.428537956888473,8.3561,1
9,0.0,8.481087470449173,9.522334211430534,9.3902,1
10,0.0,8.17551724137931,8.85046783625731,8.7526,1
11,0.0,8.426421404682275,9.456610631531122,9.3334,1
12,0.0,8.207572684246113,8.554160309822791,8.5029,1
13,0.0,8.55350553505535,9.607518796992482,9.4647,1
14,0.0,8.146185010128292,9.184587392886488,9.0308,1
15,0.0,8.356518282988871,9.610901395561656,9.4531,1
16,0.0,7.988243938280676,8.794189142261835,8.6845,1
17,0.0,8.418803418803419,9.128773097670148,9.0374,1
18,0.0,8.341594827586206,8.86901719330855,8.7956,1
19,0.0,8.35693215339233,9.2866728366497,9.1606,1
20,0.0,8.185266229029905,9.201761501912157,9.0624,1
21,0.0,8.324107793153678,9.199258143039295,9.0791,1
22,0.0,8.344579226686884,9.197615482087317,9.0851,1
23,0.0,8.360977288368892,8.999239499239499,8.9065,1
24,0.0,8.371919342793129,9.482854173882924,9.3341,1
25,0.0,8.190776376907763,9.162781113858472,9.0163,1
26,0.0,8.479243884358784,9.728528493815745,9.56,1
27,0.0,8.037296898079763,9.159090909090908,9.0072,1
28,0.0,8.165451895043732,9.192280945757997,9.0514,1
29,0.0,8.269781461944236,9.225412198777816,9.0986,1
30,0.0,8.223973607038124,9.048691523853636,8.9362,1
31,0.0,8.288637967537051,9.178492368635675,9.0524,1
32,0.0,8.344436310395315,9.402652304841325,9.2581,1
33,0.0,8.211756373937677,9.239986027014439,9.0948,1
34,0.0,8.354368932038835,9.411211176538506,9.2697,1
35,0.0,8.22303409881698,9.127934135232978,8.9979,1
36,0.0,8.32256867112101,9.475730960360568,9.3204,1
37,0.0,8.37626092804304,9.121637495594973,9.0108,1
38,0.0,8.435381355932204,9.667695712954334,9.4932,1
39,0.0,8.16915422885572,9.423018736180612,9.2466,1
40,0.0,8.262443438914028,9.388863269541158,9.2395,1
41,0.0,8.178796361091672,9.094329716485824,8.9635,1
42,0.0,8.234480179506358,9.450940782638808,9.2883,1
43,0.0,8.187590187590187,9.12038541908521,8.9911,1
44,0.0,8.340925524222705,9.249796913078798,9.1241,1
45,0.0,8.340014847809949,9.226742170345545,9.1073,1
46,0.0,8.219817767653758,9.107969595761833,8.991,1
47,0.0,8.1332651670075,9.057248330012891,8.9217,1
48,0.0,8.301465201465202,9.62530399536769,9.4446,1
49,0.0,8.039971448965025,9.260146528666123,9.0892,1
50,0.0,8.343727072633897,9.352610860252403,9.2151,1
51,0.0,8.14989939637827,9.27341638265366,9.1059,1
52,0.0,8.212992125984252,9.73991981672394,9.546,1
53,0.0,8.153950953678475,8.870604781997187,8.7654,1
54,0.0,8.534005979073244,9.579946894481644,9.44,1
55,0.0,8.35618846694796,9.105677314059221,8.9991,1
56,0.0,8.392116182572614,9.448445171849427,9.2957,1
57,0.0,8.240089753178758,9.54888606718227,9.3739,1
58,0.0,8.254416961130742,9.141409435061153,9.0159,1
59,0.0,8.362116991643454,9.410088743577768,9.2596,1
60,0.0,8.464472700074793,9.452960868059563,9.3208,1
61,0.0,8.260445682451254,9.106492293320878,8.985,1
62,0.0,8.440459610027855,9.484878561419897,9.3349,1
63,0.0,8.35933147632312,9.4760625875759,9.3157,1
64,0.0,8.219801223241591,9.445754716981131,9.2854,1
65,0.0,8.323232323232324,8.990712793127466,8.8982,1
66,0.0,8.353214285714285,9.294593023255814,9.1628,1
67,0.0,8.29757531227039,9.32550063664776,9.1856,1
68,0.0,8.380547337278106,9.158244680851064,9.0531,1
69,0.0,8.25170998632011,9.222885921761536,9.0809,1
70,0.0,8.35676215856096,9.628838686904341,9.4379,1
71,0.0,8.344696969696969,9.75126728110599,9.5656,1
72,0.0,8.152719665271967,9.06490777492412,8.9341,1
73,0.0,8.47380073800738,9.472874493927126,9.3375,1
74,0.0,8.382869249394673,9.230534259702923,9.0905,1
75,0.0,8.461321514907333,10.272576778171024,10.0478,1
76,0.0,8.025547445255475,8.75388180764774,8.6541,1
77,0.0,8.467279411764705,9.226331018518518,9.1231,1
78,0.0,8.270965468639888,9.200850716699685,9.0689,1
79,0.0,8.359495444989488,9.440569228974688,9.2863,1
80,0.0,8.264642857142857,9.499941860465116,9.327,1
81,0.0,8.317988668555241,9.388681881695389,9.2375,1
82,0.0,8.455244755244756,9.415752625437573,9.2784,1
83,0.0,8.494986631016042,9.46642756349953,9.3211,1
84,0.0,8.265918958031838,9.723311673242051,9.5219,1
85,0.0,8.160204081632653,9.321629542790152,9.1509,1
86,0.0,8.419596110695586,9.585709338566316,9.4298,1
87,0.0,8.144276901987663,9.143835616438356,8.998,1
88,0.0,8.36692689850958,9.601908974508206,9.4279,1
89,0.0,8.220687331536388,9.446629873179896,9.2647,1
90,0.0,8.371616932685635,9.69733613739923,9.5063,1
91,0.0,8.232286340394449,9.51372957942301,9.3383,1
92,0.0,8.30813953488372,9.229359925788497,9.1026,1
93,0.0,8.298333333333334,9.279823529411765,9.1326,1
94,0.0,8.4285140562249,9.650885208452314,9.4987,1
95,0.0,8.153225806451612,8.771810123629578,8.6836,1
96,0.0,8.410197869101978,9.432304858392817,9.298,1
97,0.0,8.097923875432526,9.06937463471654,8.929,1
98,0.0,8.367540029112082,9.527359146765592,9.368,1
99,0.0,8.259129213483146,9.286380597014926,9.1401,1
100,0.0,8.33068417415342,9.49134806500643,9.3234,1
101,0.0,8.423829489867225,9.545629595051931,9.3851,1
102,0.0,8.271954674220963,9.51525384257103,9.3397,1
103,0.0,8.371523178807948,9.472202591283864,9.306,1
104,0.0,8.419485294117647,9.799479166666666,9.6118,1
105,0.0,8.248560460652591,9.262237762237762,9.1038,1
106,0.0,8.3983771251932,9.977659085688032,9.7733,1
107,0.0,8.034529451591062,9.01654347060894,8.8715,1
108,0.0,8.3928046989721,9.664505672609401,9.4913,1
109,0.0,8.134253028263796,9.265738783180643,9.0976,1
110,0.0,8.321646341463415,9.670695211786372,9.4937,1
111,0.0,8.166886109282423,9.061018747789175,8.9252,1
112,0.0,8.507159005275057,9.82013144240747,9.6459,1
113,0.0,8.293388429752065,9.092419279363593,8.9764,1
114,0.0,8.331000699790064,9.570645198926613,9.3935,1
115,0.0,8.356993736951983,9.49410253415859,9.3307,1
116,0.0,8.238030095759234,9.521667837901148,9.334,1
117,0.0,8.255382331106162,9.62059401363689,9.4367,1
118,0.0,8.255753526354862,9.114122269733041,8.9985,1
119,0.0,8.327095808383234,9.103416435826409,8.9997,1
120,0.0,8.373663101604278,9.101364063969896,8.9925,1
121,0.0,8.393562545720556,9.698482566894475,9.5201,1
122,0.0,8.341445427728614,9.213905599259602,9.0956,1
123,0.0,8.225982532751091,9.170704845814978,9.0409,1
124,0.0,8.231657608695652,9.325281425891182,9.1643,1
125,0.0,8.377730796335447,9.643980888008391,9.4643,1
126,0.0,8.257586705202312,9.43448235840297,9.2716,1
127,0.0,8.252676659528907,9.31619955808815,9.1672,1
128,0.0,8.393419170243204,9.340967216926297,9.2085,1
129,0.0,8.4038737446198,9.37043922844527,9.2357,1
130,0.0,8.220979020979021,9.360326721120186,9.1974,1
131,0.0,8.35450516986706,9.466227157066852,9.3157,1
132,0.0,8.292221443587946,9.17870057156188,9.0522,1
133,0.0,8.476058292852185,9.459866806869961,9.3181,1
134,0.0,8.290622763063707,9.538300592816459,9.364,1
135,0.0,8.337912087912088,9.367743445692884,9.2178,1
136,0.0,8.36961367013373,9.528021724058238,9.3721,1
137,0.0,8.238707435719249,9.153311529026983,9.0217,1
138,0.0,8.363345195729538,9.525247236765562,9.362,1
139,0.0,8.327563249001331,9.387502941868675,9.2283,1
140,0.0,8.396783844427823,9.739986147985686,9.5604,1
141,0.0,8.297045600513808,9.114118204429705,8.9869,1
142,0.0,8.624096385542169,9.876527698458023,9.7206,1
143,0.0,8.079032258064515,8.806923076923077,8.6941,1
144,0.0,8.530007794232269,9.927383274062178,9.7481,1
145,0.0,8.128321451717433,8.960269599148635,8.8319,1
146,0.0,8.366153846153846,9.93206896551724,9.7285,1
147,0.0,7.922591362126246,9.07998822836963,8.9058,1
148,0.0,8.400429799426934,9.76673640167364,9.576,1
149,0.0,8.223277074542898,9.344660760083936,9.1852,1
150,0.0,8.33701250919794,9.449022103923157,9.2979,1
151,0.0,8.172774869109947,9.230642115203022,9.069,1
152,0.0,8.350411368735976,9.844684289507098,9.6449,1
153,0.0,8.248518518518518,9.12606936416185,9.0076,1
154,0.0,8.217346233586731,9.202209750964574,9.0597,1
155,0.0,8.358181818181817,9.525739130434783,9.3652,1
156,0.0,8.283608914450037,9.254791497270299,9.1197,1
157,0.0,8.392219842969308,9.284393534131876,9.1594,1
