"","Generation","strategy","freq_media"
"1",0,"B",0.49527
"2",0,"O",0.4948
"3",0,"Y",0.00993
"4",1,"B",0
"5",1,"O",0.999016
"6",1,"Y",0.000984
"7",2,"B",0
"8",2,"O",0.991285
"9",2,"Y",0.008715
"10",3,"B",0
"11",3,"O",0.976723
"12",3,"Y",0.023277
"13",4,"B",0
"14",4,"O",0.955547
"15",4,"Y",0.044453
"16",5,"B",0
"17",5,"O",0.928302
"18",5,"Y",0.071698
"19",6,"B",0
"20",6,"O",0.895415
"21",6,"Y",0.104585
"22",7,"B",0
"23",7,"O",0.857076
"24",7,"Y",0.142924
"25",8,"B",0
"26",8,"O",0.81364
"27",8,"Y",0.18636
"28",9,"B",0
"29",9,"O",0.765846
"30",9,"Y",0.234154
"31",10,"B",0
"32",10,"O",0.714541
"33",10,"Y",0.285459
"34",11,"B",0
"35",11,"O",0.660397
"36",11,"Y",0.339603
"37",12,"B",0
"38",12,"O",0.604382
"39",12,"Y",0.395618
"40",13,"B",0
"41",13,"O",0.547362
"42",13,"Y",0.452638
"43",14,"B",0
"44",14,"O",0.491401
"45",14,"Y",0.508599
"46",15,"B",0
"47",15,"O",0.438058
"48",15,"Y",0.561942
"49",16,"B",0
"50",16,"O",0.386092
"51",16,"Y",0.613908
"52",17,"B",0
"53",17,"O",0.340644
"54",17,"Y",0.659356
"55",18,"B",0
"56",18,"O",0.33
"57",18,"Y",0.67
"58",19,"B",0
"59",19,"O",0.33
"60",19,"Y",0.67
"61",20,"B",0
"62",20,"O",0.33
"63",20,"Y",0.67
"64",21,"B",0
"65",21,"O",0.33
"66",21,"Y",0.67
"67",22,"B",0
"68",22,"O",0.33
"69",22,"Y",0.67
"70",23,"B",0
"71",23,"O",0.33
"72",23,"Y",0.67
"73",24,"B",0
"74",24,"O",0.33
"75",24,"Y",0.67
"76",25,"B",0
"77",25,"O",0.33
"78",25,"Y",0.67
"79",26,"B",0
"80",26,"O",0.33
"81",26,"Y",0.67
"82",27,"B",0
"83",27,"O",0.33
"84",27,"Y",0.67
"85",28,"B",0
"86",28,"O",0.33
"87",28,"Y",0.67
"88",29,"B",0
"89",29,"O",0.33
"90",29,"Y",0.67
"91",30,"B",0
"92",30,"O",0.33
"93",30,"Y",0.67
"94",31,"B",0
"95",31,"O",0.33
"96",31,"Y",0.67
"97",32,"B",0
"98",32,"O",0.33
"99",32,"Y",0.67
"100",33,"B",0
"101",33,"O",0.33
"102",33,"Y",0.67
"103",34,"B",0
"104",34,"O",0.33
"105",34,"Y",0.67
"106",35,"B",0
"107",35,"O",0.33
"108",35,"Y",0.67
"109",36,"B",0
"110",36,"O",0.33
"111",36,"Y",0.67
"112",37,"B",0
"113",37,"O",0.33
"114",37,"Y",0.67
"115",38,"B",0
"116",38,"O",0.33
"117",38,"Y",0.67
"118",39,"B",0
"119",39,"O",0.33
"120",39,"Y",0.67
"121",40,"B",0
"122",40,"O",0.33
"123",40,"Y",0.67
"124",41,"B",0
"125",41,"O",0.33
"126",41,"Y",0.67
"127",42,"B",0
"128",42,"O",0.33
"129",42,"Y",0.67
"130",43,"B",0
"131",43,"O",0.33
"132",43,"Y",0.67
"133",44,"B",0
"134",44,"O",0.33
"135",44,"Y",0.67
"136",45,"B",0
"137",45,"O",0.33
"138",45,"Y",0.67
"139",46,"B",0
"140",46,"O",0.33
"141",46,"Y",0.67
"142",47,"B",0
"143",47,"O",0.33
"144",47,"Y",0.67
"145",48,"B",0
"146",48,"O",0.33
"147",48,"Y",0.67
"148",49,"B",0
"149",49,"O",0.33
"150",49,"Y",0.67
"151",50,"B",0
"152",50,"O",0.33
"153",50,"Y",0.67
"154",51,"B",0
"155",51,"O",0.33
"156",51,"Y",0.67
"157",52,"B",0
"158",52,"O",0.33
"159",52,"Y",0.67
"160",53,"B",0
"161",53,"O",0.33
"162",53,"Y",0.67
"163",54,"B",0
"164",54,"O",0.33
"165",54,"Y",0.67
"166",55,"B",0
"167",55,"O",0.33
"168",55,"Y",0.67
"169",56,"B",0
"170",56,"O",0.33
"171",56,"Y",0.67
"172",57,"B",0
"173",57,"O",0.33
"174",57,"Y",0.67
"175",58,"B",0
"176",58,"O",0.33
"177",58,"Y",0.67
"178",59,"B",0
"179",59,"O",0.33
"180",59,"Y",0.67
"181",60,"B",0
"182",60,"O",0.33
"183",60,"Y",0.67
"184",61,"B",0
"185",61,"O",0.33
"186",61,"Y",0.67
"187",62,"B",0
"188",62,"O",0.33
"189",62,"Y",0.67
"190",63,"B",0
"191",63,"O",0.33
"192",63,"Y",0.67
"193",64,"B",0
"194",64,"O",0.33
"195",64,"Y",0.67
"196",65,"B",0
"197",65,"O",0.33
"198",65,"Y",0.67
"199",66,"B",0
"200",66,"O",0.33
"201",66,"Y",0.67
"202",67,"B",0
"203",67,"O",0.33
"204",67,"Y",0.67
"205",68,"B",0
"206",68,"O",0.33
"207",68,"Y",0.67
"208",69,"B",0
"209",69,"O",0.33
"210",69,"Y",0.67
"211",70,"B",0
"212",70,"O",0.33
"213",70,"Y",0.67
"214",71,"B",0
"215",71,"O",0.33
"216",71,"Y",0.67
"217",72,"B",0
"218",72,"O",0.33
"219",72,"Y",0.67
"220",73,"B",0
"221",73,"O",0.33
"222",73,"Y",0.67
"223",74,"B",0
"224",74,"O",0.33
"225",74,"Y",0.67
"226",75,"B",0
"227",75,"O",0.33
"228",75,"Y",0.67
"229",76,"B",0
"230",76,"O",0.33
"231",76,"Y",0.67
"232",77,"B",0
"233",77,"O",0.33
"234",77,"Y",0.67
"235",78,"B",0
"236",78,"O",0.33
"237",78,"Y",0.67
"238",79,"B",0
"239",79,"O",0.33
"240",79,"Y",0.67
"241",80,"B",0
"242",80,"O",0.33
"243",80,"Y",0.67
"244",81,"B",0
"245",81,"O",0.33
"246",81,"Y",0.67
"247",82,"B",0
"248",82,"O",0.33
"249",82,"Y",0.67
"250",83,"B",0
"251",83,"O",0.33
"252",83,"Y",0.67
"253",84,"B",0
"254",84,"O",0.33
"255",84,"Y",0.67
"256",85,"B",0
"257",85,"O",0.33
"258",85,"Y",0.67
"259",86,"B",0
"260",86,"O",0.33
"261",86,"Y",0.67
"262",87,"B",0
"263",87,"O",0.33
"264",87,"Y",0.67
"265",88,"B",0
"266",88,"O",0.33
"267",88,"Y",0.67
"268",89,"B",0
"269",89,"O",0.33
"270",89,"Y",0.67
"271",90,"B",0
"272",90,"O",0.33
"273",90,"Y",0.67
"274",91,"B",0
"275",91,"O",0.33
"276",91,"Y",0.67
"277",92,"B",0
"278",92,"O",0.33
"279",92,"Y",0.67
"280",93,"B",0
"281",93,"O",0.33
"282",93,"Y",0.67
"283",94,"B",0
"284",94,"O",0.33
"285",94,"Y",0.67
"286",95,"B",0
"287",95,"O",0.33
"288",95,"Y",0.67
"289",96,"B",0
"290",96,"O",0.33
"291",96,"Y",0.67
"292",97,"B",0
"293",97,"O",0.33
"294",97,"Y",0.67
"295",98,"B",0
"296",98,"O",0.33
"297",98,"Y",0.67
"298",99,"B",0
"299",99,"O",0.33
"300",99,"Y",0.67
"301",100,"B",0
"302",100,"O",0.33
"303",100,"Y",0.67
"304",101,"B",0
"305",101,"O",0.33
"306",101,"Y",0.67
"307",102,"B",0
"308",102,"O",0.33
"309",102,"Y",0.67
"310",103,"B",0
"311",103,"O",0.33
"312",103,"Y",0.67
"313",104,"B",0
"314",104,"O",0.33
"315",104,"Y",0.67
"316",105,"B",0
"317",105,"O",0.33
"318",105,"Y",0.67
"319",106,"B",0
"320",106,"O",0.33
"321",106,"Y",0.67
"322",107,"B",0
"323",107,"O",0.33
"324",107,"Y",0.67
"325",108,"B",0
"326",108,"O",0.33
"327",108,"Y",0.67
"328",109,"B",0
"329",109,"O",0.33
"330",109,"Y",0.67
"331",110,"B",0
"332",110,"O",0.33
"333",110,"Y",0.67
"334",111,"B",0
"335",111,"O",0.33
"336",111,"Y",0.67
"337",112,"B",0
"338",112,"O",0.33
"339",112,"Y",0.67
"340",113,"B",0
"341",113,"O",0.33
"342",113,"Y",0.67
"343",114,"B",0
"344",114,"O",0.33
"345",114,"Y",0.67
"346",115,"B",0
"347",115,"O",0.33
"348",115,"Y",0.67
"349",116,"B",0
"350",116,"O",0.33
"351",116,"Y",0.67
"352",117,"B",0
"353",117,"O",0.33
"354",117,"Y",0.67
"355",118,"B",0
"356",118,"O",0.33
"357",118,"Y",0.67
"358",119,"B",0
"359",119,"O",0.33
"360",119,"Y",0.67
"361",120,"B",0
"362",120,"O",0.33
"363",120,"Y",0.67
"364",121,"B",0
"365",121,"O",0.33
"366",121,"Y",0.67
"367",122,"B",0
"368",122,"O",0.33
"369",122,"Y",0.67
"370",123,"B",0
"371",123,"O",0.33
"372",123,"Y",0.67
"373",124,"B",0
"374",124,"O",0.33
"375",124,"Y",0.67
"376",125,"B",0
"377",125,"O",0.33
"378",125,"Y",0.67
"379",126,"B",0
"380",126,"O",0.33
"381",126,"Y",0.67
"382",127,"B",0
"383",127,"O",0.33
"384",127,"Y",0.67
"385",128,"B",0
"386",128,"O",0.33
"387",128,"Y",0.67
"388",129,"B",0
"389",129,"O",0.33
"390",129,"Y",0.67
"391",130,"B",0
"392",130,"O",0.33
"393",130,"Y",0.67
"394",131,"B",0
"395",131,"O",0.33
"396",131,"Y",0.67
"397",132,"B",0
"398",132,"O",0.33
"399",132,"Y",0.67
"400",133,"B",0
"401",133,"O",0.33
"402",133,"Y",0.67
"403",134,"B",0
"404",134,"O",0.33
"405",134,"Y",0.67
"406",135,"B",0
"407",135,"O",0.33
"408",135,"Y",0.67
"409",136,"B",0
"410",136,"O",0.33
"411",136,"Y",0.67
"412",137,"B",0
"413",137,"O",0.33
"414",137,"Y",0.67
"415",138,"B",0
"416",138,"O",0.33
"417",138,"Y",0.67
"418",139,"B",0
"419",139,"O",0.33
"420",139,"Y",0.67
"421",140,"B",0
"422",140,"O",0.33
"423",140,"Y",0.67
"424",141,"B",0
"425",141,"O",0.33
"426",141,"Y",0.67
"427",142,"B",0
"428",142,"O",0.33
"429",142,"Y",0.67
"430",143,"B",0
"431",143,"O",0.33
"432",143,"Y",0.67
"433",144,"B",0
"434",144,"O",0.33
"435",144,"Y",0.67
"436",145,"B",0
"437",145,"O",0.33
"438",145,"Y",0.67
"439",146,"B",0
"440",146,"O",0.33
"441",146,"Y",0.67
