"","Generation","strategy","zo","ratio","fit_media","fit_sd"
"16993",132,"fit_total",1,0.125,5.5617475,0.255836267022465
"16994",132,"fit_total",2,0.25,5.111804,0.13830909182996
"16995",132,"fit_total",3,0.375,4.756588,0.21487138143926
"16996",132,"fit_total",4,0.5,4.6007805,0.194705442497459
"16997",132,"fit_total",5,0.625,6.361621,0.083990451351221
"16998",132,"fit_total",6,0.75,7.3435735,0.0560428688977726
"16999",132,"fit_total",7,0.875,7.2176445,0.0714479866243743
"17000",132,"fit_total",8,1,7.1885025,0.0817218021597194
"17001",132,"fit_total",9,1.125,8.054517,0.103408338912129
"17002",132,"fit_total",10,1.25,8.6116015,0.155043717271626
"17003",132,"fit_total",11,1.375,8.69469,0.171766518032973
"17004",132,"fit_total",12,1.5,8.771847,0.200948575362962
"17005",132,"fit_total",13,1.625,8.6133135,1.3501101240317
"17006",132,"fit_total",14,1.75,6.677308,2.52216362732797
"17007",132,"fit_total",15,1.875,6.925674,2.05661139736502
"17008",132,"fit_total",16,2,7.621496,1.40351754316565
"17009",132,"fit_total",17,2.125,7.775207,1.17807784174609
"17010",132,"fit_total",18,2.25,7.5928205,1.28857261933809
"17011",132,"fit_total",19,2.375,7.800237,1.18794934581115
"17012",132,"fit_total",20,2.5,7.8944485,0.957342476307289
"17013",132,"fit_total",21,2.625,8.084447,0.335130362229206
"17014",132,"fit_total",22,2.75,8.0877075,0.318710040583026
"17015",132,"fit_total",23,2.875,7.9924945,0.639391092316816
"17016",132,"fit_total",24,3,8.0667835,0.273480998273956
"17017",132,"fit_total",25,3.125,8.2399115,0.211924368996335
"17018",132,"fit_total",26,3.25,10.9412255,0.29108746234091
"17019",132,"fit_total",27,3.375,8.5860895,0.419569647743766
"17020",132,"fit_total",28,3.5,9.277703,0.503325537056819
"17021",132,"fit_total",29,3.625,11.0295685,0.48104129543301
"17022",132,"fit_total",30,3.75,12.308846,0.454991899455031
"17023",132,"fit_total",31,3.875,13.4843685,0.466848110865771
"17024",132,"fit_total",32,4,14.2789685,0.535730152121072
"17025",133,"fit_B",1,0.125,6.2546588950482,0.1440709267111
"17026",133,"fit_B",2,0.25,5.00620159650938,0.223397472579894
"17027",133,"fit_B",3,0.375,4.48820357562964,0.19834986763567
"17028",133,"fit_B",4,0.5,4.28845768150317,0.133246231364268
"17029",133,"fit_B",5,0.625,5.63575039711629,0.100696957866455
"17030",133,"fit_B",6,0.75,6.1810192200792,0.0903686043786491
"17031",133,"fit_B",7,0.875,6.01557040759392,0.0973786783555268
"17032",133,"fit_B",8,1,5.88664657076431,0.10536104487085
"17033",133,"fit_B",9,1.125,6.10187180963996,0.135239993379205
"17034",133,"fit_B",10,1.25,6.01063242594868,0.166428871713673
"17035",133,"fit_B",11,1.375,5.97315578807509,0.181150545361174
"17036",133,"fit_B",12,1.5,5.91421901728797,0.202056709152121
"17037",133,"fit_B",13,1.625,5.539599794127,0.772355256830819
"17038",133,"fit_B",14,1.75,4.26136713719793,1.70201778820621
"17039",133,"fit_B",15,1.875,2.15230085667396,2.33494561545122
"17040",133,"fit_B",16,2,0.829557968737911,1.738456703273
"17041",133,"fit_B",17,2.125,0.736739915866911,1.71655795043168
"17042",133,"fit_B",18,2.25,1.01920710880608,2.06459452195558
"17043",133,"fit_B",19,2.375,1.03337023721739,2.06234207298107
"17044",133,"fit_B",20,2.5,0.724539456426965,1.86097914889327
"17045",133,"fit_B",21,2.625,0.741064368020285,1.99071588324535
"17046",133,"fit_B",22,2.75,0.487402891432956,1.68881693458641
"17047",133,"fit_B",23,2.875,0.44014137297568,1.53399398100239
"17048",133,"fit_B",24,3,0.330558532018536,1.32010865188502
"17049",133,"fit_B",25,3.125,0.164578970152654,0.943552670769244
"17050",133,"fit_B",26,3.25,0,0
"17051",133,"fit_B",27,3.375,0.0955555555555556,0.955555555555555
"17052",133,"fit_B",28,3.5,0,0
"17053",133,"fit_B",29,3.625,0,0
"17054",133,"fit_B",30,3.75,0,0
"17055",133,"fit_B",31,3.875,0,0
"17056",133,"fit_B",32,4,0,0
"17057",133,"fit_O",1,0.125,3.03831438946669,0.172053880271757
"17058",133,"fit_O",2,0.25,4.18374498162488,0.0408290987000081
"17059",133,"fit_O",3,0.375,4.22781298148733,0.111928859412704
"17060",133,"fit_O",4,0.5,4.54159120792881,0.158533641027976
"17061",133,"fit_O",5,0.625,5.84070707207824,0.0510931147290017
"17062",133,"fit_O",6,0.75,7.57546885960208,0.0370354567714555
"17063",133,"fit_O",7,0.875,7.50663216615419,0.0429216656013743
"17064",133,"fit_O",8,1,7.33417788620293,0.0457430711314675
"17065",133,"fit_O",9,1.125,9.35159130418938,0.0455697191821252
"17066",133,"fit_O",10,1.25,10.7814286167289,0.0754300435547611
