"","Generation","strategy","freq_media"
"303",100,"Y",0
"304",101,"B",0
"305",101,"O",1
"306",101,"Y",0
"307",102,"B",0
"308",102,"O",1
"309",102,"Y",0
"310",103,"B",0
"311",103,"O",1
"312",103,"Y",0
"313",104,"B",0
"314",104,"O",1
"315",104,"Y",0
"316",105,"B",0
"317",105,"O",1
"318",105,"Y",0
"319",106,"B",0
"320",106,"O",1
"321",106,"Y",0
"322",107,"B",0
"323",107,"O",1
"324",107,"Y",0
"325",108,"B",0
"326",108,"O",1
"327",108,"Y",0
"328",109,"B",0
"329",109,"O",1
"330",109,"Y",0
"331",110,"B",0
"332",110,"O",1
"333",110,"Y",0
"334",111,"B",0
"335",111,"O",1
"336",111,"Y",0
"337",112,"B",0
"338",112,"O",1
"339",112,"Y",0
"340",113,"B",0
"341",113,"O",1
"342",113,"Y",0
"343",114,"B",0
"344",114,"O",1
"345",114,"Y",0
"346",115,"B",0
"347",115,"O",1
"348",115,"Y",0
"349",116,"B",0
"350",116,"O",1
"351",116,"Y",0
"352",117,"B",0
"353",117,"O",1
"354",117,"Y",0
"355",118,"B",0
"356",118,"O",1
"357",118,"Y",0
"358",119,"B",0
"359",119,"O",1
"360",119,"Y",0
"361",120,"B",0
"362",120,"O",1
"363",120,"Y",0
"364",121,"B",0
"365",121,"O",1
"366",121,"Y",0
"367",122,"B",0
"368",122,"O",1
"369",122,"Y",0
"370",123,"B",0
"371",123,"O",1
"372",123,"Y",0
"373",124,"B",0
"374",124,"O",1
"375",124,"Y",0
"376",125,"B",0
"377",125,"O",1
"378",125,"Y",0
"379",126,"B",0
"380",126,"O",1
"381",126,"Y",0
"382",127,"B",0
"383",127,"O",1
"384",127,"Y",0
"385",128,"B",0
"386",128,"O",1
"387",128,"Y",0
"388",129,"B",0
"389",129,"O",1
"390",129,"Y",0
"391",130,"B",0
"392",130,"O",1
"393",130,"Y",0
"394",131,"B",0
"395",131,"O",1
"396",131,"Y",0
"397",132,"B",0
"398",132,"O",1
"399",132,"Y",0
"400",133,"B",0
"401",133,"O",1
"402",133,"Y",0
"403",134,"B",0
"404",134,"O",1
"405",134,"Y",0
"406",135,"B",0
"407",135,"O",1
"408",135,"Y",0
"409",136,"B",0
"410",136,"O",1
"411",136,"Y",0
"412",137,"B",0
"413",137,"O",1
"414",137,"Y",0
"415",138,"B",0
"416",138,"O",1
"417",138,"Y",0
"418",139,"B",0
"419",139,"O",1
"420",139,"Y",0
"421",140,"B",0
"422",140,"O",1
"423",140,"Y",0
"424",141,"B",0
"425",141,"O",1
"426",141,"Y",0
"427",142,"B",0
"428",142,"O",1
"429",142,"Y",0
"430",143,"B",0
"431",143,"O",1
"432",143,"Y",0
"433",144,"B",0
"434",144,"O",1
"435",144,"Y",0
"436",145,"B",0
"437",145,"O",1
"438",145,"Y",0
"439",146,"B",0
"440",146,"O",1
"441",146,"Y",0
"442",147,"B",0
"443",147,"O",1
"444",147,"Y",0
"445",148,"B",0
"446",148,"O",1
"447",148,"Y",0
"448",149,"B",0
"449",149,"O",1
"450",149,"Y",0
"451",150,"B",0
"452",150,"O",1
"453",150,"Y",0
"454",151,"B",0
"455",151,"O",1
"456",151,"Y",0
"457",152,"B",0
"458",152,"O",1
"459",152,"Y",0
"460",153,"B",0
"461",153,"O",1
"462",153,"Y",0
"463",154,"B",0
"464",154,"O",1
"465",154,"Y",0
"466",155,"B",0
"467",155,"O",1
"468",155,"Y",0
"469",156,"B",0
"470",156,"O",1
"471",156,"Y",0
"472",157,"B",0
"473",157,"O",1
"474",157,"Y",0
"475",158,"B",0
"476",158,"O",1
"477",158,"Y",0
"478",159,"B",0
"479",159,"O",1
"480",159,"Y",0
"481",160,"B",0
"482",160,"O",1
"483",160,"Y",0
"484",161,"B",0
"485",161,"O",1
"486",161,"Y",0
"487",162,"B",0
"488",162,"O",1
"489",162,"Y",0
"490",163,"B",0
"491",163,"O",1
"492",163,"Y",0
"493",164,"B",0
"494",164,"O",1
"495",164,"Y",0
"496",165,"B",0
"497",165,"O",1
"498",165,"Y",0
"499",166,"B",0
"500",166,"O",1
"501",166,"Y",0
"502",167,"B",0
"503",167,"O",1
"504",167,"Y",0
"505",168,"B",0
"506",168,"O",1
"507",168,"Y",0
"508",169,"B",0
"509",169,"O",1
"510",169,"Y",0
"511",170,"B",0
"512",170,"O",1
"513",170,"Y",0
"514",171,"B",0
"515",171,"O",1
"516",171,"Y",0
"517",172,"B",0
"518",172,"O",1
"519",172,"Y",0
"520",173,"B",0
"521",173,"O",1
"522",173,"Y",0
"523",174,"B",0
"524",174,"O",1
"525",174,"Y",0
"526",175,"B",0
"527",175,"O",1
"528",175,"Y",0
"529",176,"B",0
"530",176,"O",1
"531",176,"Y",0
"532",177,"B",0
"533",177,"O",1
"534",177,"Y",0
"535",178,"B",0
"536",178,"O",1
"537",178,"Y",0
"538",179,"B",0
"539",179,"O",1
"540",179,"Y",0
"541",180,"B",0
"542",180,"O",1
"543",180,"Y",0
"544",181,"B",0
"545",181,"O",1
"546",181,"Y",0
"547",182,"B",0
"548",182,"O",1
"549",182,"Y",0
"550",183,"B",0
"551",183,"O",1
"552",183,"Y",0
"553",184,"B",0
"554",184,"O",1
"555",184,"Y",0
"556",185,"B",0
"557",185,"O",1
"558",185,"Y",0
"559",186,"B",0
"560",186,"O",1
"561",186,"Y",0
"562",187,"B",0
"563",187,"O",1
"564",187,"Y",0
"565",188,"B",0
"566",188,"O",1
"567",188,"Y",0
"568",189,"B",0
"569",189,"O",1
"570",189,"Y",0
"571",190,"B",0
"572",190,"O",1
"573",190,"Y",0
"574",191,"B",0
"575",191,"O",1
"576",191,"Y",0
"577",192,"B",0
"578",192,"O",1
"579",192,"Y",0
"580",193,"B",0
"581",193,"O",1
"582",193,"Y",0
"583",194,"B",0
"584",194,"O",1
"585",194,"Y",0
"586",195,"B",0
"587",195,"O",1
"588",195,"Y",0
"589",196,"B",0
"590",196,"O",1
"591",196,"Y",0
"592",197,"B",0
"593",197,"O",1
"594",197,"Y",0
"595",198,"B",0
"596",198,"O",1
"597",198,"Y",0
"598",199,"B",0
"599",199,"O",1
"600",199,"Y",0
"601",200,"B",0
"602",200,"O",1
"603",200,"Y",0
