Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.4409,0.4896,0.0695,1
2,0.1055,0.7714,0.1231,1
3,0.033,0.6669,0.3001,1
4,0.0382,0.4417,0.5201,1
5,0.0595,0.2356,0.7049,1
6,0.0992,0.108,0.7928,1
7,0.1327,0.0831,0.7842,1
8,0.1586,0.1168,0.7246,1
9,0.1636,0.1644,0.672,1
10,0.159,0.2009,0.6401,1
11,0.1842,0.2008,0.615,1
12,0.2135,0.2059,0.5806,1
13,0.2419,0.2346,0.5235,1
14,0.2621,0.2639,0.474,1
15,0.2681,0.3027,0.4292,1
16,0.2715,0.3274,0.4011,1
17,0.2444,0.3813,0.3743,1
18,0.2148,0.4041,0.3811,1
19,0.2018,0.3955,0.4027,1
20,0.1901,0.3723,0.4376,1
21,0.1882,0.3433,0.4685,1
22,0.1949,0.3171,0.488,1
23,0.2143,0.3207,0.465,1
24,0.2312,0.3515,0.4173,1
25,0.2287,0.4055,0.3658,1
26,0.1846,0.4604,0.355,1
27,0.1713,0.4415,0.3872,1
28,0.1814,0.3957,0.4229,1
29,0.1522,0.3993,0.4485,1
30,0.1398,0.3722,0.488,1
31,0.1649,0.3238,0.5113,1
32,0.1861,0.2965,0.5174,1
33,0.1939,0.2998,0.5063,1
34,0.1999,0.3004,0.4997,1
35,0.2099,0.3136,0.4765,1
36,0.2174,0.3197,0.4629,1
37,0.2317,0.3175,0.4508,1
38,0.2591,0.3174,0.4235,1
39,0.2782,0.3425,0.3793,1
40,0.2666,0.3913,0.3421,1
41,0.2119,0.4518,0.3363,1
42,0.1984,0.4429,0.3587,1
43,0.174,0.4289,0.3971,1
44,0.1804,0.3756,0.444,1
45,0.2005,0.3374,0.4621,1
46,0.2088,0.3358,0.4554,1
47,0.2174,0.3386,0.444,1
48,0.2043,0.3622,0.4335,1
49,0.2185,0.3505,0.431,1
50,0.1989,0.3552,0.4459,1
51,0.1832,0.3403,0.4765,1
52,0.1858,0.3212,0.493,1
53,0.2014,0.3083,0.4903,1
54,0.1921,0.2998,0.5081,1
55,0.1948,0.2988,0.5064,1
56,0.2114,0.2929,0.4957,1
57,0.2169,0.3304,0.4527,1
58,0.2175,0.3485,0.434,1
59,0.1882,0.3814,0.4304,1
60,0.1799,0.3547,0.4654,1
61,0.1781,0.3195,0.5024,1
62,0.1844,0.2828,0.5328,1
63,0.2033,0.2719,0.5248,1
64,0.237,0.2978,0.4652,1
65,0.2686,0.3551,0.3763,1
66,0.258,0.4403,0.3017,1
67,0.1905,0.5432,0.2663,1
68,0.1575,0.5547,0.2878,1
69,0.1362,0.5493,0.3145,1
70,0.1488,0.4691,0.3821,1
71,0.1595,0.4095,0.431,1
72,0.1723,0.3667,0.461,1
73,0.1969,0.3527,0.4504,1
74,0.2036,0.3584,0.438,1
75,0.2074,0.35,0.4426,1
76,0.2033,0.3579,0.4388,1
77,0.2017,0.35,0.4483,1
78,0.2031,0.331,0.4659,1
79,0.2048,0.335,0.4602,1
80,0.2131,0.3264,0.4605,1
81,0.2732,0.292,0.4348,1
82,0.245,0.389,0.366,1
83,0.2357,0.4098,0.3545,1
84,0.1875,0.4393,0.3732,1
85,0.2006,0.3684,0.431,1
86,0.2076,0.3261,0.4663,1
87,0.2333,0.308,0.4587,1
88,0.2518,0.3149,0.4333,1
89,0.2514,0.3479,0.4007,1
90,0.2329,0.3874,0.3797,1
91,0.2285,0.3948,0.3767,1
92,0.1897,0.4113,0.399,1
93,0.2048,0.3515,0.4437,1
94,0.1978,0.344,0.4582,1
95,0.2092,0.3292,0.4616,1
96,0.2112,0.3509,0.4379,1
97,0.2193,0.4028,0.3779,1
98,0.2119,0.4536,0.3345,1
99,0.2084,0.4769,0.3147,1
100,0.1698,0.5198,0.3104,1
101,0.1676,0.4897,0.3427,1
