t,y,estrategia,frequencia_media
0,19,O,0.333282
0,19,Y,0.33389599999999997
0,19,B,0.33282199999999995
1,19,O,0.000286
1,19,Y,0.9801240000000001
1,19,B,0.019589999999999996
2,19,O,0.0
2,19,Y,0.8919819999999998
2,19,B,0.108018
3,19,O,0.0
3,19,Y,0.8206279999999997
3,19,B,0.17937200000000003
4,19,O,0.0
4,19,Y,0.7047260000000002
4,19,B,0.2952740000000001
5,19,O,0.0
5,19,Y,0.617348
5,19,B,0.38265200000000005
6,19,O,0.0
6,19,Y,0.54303
6,19,B,0.4569699999999999
7,19,O,0.0
7,19,Y,0.4725039999999999
7,19,B,0.527496
8,19,O,0.0
8,19,Y,0.39970600000000006
8,19,B,0.600294
9,19,O,0.0
9,19,Y,0.3495319999999999
9,19,B,0.6504679999999999
10,19,O,0.0
10,19,Y,0.335584
10,19,B,0.6644159999999998
11,19,O,0.0
11,19,Y,0.31303600000000004
11,19,B,0.6869639999999998
12,19,O,0.0
12,19,Y,0.303908
12,19,B,0.6960920000000002
13,19,O,0.0
13,19,Y,0.288198
13,19,B,0.711802
14,19,O,0.0
14,19,Y,0.29039999999999994
14,19,B,0.7096000000000002
15,19,O,0.0
15,19,Y,0.2827500000000001
15,19,B,0.7172499999999998
16,19,O,0.0
16,19,Y,0.285286
16,19,B,0.7147139999999996
17,19,O,0.0
17,19,Y,0.28408400000000006
17,19,B,0.7159160000000001
18,19,O,0.0
18,19,Y,0.28534200000000004
18,19,B,0.7146580000000001
19,19,O,0.0
19,19,Y,0.28403
19,19,B,0.71597
20,19,O,0.0
20,19,Y,0.284496
20,19,B,0.7155039999999998
21,19,O,0.0
21,19,Y,0.2822839999999999
21,19,B,0.7177160000000002
22,19,O,0.0
22,19,Y,0.284874
22,19,B,0.7151259999999999
23,19,O,0.0
23,19,Y,0.28312000000000004
23,19,B,0.7168800000000003
24,19,O,0.0
24,19,Y,0.284548
24,19,B,0.7154520000000001
25,19,O,0.0
25,19,Y,0.282818
25,19,B,0.7171820000000001
26,19,O,0.0
26,19,Y,0.2857120000000001
26,19,B,0.7142879999999999
27,19,O,0.0
27,19,Y,0.28452599999999995
27,19,B,0.715474
28,19,O,0.0
28,19,Y,0.28509000000000007
28,19,B,0.7149100000000002
29,19,O,0.0
29,19,Y,0.282994
29,19,B,0.7170059999999998
30,19,O,0.0
30,19,Y,0.28443199999999996
30,19,B,0.7155680000000001
31,19,O,0.0
31,19,Y,0.28097600000000006
31,19,B,0.7190239999999999
32,19,O,0.0
32,19,Y,0.28544600000000003
32,19,B,0.714554
33,19,O,0.0
33,19,Y,0.2818399999999999
33,19,B,0.7181600000000001
34,19,O,0.0
34,19,Y,0.284742
34,19,B,0.7152580000000002
35,19,O,0.0
35,19,Y,0.28451800000000005
35,19,B,0.7154819999999998
36,19,O,0.0
36,19,Y,0.28456400000000004
36,19,B,0.715436
37,19,O,0.0
37,19,Y,0.284738
37,19,B,0.7152620000000001
38,19,O,0.0
38,19,Y,0.28488800000000003
38,19,B,0.7151120000000002
39,19,O,0.0
39,19,Y,0.28465599999999996
39,19,B,0.7153440000000001
40,19,O,0.0
40,19,Y,0.28457600000000005
40,19,B,0.7154240000000001
41,19,O,0.0
41,19,Y,0.28251400000000004
