t,y,estrategia,n_vizinhos_media
0,3,O,
0,3,Y,
0,3,B,
1,3,O,8.0
1,3,Y,6.668735441673907
1,3,B,5.998601654657843
2,3,O,8.0
2,3,Y,6.439599413315263
2,3,B,6.153886599964231
3,3,O,8.0
3,3,Y,6.225042630325712
3,3,B,5.838779397991126
4,3,O,8.0
4,3,Y,6.071217122236893
4,3,B,5.327297575840877
5,3,O,8.0
5,3,Y,6.015314860319446
5,3,B,5.103778988727998
6,3,O,8.0
6,3,Y,6.00377803913849
6,3,B,4.985338173357289
7,3,O,8.0
7,3,Y,6.005516861165477
7,3,B,4.908443422350672
8,3,O,8.0
8,3,Y,6.014281928120074
8,3,B,4.853867905524908
9,3,O,8.0
9,3,Y,6.02993043612929
9,3,B,4.819645577283294
10,3,O,8.0
10,3,Y,6.0478180468736955
10,3,B,4.808287871482252
11,3,O,8.0
11,3,Y,6.066167320350367
11,3,B,4.806873895784564
12,3,O,8.0
12,3,Y,6.081742836910255
12,3,B,4.826014385897285
13,3,O,8.0
13,3,Y,6.094918036644487
13,3,B,4.864033926800824
14,3,O,8.0
14,3,Y,6.10506040657369
14,3,B,4.9155890707423024
15,3,O,8.0
15,3,Y,6.109047299178599
15,3,B,4.974386062338294
16,3,O,8.0
16,3,Y,6.109626325289006
16,3,B,5.045010852172406
17,3,O,8.0
17,3,Y,6.108491072508109
17,3,B,5.12118563870933
18,3,O,8.0
18,3,Y,6.106828253146622
18,3,B,5.197631125569197
19,3,O,8.0
19,3,Y,6.103136645993886
19,3,B,5.278542784486112
20,3,O,8.0
20,3,Y,6.097818771701011
20,3,B,5.357262848532682
21,3,O,8.0
21,3,Y,6.093437085644523
21,3,B,5.435094550154435
22,3,O,8.0
22,3,Y,6.090884908518351
22,3,B,5.507828912248897
23,3,O,8.0
23,3,Y,6.088996278813974
23,3,B,5.569129243182054
24,3,O,8.0
24,3,Y,6.087360542831572
24,3,B,5.616806986490961
25,3,O,8.0
