t,y,estrategia,frequencia_media
73,21,O,0.0
73,21,Y,0.277384
73,21,B,0.7226160000000001
74,21,O,0.0
74,21,Y,0.280772
74,21,B,0.7192279999999998
75,21,O,0.0
75,21,Y,0.275244
75,21,B,0.724756
76,21,O,0.0
76,21,Y,0.28046999999999994
76,21,B,0.71953
77,21,O,0.0
77,21,Y,0.274888
77,21,B,0.7251119999999999
78,21,O,0.0
78,21,Y,0.28177399999999997
78,21,B,0.718226
79,21,O,0.0
79,21,Y,0.275516
79,21,B,0.724484
80,21,O,0.0
80,21,Y,0.27998000000000006
80,21,B,0.7200200000000001
81,21,O,0.0
81,21,Y,0.277872
81,21,B,0.7221279999999999
82,21,O,0.0
82,21,Y,0.280044
82,21,B,0.7199559999999999
83,21,O,0.0
83,21,Y,0.2741900000000001
83,21,B,0.7258099999999997
84,21,O,0.0
84,21,Y,0.28160799999999997
84,21,B,0.7183919999999998
85,21,O,0.0
85,21,Y,0.275338
85,21,B,0.7246620000000001
86,21,O,0.0
86,21,Y,0.281418
86,21,B,0.7185819999999999
87,21,O,0.0
87,21,Y,0.27434000000000003
87,21,B,0.7256599999999999
88,21,O,0.0
88,21,Y,0.281152
88,21,B,0.7188480000000002
89,21,O,0.0
89,21,Y,0.27610799999999996
89,21,B,0.723892
90,21,O,0.0
90,21,Y,0.27847399999999994
90,21,B,0.7215259999999998
91,21,O,0.0
91,21,Y,0.276968
91,21,B,0.7230319999999999
92,21,O,0.0
92,21,Y,0.279878
92,21,B,0.720122
93,21,O,0.0
93,21,Y,0.27654399999999996
93,21,B,0.7234560000000002
94,21,O,0.0
94,21,Y,0.278142
94,21,B,0.7218580000000003
95,21,O,0.0
95,21,Y,0.27843599999999996
95,21,B,0.7215639999999999
96,21,O,0.0
96,21,Y,0.278604
96,21,B,0.7213959999999999
97,21,O,0.0
97,21,Y,0.27823999999999993
97,21,B,0.7217600000000002
98,21,O,0.0
98,21,Y,0.27485200000000004
98,21,B,0.7251479999999999
99,21,O,0.0
99,21,Y,0.2778840000000001
99,21,B,0.7221159999999999
100,21,O,0.0
100,21,Y,0.27867000000000003
100,21,B,0.7213300000000001
