t,y,estrategia,frequencia_media
0,10,O,0.333282
0,10,Y,0.33389599999999997
0,10,B,0.33282199999999995
1,10,O,0.12463400000000005
1,10,Y,0.7280579999999999
1,10,B,0.14730800000000005
2,10,O,0.01648599999999999
2,10,Y,0.656876
2,10,B,0.3266380000000001
3,10,O,0.01126
3,10,Y,0.40804199999999985
3,10,B,0.580698
4,10,O,0.018953999999999995
4,10,Y,0.216474
4,10,B,0.7645720000000001
5,10,O,0.027696000000000005
5,10,Y,0.11496600000000003
5,10,B,0.8573380000000002
6,10,O,0.03446599999999999
6,10,Y,0.07878800000000002
6,10,B,0.886746
7,10,O,0.039342
7,10,Y,0.07520400000000001
7,10,B,0.8854539999999996
8,10,O,0.04323799999999999
8,10,Y,0.08268999999999999
8,10,B,0.8740720000000001
9,10,O,0.046518
9,10,Y,0.09174399999999999
9,10,B,0.861738
10,10,O,0.049600000000000005
10,10,Y,0.09925999999999996
10,10,B,0.8511400000000002
11,10,O,0.05232199999999998
11,10,Y,0.105426
11,10,B,0.8422519999999999
12,10,O,0.05401400000000001
12,10,Y,0.11078200000000002
12,10,B,0.8352040000000001
13,10,O,0.055396
13,10,Y,0.11401800000000004
13,10,B,0.8305860000000002
14,10,O,0.056643999999999986
14,10,Y,0.11559000000000004
14,10,B,0.8277660000000001
15,10,O,0.057962
15,10,Y,0.115956
15,10,B,0.8260819999999996
16,10,O,0.05832999999999999
16,10,Y,0.11686199999999998
16,10,B,0.8248079999999999
17,10,O,0.058609999999999995
17,10,Y,0.11754800000000004
17,10,B,0.8238420000000001
18,10,O,0.05882599999999999
18,10,Y,0.11817
18,10,B,0.8230040000000003
19,10,O,0.05890199999999998
19,10,Y,0.11949399999999998
19,10,B,0.821604
20,10,O,0.05889400000000004
20,10,Y,0.11934000000000002
20,10,B,0.8217660000000001
21,10,O,0.059274000000000014
21,10,Y,0.12031400000000002
21,10,B,0.8204119999999999
22,10,O,0.05885600000000001
22,10,Y,0.12112799999999999
22,10,B,0.8200159999999996
23,10,O,0.05760399999999999
23,10,Y,0.12196399999999999
23,10,B,0.8204319999999998
24,10,O,0.05642200000000001
24,10,Y,0.12172599999999999
24,10,B,0.8218519999999998
25,10,O,0.05565199999999999
25,10,Y,0.12055999999999999
25,10,B,0.8237880000000001
26,10,O,0.055414000000000005
26,10,Y,0.11976400000000004
26,10,B,0.8248219999999997
27,10,O,0.055698
27,10,Y,0.11883600000000001
27,10,B,0.8254660000000003
28,10,O,0.055646000000000015
28,10,Y,0.11901199999999998
28,10,B,0.8253419999999998
29,10,O,0.055216
29,10,Y,0.120222
29,10,B,0.8245620000000002
30,10,O,0.05439000000000001
30,10,Y,0.12255599999999997
30,10,B,0.8230540000000001
31,10,O,0.05373600000000001
31,10,Y,0.12232599999999998
31,10,B,0.8239379999999997
32,10,O,0.053075999999999984
32,10,Y,0.12248599999999996
32,10,B,0.824438
33,10,O,0.05249799999999999
33,10,Y,0.12215399999999998
33,10,B,0.8253480000000001
34,10,O,0.051882000000000005
34,10,Y,0.12344400000000003
34,10,B,0.8246740000000001
35,10,O,0.051348000000000005
35,10,Y,0.123102
35,10,B,0.8255499999999999
36,10,O,0.05096400000000001
36,10,Y,0.122652
36,10,B,0.826384
37,10,O,0.050606
37,10,Y,0.12112800000000001
37,10,B,0.828266
38,10,O,0.05003800000000002
38,10,Y,0.12063199999999996
38,10,B,0.8293300000000001
39,10,O,0.04991399999999999
39,10,Y,0.11954599999999997
39,10,B,0.8305399999999995
40,10,O,0.05017399999999998
40,10,Y,0.12002400000000002
