t,y,estrategia,n_vizinhos_media
0,4,O,
0,4,Y,
0,4,B,
1,4,O,8.0
1,4,Y,7.334129112915388
1,4,B,5.998601654657843
2,4,O,8.0
2,4,Y,7.901215335223233
2,4,B,6.14381231139898
3,4,O,8.0
3,4,Y,7.9594154374423844
3,4,B,5.697557592560213
4,4,O,8.0
4,4,Y,7.9484688388919915
4,4,B,5.155082557155052
5,4,O,8.0
5,4,Y,7.9327825462572426
5,4,B,4.950931191298074
6,4,O,8.0
6,4,Y,7.9187737551868205
6,4,B,4.85510447498315
7,4,O,8.0
7,4,Y,7.90606314893005
7,4,B,4.784085419548655
8,4,O,8.0
8,4,Y,7.8946594793721685
8,4,B,4.725360113814217
9,4,O,8.0
9,4,Y,7.884802244936085
9,4,B,4.676711538919622
10,4,O,8.0
10,4,Y,7.876645379973757
10,4,B,4.634734635061111
11,4,O,8.0
11,4,Y,7.86998784951844
11,4,B,4.599061929909105
12,4,O,8.0
12,4,Y,7.864619985609299
12,4,B,4.570521967587135
13,4,O,8.0
13,4,Y,7.861465697432568
13,4,B,4.547496951112151
14,4,O,8.0
14,4,Y,7.860188826479572
14,4,B,4.530513216875861
15,4,O,8.0
15,4,Y,7.861434318494234
15,4,B,4.520311433924961
16,4,O,8.0
16,4,Y,7.864794680546078
16,4,B,4.514428180065923
17,4,O,8.0
17,4,Y,7.868870646010082
17,4,B,4.5124370670824625
18,4,O,8.0
18,4,Y,7.874549695681666
18,4,B,4.512684851782783
19,4,O,8.0
19,4,Y,7.881120682706141
19,4,B,4.515740512898927
20,4,O,8.0
20,4,Y,7.887491502215564
20,4,B,4.524654730671428
21,4,O,8.0
21,4,Y,7.8959516284070155
21,4,B,4.536835915335747
22,4,O,8.0
22,4,Y,7.90393151765355
22,4,B,4.5491654515262265
23,4,O,8.0
23,4,Y,7.911374973438267
23,4,B,4.563102310146439
24,4,O,8.0
24,4,Y,7.918562656184626
24,4,B,4.580263414574462
25,4,O,8.0
25,4,Y,7.924453570792642
25,4,B,4.596644797501271
26,4,O,8.0
26,4,Y,7.928673066848803
26,4,B,4.613309032996389
27,4,O,8.0
27,4,Y,7.933651062420041
27,4,B,4.632010081394683
28,4,O,8.0
28,4,Y,7.937150794289265
28,4,B,4.65330742743211
29,4,O,8.0
29,4,Y,7.939880577800554
29,4,B,4.67351549094299
30,4,O,8.0
30,4,Y,7.943154535841503
30,4,B,4.696139743547606
31,4,O,8.0
31,4,Y,7.9453012076770015
31,4,B,4.716870854612389
32,4,O,8.0
32,4,Y,7.946136604066982
32,4,B,4.739337556472946
33,4,O,8.0
33,4,Y,7.949097667147213
33,4,B,4.765841540603675
34,4,O,8.0
34,4,Y,7.951158069022585
34,4,B,4.789881763953603
35,4,O,8.0
35,4,Y,7.952761752047995
35,4,B,4.81303955114457
36,4,O,8.0
36,4,Y,7.955136827641406
36,4,B,4.833938714274766
37,4,O,8.0
37,4,Y,7.9561729778178565
37,4,B,4.854509090996301
38,4,O,8.0
38,4,Y,7.95491636507314
38,4,B,4.870976319152495
39,4,O,8.0
39,4,Y,7.956299539960473
39,4,B,4.890745872709561
40,4,O,8.0
40,4,Y,7.956925642390977
40,4,B,4.91004350651855
41,4,O,8.0
41,4,Y,7.957278295873879
41,4,B,4.926420780540433
42,4,O,8.0
42,4,Y,7.958601157218871
42,4,B,4.945132723789654
43,4,O,8.0
43,4,Y,7.958429456574695
43,4,B,4.958737069793549
44,4,O,8.0
44,4,Y,7.958437794398187
44,4,B,4.974479153637945
45,4,O,8.0
45,4,Y,7.959766947596586
45,4,B,4.994807569138336
46,4,O,8.0
46,4,Y,7.961044995647665
46,4,B,5.013534438091394
47,4,O,8.0
47,4,Y,7.9610883647663515
47,4,B,5.02867310643091
48,4,O,8.0
48,4,Y,7.962471047494375
48,4,B,5.048055514365297
49,4,O,8.0
49,4,Y,7.963046789436527
