t,y,estrategia,frequencia_media
0,5,O,0.333282
0,5,Y,0.33389599999999997
0,5,B,0.33282199999999995
1,5,O,0.484904
1,5,Y,0.4405560000000001
1,5,B,0.07454
2,5,O,0.21461799999999998
2,5,Y,0.752558
2,5,B,0.032824000000000006
3,5,O,0.049106
3,5,Y,0.8958660000000002
3,5,B,0.055027999999999994
4,5,O,0.016598000000000005
4,5,Y,0.895146
4,5,B,0.08825600000000006
5,5,O,0.018672000000000008
5,5,Y,0.8584440000000002
5,5,B,0.122884
6,5,O,0.024235999999999994
6,5,Y,0.817146
6,5,B,0.15861800000000006
7,5,O,0.029609999999999994
7,5,Y,0.77506
7,5,B,0.19532999999999995
8,5,O,0.035086
8,5,Y,0.7327819999999998
8,5,B,0.232132
9,5,O,0.040538
9,5,Y,0.691462
9,5,B,0.26799999999999996
10,5,O,0.04580599999999998
10,5,Y,0.6515860000000001
10,5,B,0.3026080000000001
11,5,O,0.050808000000000006
11,5,Y,0.6141519999999999
11,5,B,0.33504000000000006
12,5,O,0.056108000000000005
12,5,Y,0.5788700000000001
12,5,B,0.36502200000000007
13,5,O,0.061604
13,5,Y,0.5468180000000002
13,5,B,0.3915779999999999
14,5,O,0.06719399999999999
14,5,Y,0.518592
14,5,B,0.4142139999999999
15,5,O,0.07306999999999998
15,5,Y,0.49419399999999997
15,5,B,0.4327359999999999
16,5,O,0.07878600000000001
16,5,Y,0.474086
16,5,B,0.44712799999999997
17,5,O,0.08430799999999998
17,5,Y,0.457902
17,5,B,0.4577899999999998
18,5,O,0.088666
18,5,Y,0.44641000000000003
18,5,B,0.46492400000000006
19,5,O,0.09294600000000001
19,5,Y,0.4384
19,5,B,0.468654
20,5,O,0.09740600000000002
20,5,Y,0.4337859999999999
20,5,B,0.46880799999999995
21,5,O,0.10118799999999999
21,5,Y,0.4322199999999999
21,5,B,0.46659200000000006
22,5,O,0.10451799999999999
22,5,Y,0.4336319999999999
22,5,B,0.4618500000000001
23,5,O,0.10725799999999999
23,5,Y,0.43707
23,5,B,0.4556720000000001
24,5,O,0.10896800000000001
24,5,Y,0.4421779999999999
24,5,B,0.448854
25,5,O,0.11049599999999998
25,5,Y,0.4476979999999998
25,5,B,0.44180600000000003
26,5,O,0.11180399999999999
26,5,Y,0.4538600000000001
26,5,B,0.434336
27,5,O,0.11272399999999999
27,5,Y,0.460302
27,5,B,0.426974
28,5,O,0.11386000000000002
28,5,Y,0.4664519999999998
28,5,B,0.419688
29,5,O,0.11554200000000002
29,5,Y,0.47224000000000005
29,5,B,0.4122179999999998
30,5,O,0.11646199999999997
30,5,Y,0.47904999999999975
30,5,B,0.40448800000000007
31,5,O,0.11730799999999998
31,5,Y,0.48562000000000016
31,5,B,0.397072
32,5,O,0.118566
32,5,Y,0.4916480000000001
32,5,B,0.389786
33,5,O,0.11986199999999997
33,5,Y,0.4978819999999999
33,5,B,0.38225599999999993
