t,y,estrategia,frequencia_media
0,3,O,0.333282
0,3,Y,0.33389599999999997
0,3,B,0.33282199999999995
1,3,O,0.536628
1,3,Y,0.368632
1,3,B,0.09473999999999999
2,3,O,0.31466800000000006
2,3,Y,0.6405720000000001
2,3,B,0.044759999999999994
3,3,O,0.11714399999999997
3,3,Y,0.8139260000000003
3,3,B,0.06893
4,3,O,0.05965799999999999
4,3,Y,0.8264659999999996
4,3,B,0.113876
5,3,O,0.06703600000000001
5,3,Y,0.76699
5,3,B,0.165974
6,3,O,0.08908599999999998
6,3,Y,0.692892
6,3,B,0.21802200000000002
7,3,O,0.11408
7,3,Y,0.6211780000000001
7,3,B,0.2647420000000001
8,3,O,0.13963800000000004
8,3,Y,0.5592739999999999
8,3,B,0.301088
9,3,O,0.16342399999999999
9,3,Y,0.5119619999999999
9,3,B,0.32461400000000007
10,3,O,0.184576
10,3,Y,0.4789360000000001
10,3,B,0.33648800000000006
11,3,O,0.20152400000000004
11,3,Y,0.46042799999999995
11,3,B,0.33804800000000007
12,3,O,0.215142
12,3,Y,0.45279999999999987
12,3,B,0.33205799999999996
13,3,O,0.22631799999999994
13,3,Y,0.454506
13,3,B,0.31917599999999985
14,3,O,0.23372000000000004
14,3,Y,0.4630599999999999
14,3,B,0.30322
15,3,O,0.23828399999999994
15,3,Y,0.476206
15,3,B,0.28551
16,3,O,0.24090799999999998
16,3,Y,0.49090800000000007
16,3,B,0.268184
17,3,O,0.24079799999999996
17,3,Y,0.50644
17,3,B,0.25276200000000015
18,3,O,0.239
18,3,Y,0.521584
18,3,B,0.23941600000000002
19,3,O,0.23728
19,3,Y,0.5343399999999999
19,3,B,0.22837999999999994
20,3,O,0.23628799999999997
20,3,Y,0.5439499999999999
20,3,B,0.21976200000000007
21,3,O,0.23686999999999997
21,3,Y,0.5507780000000001
21,3,B,0.21235199999999996
22,3,O,0.237886
22,3,Y,0.55527
22,3,B,0.20684400000000003
23,3,O,0.23867000000000005
23,3,Y,0.5585460000000001
23,3,B,0.20278400000000002
24,3,O,0.23906999999999998
24,3,Y,0.560584
24,3,B,0.20034599999999994
25,3,O,0.23936400000000002
25,3,Y,0.5616800000000001
25,3,B,0.198956
26,3,O,0.24067600000000003
26,3,Y,0.5613340000000001
26,3,B,0.19799000000000003
27,3,O,0.24124800000000005
27,3,Y,0.5616100000000002
27,3,B,0.197142
28,3,O,0.243292
28,3,Y,0.559448
28,3,B,0.19726
29,3,O,0.24449399999999993
29,3,Y,0.5582860000000001
29,3,B,0.19722
