t,y,estrategia,frequencia_media
0,11,O,0.333282
0,11,Y,0.33389599999999997
0,11,B,0.33282199999999995
1,11,O,0.060894
1,11,Y,0.8337780000000004
1,11,B,0.10532800000000002
2,11,O,0.0022239999999999994
2,11,Y,0.695104
2,11,B,0.30267199999999994
3,11,O,0.001554
3,11,Y,0.48554599999999987
3,11,B,0.5129
4,11,O,0.00253
4,11,Y,0.31955999999999996
4,11,B,0.6779099999999998
5,11,O,0.0029879999999999993
5,11,Y,0.19882999999999995
5,11,B,0.7981820000000001
6,11,O,0.003364
6,11,Y,0.12033200000000002
6,11,B,0.8763040000000002
7,11,O,0.0033220000000000003
7,11,Y,0.07135400000000001
7,11,B,0.9253240000000001
8,11,O,0.003231999999999999
8,11,Y,0.043470000000000016
8,11,B,0.9532980000000002
9,11,O,0.0031639999999999997
9,11,Y,0.028141999999999997
9,11,B,0.9686940000000002
10,11,O,0.0031559999999999995
10,11,Y,0.020799999999999996
10,11,B,0.976044
11,11,O,0.003318
11,11,Y,0.01731
11,11,B,0.979372
12,11,O,0.003588
12,11,Y,0.016212
12,11,B,0.9801999999999998
13,11,O,0.0037099999999999998
13,11,Y,0.015563999999999998
13,11,B,0.9807259999999995
14,11,O,0.003963999999999999
14,11,Y,0.015675999999999995
14,11,B,0.98036
15,11,O,0.004228
15,11,Y,0.015928
15,11,B,0.9798440000000003
16,11,O,0.004471999999999999
16,11,Y,0.016424
16,11,B,0.979104
17,11,O,0.00473
17,11,Y,0.016384
17,11,B,0.9788859999999997
18,11,O,0.005044
18,11,Y,0.016354
18,11,B,0.978602
19,11,O,0.005373999999999999
19,11,Y,0.016894
19,11,B,0.977732
20,11,O,0.005541999999999999
20,11,Y,0.017363999999999994
20,11,B,0.9770939999999999
21,11,O,0.005635999999999999
21,11,Y,0.018164000000000007
21,11,B,0.9762
22,11,O,0.005703999999999999
22,11,Y,0.017939999999999998
22,11,B,0.9763559999999998
23,11,O,0.005938
23,11,Y,0.017851999999999993
23,11,B,0.9762100000000001
24,11,O,0.006111999999999999
24,11,Y,0.017832
24,11,B,0.9760559999999998
25,11,O,0.006268
25,11,Y,0.018666
25,11,B,0.9750659999999999
26,11,O,0.006436000000000001
26,11,Y,0.018642000000000002
26,11,B,0.974922
27,11,O,0.00665
27,11,Y,0.018764
27,11,B,0.9745860000000001
28,11,O,0.006716000000000001
28,11,Y,0.019370000000000002
28,11,B,0.9739140000000001
29,11,O,0.006796000000000002
29,11,Y,0.019776
29,11,B,0.973428
30,11,O,0.0070420000000000005
30,11,Y,0.019482000000000003
30,11,B,0.973476
31,11,O,0.0072759999999999995
31,11,Y,0.019968000000000003
31,11,B,0.972756
32,11,O,0.007392000000000001
32,11,Y,0.020488
32,11,B,0.9721199999999999
33,11,O,0.007532
33,11,Y,0.020824
33,11,B,0.971644
34,11,O,0.007786000000000003
34,11,Y,0.02085800000000001
34,11,B,0.971356
35,11,O,0.008054
35,11,Y,0.020853999999999994
35,11,B,0.9710920000000003
36,11,O,0.008340000000000002
36,11,Y,0.021032000000000002
36,11,B,0.9706279999999998
37,11,O,0.008508000000000002
37,11,Y,0.021362000000000003
37,11,B,0.97013
38,11,O,0.008696
38,11,Y,0.021604000000000005
38,11,B,0.9697
39,11,O,0.008774000000000002
39,11,Y,0.022322
39,11,B,0.9689040000000003
40,11,O,0.008734000000000002
40,11,Y,0.022868
40,11,B,0.9683979999999999
41,11,O,0.008771999999999999
41,11,Y,0.022956000000000004
41,11,B,0.9682719999999999
42,11,O,0.008988000000000001
42,11,Y,0.022224
42,11,B,0.9687879999999999
43,11,O,0.009099999999999999
43,11,Y,0.02279400000000001
43,11,B,0.9681059999999999
44,11,O,0.009060000000000004
44,11,Y,0.023368000000000003
44,11,B,0.9675720000000002
45,11,O,0.009141999999999999
45,11,Y,0.022904
45,11,B,0.9679539999999999
46,11,O,0.009340000000000001
46,11,Y,0.023003999999999993
46,11,B,0.9676559999999997
47,11,O,0.00949
47,11,Y,0.023292
47,11,B,0.9672179999999999
48,11,O,0.00943
48,11,Y,0.024204000000000003
48,11,B,0.9663660000000001
49,11,O,0.009398
49,11,Y,0.023970000000000005
49,11,B,0.9666319999999997
50,11,O,0.009646000000000002
50,11,Y,0.023786
50,11,B,0.9665679999999996
51,11,O,0.009758
51,11,Y,0.023760000000000003
51,11,B,0.9664820000000001
52,11,O,0.009589999999999998
52,11,Y,0.024541999999999994
52,11,B,0.9658679999999998
53,11,O,0.009337999999999996
53,11,Y,0.023912
53,11,B,0.96675
54,11,O,0.009128
54,11,Y,0.023386000000000004
54,11,B,0.9674859999999996
55,11,O,0.008857999999999998
55,11,Y,0.023101999999999998
55,11,B,0.9680400000000001
56,11,O,0.008686000000000001
56,11,Y,0.022702
56,11,B,0.9686119999999999
57,11,O,0.008505999999999998
57,11,Y,0.021712
57,11,B,0.9697819999999999
58,11,O,0.008411999999999998
58,11,Y,0.021177999999999995
58,11,B,0.97041
59,11,O,0.008208
59,11,Y,0.021216
59,11,B,0.9705759999999999
60,11,O,0.00796
60,11,Y,0.021153999999999996
60,11,B,0.970886
61,11,O,0.007824
61,11,Y,0.020451999999999994
61,11,B,0.9717240000000001
62,11,O,0.007732000000000001
62,11,Y,0.019875999999999998
62,11,B,0.9723920000000004
63,11,O,0.0074979999999999995
63,11,Y,0.020072
63,11,B,0.9724300000000003
64,11,O,0.007300000000000002
64,11,Y,0.020568000000000003
64,11,B,0.972132
65,11,O,0.007141999999999998
65,11,Y,0.019652
65,11,B,0.9732060000000001
66,11,O,0.007030000000000001
66,11,Y,0.01921800000000001
66,11,B,0.9737519999999997
67,11,O,0.006866
67,11,Y,0.019326
67,11,B,0.9738080000000001
68,11,O,0.0067280000000000005
68,11,Y,0.019302
68,11,B,0.9739699999999999
69,11,O,0.006643999999999999
69,11,Y,0.018571999999999998
69,11,B,0.9747840000000002
70,11,O,0.0065179999999999995
70,11,Y,0.018082
70,11,B,0.9754000000000002
71,11,O,0.006443999999999998
71,11,Y,0.018042
71,11,B,0.9755139999999999
72,11,O,0.006372000000000001
72,11,Y,0.018084000000000003
72,11,B,0.975544
73,11,O,0.006305999999999997
73,11,Y,0.017806
73,11,B,0.9758880000000002
74,11,O,0.0062
74,11,Y,0.017726000000000002
74,11,B,0.976074
75,11,O,0.0061499999999999975
75,11,Y,0.017972
75,11,B,0.975878
76,11,O,0.006026
76,11,Y,0.018242
76,11,B,0.9757320000000004
77,11,O,0.005936
77,11,Y,0.017688000000000002
77,11,B,0.9763759999999999
78,11,O,0.00582
78,11,Y,0.017616
78,11,B,0.9765640000000002
