t,y,estrategia,n_vizinhos_media
0,17,O,
0,17,Y,
0,17,B,
1,17,O,11.001786265066558
1,17,Y,19.341085811001623
1,17,B,9.672942367028108
2,17,O,16.85152713952714
2,17,Y,23.91793170587684
2,17,B,13.585880083252642
3,17,O,0.0
3,17,Y,23.727522391128012
3,17,B,9.28054391535323
4,17,O,0.0
4,17,Y,23.60413713584013
4,17,B,8.981365244652807
5,17,O,0.0
5,17,Y,23.421463598187835
5,17,B,8.762818836430547
6,17,O,0.0
6,17,Y,23.21830117163948
6,17,B,8.469971137403062
7,17,O,0.0
7,17,Y,23.025262267289854
7,17,B,8.457483534754108
8,17,O,0.0
8,17,Y,22.82666146495819
8,17,B,8.167979021423498
9,17,O,0.0
9,17,Y,22.475395864762607
9,17,B,8.183856717994031
10,17,O,0.0
10,17,Y,22.18388913939366
10,17,B,7.58368981340337
11,17,O,0.0
11,17,Y,22.00558231246393
11,17,B,7.719972463347168
12,17,O,0.0
12,17,Y,21.85640899633753
12,17,B,7.347363178752712
13,17,O,0.0
13,17,Y,21.549017804836403
13,17,B,7.594016934760829
14,17,O,0.0
14,17,Y,21.21720371070256
14,17,B,7.377309311934258
15,17,O,0.0
15,17,Y,20.894961509916392
15,17,B,7.514224439971798
16,17,O,0.0
16,17,Y,20.548088541217563
16,17,B,7.270869455579384
17,17,O,0.0
17,17,Y,20.199516372853275
17,17,B,7.329581385519092
18,17,O,0.0
18,17,Y,19.948088871612534
18,17,B,7.167300476554852
19,17,O,0.0
19,17,Y,19.8727626569507
19,17,B,7.197517475980274
20,17,O,0.0
20,17,Y,19.800179966955167
20,17,B,7.10889828933033
21,17,O,0.0
21,17,Y,19.728756211770683
21,17,B,7.190717585639502
22,17,O,0.0
22,17,Y,19.68365465194926
22,17,B,7.172158383561439
23,17,O,0.0
23,17,Y,19.643586678974824
23,17,B,7.197772312119566
24,17,O,0.0
24,17,Y,19.59307545244427
24,17,B,7.1771660276936275
25,17,O,0.0
25,17,Y,19.55684512016068
25,17,B,7.17392305742639
26,17,O,0.0
26,17,Y,19.543339128753715
26,17,B,7.178023534058858
27,17,O,0.0
27,17,Y,19.50791816042502
27,17,B,7.168773376434277
28,17,O,0.0
28,17,Y,19.523954792218046
28,17,B,7.190392409484008
29,17,O,0.0
29,17,Y,19.526957974063727
29,17,B,7.167374114958501
30,17,O,0.0
