t,pop,y,estrategia,frequencia
100,2,23,O,0.0
100,2,23,Y,0.2268
100,2,23,B,0.7732
100,3,0,O,0.1104
100,3,0,Y,0.8896
100,3,0,B,0.0
100,3,1,O,0.1705
100,3,1,Y,0.6908
100,3,1,B,0.1387
100,3,2,O,0.3039
100,3,2,Y,0.4922
100,3,2,B,0.2039
100,3,3,O,0.1036
100,3,3,Y,0.6601
100,3,3,B,0.2363
100,3,4,O,0.1155
100,3,4,Y,0.5905
100,3,4,B,0.294
100,3,5,O,0.1973
100,3,5,Y,0.4905
100,3,5,B,0.3122
100,3,6,O,0.1936
100,3,6,Y,0.4973
100,3,6,B,0.3091
100,3,7,O,0.3717
100,3,7,Y,0.3719
100,3,7,B,0.2564
100,3,8,O,0.1522
100,3,8,Y,0.3112
100,3,8,B,0.5366
100,3,9,O,0.0421
100,3,9,Y,0.1184
100,3,9,B,0.8395
100,3,10,O,0.0
100,3,10,Y,0.0
100,3,10,B,1.0
100,3,11,O,0.0
100,3,11,Y,0.0408
100,3,11,B,0.9592
100,3,12,O,0.0
100,3,12,Y,0.1634
100,3,12,B,0.8366
100,3,13,O,0.0
100,3,13,Y,0.207
100,3,13,B,0.793
100,3,14,O,0.0
100,3,14,Y,0.2392
100,3,14,B,0.7608
100,3,15,O,0.0
100,3,15,Y,0.2953
100,3,15,B,0.7047
100,3,16,O,0.0
100,3,16,Y,0.2888
100,3,16,B,0.7112
100,3,17,O,0.0
100,3,17,Y,0.2839
100,3,17,B,0.7161
100,3,18,O,0.0
100,3,18,Y,0.2855
100,3,18,B,0.7145
100,3,19,O,0.0
100,3,19,Y,0.2912
100,3,19,B,0.7088
100,3,20,O,0.0
100,3,20,Y,0.2877
100,3,20,B,0.7123
100,3,21,O,0.0
100,3,21,Y,0.2635
100,3,21,B,0.7365
100,3,22,O,0.0
100,3,22,Y,0.2719
100,3,22,B,0.7281
100,3,23,O,0.0
100,3,23,Y,0.2801
100,3,23,B,0.7199
100,4,0,O,0.1099
100,4,0,Y,0.8901
100,4,0,B,0.0
100,4,1,O,0.1953
100,4,1,Y,0.6501
100,4,1,B,0.1546
100,4,2,O,0.2581
100,4,2,Y,0.5324
100,4,2,B,0.2095
100,4,3,O,0.1229
100,4,3,Y,0.6806
100,4,3,B,0.1965
100,4,4,O,0.1181
100,4,4,Y,0.6203
100,4,4,B,0.2616
100,4,5,O,0.2131
100,4,5,Y,0.4734
100,4,5,B,0.3135
100,4,6,O,0.2092
100,4,6,Y,0.4838
100,4,6,B,0.307
100,4,7,O,0.3577
100,4,7,Y,0.3981
100,4,7,B,0.2442
100,4,8,O,0.1422
100,4,8,Y,0.2844
100,4,8,B,0.5734
100,4,9,O,0.0578
100,4,9,Y,0.1167
100,4,9,B,0.8255
100,4,10,O,0.0004
100,4,10,Y,0.0038
100,4,10,B,0.9958
100,4,11,O,0.0
100,4,11,Y,0.0406
100,4,11,B,0.9594
100,4,12,O,0.0
100,4,12,Y,0.1664
100,4,12,B,0.8336
100,4,13,O,0.0
100,4,13,Y,0.2254
100,4,13,B,0.7746
100,4,14,O,0.0
100,4,14,Y,0.2398
100,4,14,B,0.7602
100,4,15,O,0.0
100,4,15,Y,0.2953
100,4,15,B,0.7047
100,4,16,O,0.0
100,4,16,Y,0.2953
100,4,16,B,0.7047
100,4,17,O,0.0
100,4,17,Y,0.2815
100,4,17,B,0.7185
100,4,18,O,0.0
100,4,18,Y,0.2974
100,4,18,B,0.7026
100,4,19,O,0.0
100,4,19,Y,0.2917
100,4,19,B,0.7083
100,4,20,O,0.0
100,4,20,Y,0.2398
100,4,20,B,0.7602
100,4,21,O,0.0
100,4,21,Y,0.2714
100,4,21,B,0.7286
100,4,22,O,0.0
100,4,22,Y,0.2698
100,4,22,B,0.7302
100,4,23,O,0.0
100,4,23,Y,0.2911
100,4,23,B,0.7089
100,5,0,O,0.1138
100,5,0,Y,0.8862
100,5,0,B,0.0
100,5,1,O,0.1786
100,5,1,Y,0.6804
100,5,1,B,0.141
100,5,2,O,0.2812
100,5,2,Y,0.5232
100,5,2,B,0.1956
100,5,3,O,0.1367
100,5,3,Y,0.5111
100,5,3,B,0.3522
100,5,4,O,0.1211
100,5,4,Y,0.6132
100,5,4,B,0.2657
100,5,5,O,0.2137
100,5,5,Y,0.4885
100,5,5,B,0.2978
100,5,6,O,0.2128
100,5,6,Y,0.4897
100,5,6,B,0.2975
100,5,7,O,0.353
100,5,7,Y,0.3814
100,5,7,B,0.2656
100,5,8,O,0.163
100,5,8,Y,0.2847
100,5,8,B,0.5523
100,5,9,O,0.046
100,5,9,Y,0.1122
100,5,9,B,0.8418
100,5,10,O,0.0006
100,5,10,Y,0.0065
100,5,10,B,0.9929
100,5,11,O,0.0
100,5,11,Y,0.0491
100,5,11,B,0.9509
100,5,12,O,0.0
100,5,12,Y,0.1712
100,5,12,B,0.8288
100,5,13,O,0.0
100,5,13,Y,0.206
100,5,13,B,0.794
100,5,14,O,0.0
100,5,14,Y,0.2467
100,5,14,B,0.7533
100,5,15,O,0.0
100,5,15,Y,0.2951
100,5,15,B,0.7049
100,5,16,O,0.0
100,5,16,Y,0.2989
100,5,16,B,0.7011
100,5,17,O,0.0
100,5,17,Y,0.2839
100,5,17,B,0.7161
100,5,18,O,0.0
100,5,18,Y,0.2939
100,5,18,B,0.7061
100,5,19,O,0.0
100,5,19,Y,0.2769
100,5,19,B,0.7231
100,5,20,O,0.0
100,5,20,Y,0.3352
100,5,20,B,0.6648
100,5,21,O,0.0
100,5,21,Y,0.2865
100,5,21,B,0.7135
100,5,22,O,0.0
100,5,22,Y,0.2657
100,5,22,B,0.7343
100,5,23,O,0.0
100,5,23,Y,0.2453
100,5,23,B,0.7547
100,6,0,O,0.1037
100,6,0,Y,0.8963
100,6,0,B,0.0
100,6,1,O,0.1723
100,6,1,Y,0.6789
100,6,1,B,0.1488
100,6,2,O,0.3048
100,6,2,Y,0.5219
100,6,2,B,0.1733
100,6,3,O,0.1862
100,6,3,Y,0.4916
100,6,3,B,0.3222
100,6,4,O,0.1577
100,6,4,Y,0.5213
100,6,4,B,0.321
100,6,5,O,0.1904
100,6,5,Y,0.5014
100,6,5,B,0.3082
