t,y,estrategia,n_vizinhos_media
0,5,O,
0,5,Y,
0,5,B,
1,5,O,8.0
1,5,Y,7.334129112915388
1,5,B,5.998601654657843
2,5,O,8.0
2,5,Y,7.901091687046863
2,5,B,6.141092173186122
3,5,O,8.0
3,5,Y,7.959472367206696
3,5,B,5.699182971365655
4,5,O,8.0
4,5,Y,7.948468183346979
4,5,B,5.156085140176714
5,5,O,8.0
5,5,Y,7.932883855591911
5,5,B,4.951941472913054
6,5,O,8.0
6,5,Y,7.918796564297302
6,5,B,4.855582885642239
7,5,O,8.0
7,5,Y,7.906025304089528
7,5,B,4.784726910487985
8,5,O,8.0
8,5,Y,7.89455758618201
8,5,B,4.726692111807948
9,5,O,8.0
9,5,Y,7.884737982550604
9,5,B,4.6775312170577426
10,5,O,8.0
10,5,Y,7.876506815334381
10,5,B,4.636474988068824
11,5,O,8.0
11,5,Y,7.869878556186086
11,5,B,4.6014949210901746
12,5,O,8.0
12,5,Y,7.864338172644662
12,5,B,4.573057892257977
13,5,O,8.0
13,5,Y,7.861329882357852
13,5,B,4.549242985096337
14,5,O,8.0
14,5,Y,7.86009463485503
14,5,B,4.532680005867672
15,5,O,8.0
15,5,Y,7.861496983341629
15,5,B,4.522502854762236
16,5,O,8.0
16,5,Y,7.8647618022123655
16,5,B,4.516728832980561
17,5,O,8.0
17,5,Y,7.8688353320990165
17,5,B,4.516086351262504
18,5,O,8.0
18,5,Y,7.874725904842439
18,5,B,4.515677862074957
19,5,O,8.0
19,5,Y,7.881357661519514
19,5,B,4.518145829635816
20,5,O,8.0
20,5,Y,7.887828729908304
20,5,B,4.526197718150859
21,5,O,8.0
21,5,Y,7.896418088198577
21,5,B,4.537419540383106
22,5,O,8.0
22,5,Y,7.904933161079701
22,5,B,4.549206429699989
23,5,O,8.0
23,5,Y,7.912756188956628
23,5,B,4.565053912891546
24,5,O,8.0
24,5,Y,7.9198230307733875
24,5,B,4.5820899247124975
25,5,O,8.0
25,5,Y,7.925714536605687
25,5,B,4.598505698604022
26,5,O,8.0
26,5,Y,7.929771862403751
26,5,B,4.616309568354896
27,5,O,8.0
27,5,Y,7.934257525508685
27,5,B,4.634077330998728
28,5,O,8.0
28,5,Y,7.937524113872384
28,5,B,4.655300897208141
29,5,O,8.0
29,5,Y,7.93991572462157
29,5,B,4.676439863796638
30,5,O,8.0
30,5,Y,7.943163480962562
30,5,B,4.699381207399322
31,5,O,8.0
31,5,Y,7.945963260433133
31,5,B,4.722960073898426
32,5,O,8.0
32,5,Y,7.946827392065142
32,5,B,4.744558104632021
33,5,O,8.0
33,5,Y,7.949056095212316
33,5,B,4.7702726896342105
34,5,O,8.0
34,5,Y,7.951581693382277
34,5,B,4.796049649326446
35,5,O,8.0
35,5,Y,7.953026890805141
35,5,B,4.8206358237049605
36,5,O,8.0
36,5,Y,7.955359183680026
36,5,B,4.843583829313249
37,5,O,8.0
37,5,Y,7.956875003243193
37,5,B,4.866929082421334
38,5,O,8.0
38,5,Y,7.955495088539896
38,5,B,4.884360297392757
39,5,O,8.0
39,5,Y,7.956103048917085
39,5,B,4.9010064365220645
40,5,O,8.0
40,5,Y,7.9571778264580315
40,5,B,4.920538563901356
41,5,O,8.0
41,5,Y,7.957320236085013
41,5,B,4.936184437271651
42,5,O,8.0
42,5,Y,7.958797395925443
42,5,B,4.95625288186869
43,5,O,8.0
43,5,Y,7.959526640942666
43,5,B,4.971828823258713
44,5,O,8.0
44,5,Y,7.958405827528315
44,5,B,4.985896137514242
45,5,O,8.0
45,5,Y,7.959110330209326
45,5,B,5.003736996820447
46,5,O,8.0
46,5,Y,7.960353369038967
46,5,B,5.0252397369396995
47,5,O,8.0
47,5,Y,7.960255994304421
47,5,B,5.042385205383244
48,5,O,8.0
48,5,Y,7.962237479316599
48,5,B,5.063931399259116
49,5,O,8.0
49,5,Y,7.962933571327275
49,5,B,5.081353762341498
50,5,O,8.0
50,5,Y,7.961447066552895
50,5,B,5.093626787622528
51,5,O,8.0
51,5,Y,7.96115630392544
51,5,B,5.107333883964362
52,5,O,8.0
52,5,Y,7.962181881953183
52,5,B,5.123536100054464
53,5,O,8.0
53,5,Y,7.961836600822441
53,5,B,5.136578418066534
54,5,O,8.0
54,5,Y,7.963397639067564
54,5,B,5.1531168767510795
55,5,O,8.0
55,5,Y,7.964069803826627
55,5,B,5.163380010701037
56,5,O,8.0
56,5,Y,7.963084565461604
