t,y,estrategia,frequencia_media
0,20,O,0.333282
0,20,Y,0.33389599999999997
0,20,B,0.33282199999999995
1,20,O,0.000192
1,20,Y,0.9774940000000002
1,20,B,0.022313999999999997
2,20,O,0.0
2,20,Y,0.871846
2,20,B,0.128154
3,20,O,0.0
3,20,Y,0.7617780000000001
3,20,B,0.238222
4,20,O,0.0
4,20,Y,0.6271220000000001
4,20,B,0.37287800000000004
5,20,O,0.0
5,20,Y,0.5296620000000001
5,20,B,0.470338
6,20,O,0.0
6,20,Y,0.4435040000000001
6,20,B,0.5564959999999999
7,20,O,0.0
7,20,Y,0.37564800000000004
7,20,B,0.6243519999999999
8,20,O,0.0
8,20,Y,0.325268
8,20,B,0.6747319999999998
9,20,O,0.0
9,20,Y,0.30048600000000003
9,20,B,0.6995140000000003
10,20,O,0.0
10,20,Y,0.302114
10,20,B,0.6978859999999999
11,20,O,0.0
11,20,Y,0.2871599999999999
11,20,B,0.7128399999999996
12,20,O,0.0
12,20,Y,0.292794
12,20,B,0.7072059999999999
13,20,O,0.0
13,20,Y,0.28316199999999997
13,20,B,0.7168380000000001
14,20,O,0.0
14,20,Y,0.2926
14,20,B,0.7073999999999999
15,20,O,0.0
15,20,Y,0.2810639999999999
15,20,B,0.7189360000000004
16,20,O,0.0
16,20,Y,0.29465
16,20,B,0.7053499999999999
17,20,O,0.0
17,20,Y,0.283174
17,20,B,0.716826
18,20,O,0.0
18,20,Y,0.29307
18,20,B,0.7069300000000003
19,20,O,0.0
19,20,Y,0.283098
19,20,B,0.7169020000000002
20,20,O,0.0
20,20,Y,0.291272
20,20,B,0.7087280000000001
21,20,O,0.0
21,20,Y,0.28622
21,20,B,0.7137799999999999
22,20,O,0.0
22,20,Y,0.291458
22,20,B,0.7085420000000002
23,20,O,0.0
23,20,Y,0.28398200000000007
23,20,B,0.7160179999999999
24,20,O,0.0
24,20,Y,0.29235199999999995
24,20,B,0.7076479999999999
25,20,O,0.0
25,20,Y,0.2831919999999999
25,20,B,0.7168079999999999
26,20,O,0.0
26,20,Y,0.292226
26,20,B,0.7077740000000001
27,20,O,0.0
27,20,Y,0.28536999999999996
27,20,B,0.7146300000000001
28,20,O,0.0
28,20,Y,0.28884799999999994
28,20,B,0.711152
29,20,O,0.0
29,20,Y,0.285416
29,20,B,0.7145840000000001
30,20,O,0.0
30,20,Y,0.288454
30,20,B,0.711546
31,20,O,0.0
31,20,Y,0.28378600000000004
31,20,B,0.7162139999999999
32,20,O,0.0
32,20,Y,0.291352
32,20,B,0.7086480000000001
33,20,O,0.0
33,20,Y,0.28568999999999994
33,20,B,0.71431
34,20,O,0.0
34,20,Y,0.2906500000000001
34,20,B,0.70935
35,20,O,0.0
35,20,Y,0.282328
35,20,B,0.7176720000000002
36,20,O,0.0
36,20,Y,0.2890039999999999
36,20,B,0.710996
37,20,O,0.0
37,20,Y,0.28668999999999994
37,20,B,0.7133099999999999
38,20,O,0.0
38,20,Y,0.2919379999999999
38,20,B,0.7080619999999997
39,20,O,0.0
39,20,Y,0.286874
39,20,B,0.7131259999999999
40,20,O,0.0
40,20,Y,0.28933600000000004
40,20,B,0.710664
41,20,O,0.0
41,20,Y,0.285464
41,20,B,0.7145359999999998
42,20,O,0.0
42,20,Y,0.29141799999999995
42,20,B,0.7085820000000003
43,20,O,0.0
43,20,Y,0.2843479999999999
43,20,B,0.7156520000000001
44,20,O,0.0
44,20,Y,0.2927700000000001
44,20,B,0.7072300000000001
45,20,O,0.0
45,20,Y,0.28356000000000003
45,20,B,0.7164400000000001
46,20,O,0.0
46,20,Y,0.29315
46,20,B,0.70685
47,20,O,0.0
47,20,Y,0.28215799999999985
47,20,B,0.7178419999999999
48,20,O,0.0
48,20,Y,0.29245799999999994
48,20,B,0.707542
49,20,O,0.0
49,20,Y,0.284658
49,20,B,0.7153419999999998
50,20,O,0.0
50,20,Y,0.29384199999999994
50,20,B,0.7061580000000001
51,20,O,0.0
51,20,Y,0.284184
51,20,B,0.7158159999999999
52,20,O,0.0
52,20,Y,0.2919919999999999
52,20,B,0.7080079999999999
53,20,O,0.0
53,20,Y,0.28448799999999985
53,20,B,0.7155119999999998
54,20,O,0.0
54,20,Y,0.29108999999999996
54,20,B,0.70891
55,20,O,0.0
55,20,Y,0.28663999999999995
55,20,B,0.7133600000000001
56,20,O,0.0
56,20,Y,0.28963
56,20,B,0.7103699999999997
57,20,O,0.0
57,20,Y,0.28297399999999995
57,20,B,0.7170259999999999
58,20,O,0.0
58,20,Y,0.29052999999999995
58,20,B,0.7094699999999999
59,20,O,0.0
59,20,Y,0.28648799999999996
59,20,B,0.7135119999999998
60,20,O,0.0
60,20,Y,0.29008
60,20,B,0.70992
61,20,O,0.0
61,20,Y,0.2891000000000001
61,20,B,0.7109000000000001
62,20,O,0.0
62,20,Y,0.2899940000000001
62,20,B,0.710006
63,20,O,0.0
63,20,Y,0.286506
63,20,B,0.7134940000000001
64,20,O,0.0
64,20,Y,0.289076
64,20,B,0.7109240000000001
65,20,O,0.0
65,20,Y,0.28821399999999997
65,20,B,0.7117860000000001
66,20,O,0.0
66,20,Y,0.290772
66,20,B,0.7092280000000001
67,20,O,0.0
67,20,Y,0.28563800000000006
67,20,B,0.7143619999999999
68,20,O,0.0
68,20,Y,0.28859199999999996
68,20,B,0.7114079999999998
69,20,O,0.0
69,20,Y,0.287322
69,20,B,0.7126780000000003
70,20,O,0.0
70,20,Y,0.291198
70,20,B,0.708802
71,20,O,0.0
71,20,Y,0.28685799999999995
71,20,B,0.7131419999999998
72,20,O,0.0
72,20,Y,0.288926
72,20,B,0.711074
73,20,O,0.0
73,20,Y,0.287272
73,20,B,0.7127280000000001
74,20,O,0.0
74,20,Y,0.288288
74,20,B,0.711712
75,20,O,0.0
75,20,Y,0.28737
75,20,B,0.7126300000000001
76,20,O,0.0
76,20,Y,0.2887179999999999
76,20,B,0.7112820000000001
77,20,O,0.0
77,20,Y,0.28645200000000004
77,20,B,0.7135480000000003
78,20,O,0.0
78,20,Y,0.28881599999999996
78,20,B,0.7111839999999999
79,20,O,0.0
79,20,Y,0.2883180000000001
79,20,B,0.7116820000000001
80,20,O,0.0
80,20,Y,0.28875399999999996
80,20,B,0.711246
81,20,O,0.0
81,20,Y,0.2882519999999999
