t,y,estrategia,n_vizinhos_media
0,16,O,
0,16,Y,
0,16,B,
1,16,O,10.668500869565579
1,16,Y,18.67405348217363
1,16,B,9.337519477608152
2,16,O,15.853677849498283
2,16,Y,23.92078170270137
2,16,B,13.13735290485607
3,16,O,0.0
3,16,Y,23.746917339155104
3,16,B,9.302400774708099
4,16,O,0.0
4,16,Y,23.640300266360967
4,16,B,8.980058558058502
5,16,O,0.0
5,16,Y,23.482462340885835
5,16,B,8.784738082740768
6,16,O,0.0
6,16,Y,23.335205678965657
6,16,B,8.504407697908551
7,16,O,0.0
7,16,Y,23.189605493295986
7,16,B,8.614757306253972
8,16,O,0.0
8,16,Y,23.02275478993395
8,16,B,8.491859511336179
9,16,O,0.0
9,16,Y,22.778791035670643
9,16,B,8.321878900612285
10,16,O,0.0
10,16,Y,22.554866541862154
10,16,B,7.804259259748501
11,16,O,0.0
11,16,Y,22.423034352489072
11,16,B,7.948958612792779
12,16,O,0.0
12,16,Y,22.312474091795167
12,16,B,7.676851942045338
13,16,O,0.0
13,16,Y,22.051467421778476
13,16,B,7.953795144290284
14,16,O,0.0
14,16,Y,21.76616374348312
14,16,B,7.665507280611799
15,16,O,0.0
15,16,Y,21.55520021473886
15,16,B,7.596624474233762
16,16,O,0.0
16,16,Y,21.240939691204616
16,16,B,7.496481669749864
17,16,O,0.0
17,16,Y,20.89478198707216
17,16,B,7.498629850472212
18,16,O,0.0
18,16,Y,20.55876888071176
18,16,B,7.3424439301427675
19,16,O,0.0
19,16,Y,20.32369800920933
19,16,B,7.318699968081713
20,16,O,0.0
20,16,Y,20.13923052064756
20,16,B,7.190421574822109
21,16,O,0.0
21,16,Y,19.93704973955849
21,16,B,7.247898071235348
22,16,O,0.0
22,16,Y,19.744120339386708
22,16,B,7.174602494024009
23,16,O,0.0
23,16,Y,19.610850496348004
23,16,B,7.15073096645947
24,16,O,0.0
24,16,Y,19.465610820395675
24,16,B,7.144469256260587
25,16,O,0.0
25,16,Y,19.363014416398762
25,16,B,7.154124499125439
26,16,O,0.0
26,16,Y,19.2495365120007
26,16,B,7.112353313336283
27,16,O,0.0
27,16,Y,19.182721282363374
27,16,B,7.122631932146424
28,16,O,0.0
28,16,Y,19.119371713623494
28,16,B,7.094203429592162
29,16,O,0.0
29,16,Y,19.092824316780675
29,16,B,7.1251411493314425
30,16,O,0.0
30,16,Y,19.072425828510458
30,16,B,7.103572184529295
31,16,O,0.0
31,16,Y,19.03736059719682
31,16,B,7.114712861910512
32,16,O,0.0
32,16,Y,18.987621166408612
32,16,B,7.0633988070149964
33,16,O,0.0
33,16,Y,18.976918117349722
33,16,B,7.10435726165406
34,16,O,0.0
34,16,Y,18.97199460346912
34,16,B,7.071494854967966
35,16,O,0.0
35,16,Y,18.98051835507231
35,16,B,7.089203879121389
36,16,O,0.0
36,16,Y,18.95773764975464
36,16,B,7.066256133314406
37,16,O,0.0
37,16,Y,18.961289725723308
37,16,B,7.1002898904350165
38,16,O,0.0
38,16,Y,18.955281536369508
38,16,B,7.064417979402435
39,16,O,0.0
39,16,Y,18.96071544003096
39,16,B,7.101752240598792
40,16,O,0.0
40,16,Y,18.949836306094642
40,16,B,7.06965915305979
41,16,O,0.0
41,16,Y,18.95662150706347
41,16,B,7.098232280817224
42,16,O,0.0
42,16,Y,18.94025498704221
42,16,B,7.07041695805123
43,16,O,0.0
43,16,Y,18.961592718470808
43,16,B,7.100852757288185
44,16,O,0.0
44,16,Y,18.968006972061318
44,16,B,7.085113708845788
45,16,O,0.0
45,16,Y,18.974955073221565
45,16,B,7.088638007860694
46,16,O,0.0
46,16,Y,18.97133577520637
46,16,B,7.091823750464655
47,16,O,0.0
47,16,Y,18.968321202540288
47,16,B,7.097933764134277
48,16,O,0.0
48,16,Y,18.96449811523791
48,16,B,7.067547996464347
49,16,O,0.0
49,16,Y,18.991684287828175
49,16,B,7.121832826008989
50,16,O,0.0
50,16,Y,18.99091810794312
50,16,B,7.078340469842966
51,16,O,0.0
51,16,Y,18.979067688119507
51,16,B,7.101710064217529
52,16,O,0.0
52,16,Y,18.944586133884133
52,16,B,7.07727420644976
53,16,O,0.0
53,16,Y,18.949766526241184
53,16,B,7.07633590843065
54,16,O,0.0
54,16,Y,18.959338616810545
54,16,B,7.092564780830754
55,16,O,0.0
55,16,Y,18.958270982549692
55,16,B,7.087818133177853
56,16,O,0.0
56,16,Y,18.964472742044347
56,16,B,7.0923191527337135
57,16,O,0.0
57,16,Y,18.95505694816013
57,16,B,7.074362648966712
58,16,O,0.0
58,16,Y,18.979093022046815
58,16,B,7.108270100780878
59,16,O,0.0
59,16,Y,18.978864332056116
59,16,B,7.0820371239772735
60,16,O,0.0
60,16,Y,18.979455530742293
60,16,B,7.10669300642707
61,16,O,0.0
61,16,Y,18.970100333698355
61,16,B,7.073042192811797
62,16,O,0.0
62,16,Y,18.975550024326964
62,16,B,7.107352154551503
63,16,O,0.0
63,16,Y,18.961662715171293
63,16,B,7.083178661041858
64,16,O,0.0
64,16,Y,18.980068891984434
64,16,B,7.101356211254296
65,16,O,0.0
65,16,Y,18.94356426290819
65,16,B,7.069502336482975
66,16,O,0.0
66,16,Y,18.936710992205843
66,16,B,7.082661774576322
67,16,O,0.0
67,16,Y,18.94316437679467
67,16,B,7.071441993541347
68,16,O,0.0
68,16,Y,18.957697047365713
68,16,B,7.0894474271914465
69,16,O,0.0
69,16,Y,18.963806089728017
69,16,B,7.0818757756356945
70,16,O,0.0
70,16,Y,18.96813055160394
70,16,B,7.091678089123592
71,16,O,0.0
71,16,Y,18.97550327033007
71,16,B,7.084450634816477
72,16,O,0.0
72,16,Y,18.968691341091517
72,16,B,7.095807887826663
73,16,O,0.0
73,16,Y,18.96369689084819
73,16,B,7.085399192736925
74,16,O,0.0
74,16,Y,18.943379262051245
74,16,B,7.080771117348679
