t,y,estrategia,frequencia_media
0,12,O,0.333282
0,12,Y,0.33389599999999997
0,12,B,0.33282199999999995
1,12,O,0.026836000000000013
1,12,Y,0.9029520000000001
1,12,B,0.07021199999999998
2,12,O,0.000196
2,12,Y,0.7475620000000002
2,12,B,0.252242
3,12,O,8e-05
3,12,Y,0.5839620000000001
3,12,B,0.4159579999999999
4,12,O,7.400000000000001e-05
4,12,Y,0.44807200000000014
4,12,B,0.5518539999999998
5,12,O,3.8e-05
5,12,Y,0.324386
5,12,B,0.6755760000000001
6,12,O,2.2000000000000003e-05
6,12,Y,0.23442
6,12,B,0.7655580000000001
7,12,O,1e-05
7,12,Y,0.16951000000000005
7,12,B,0.83048
8,12,O,4e-06
8,12,Y,0.128244
8,12,B,0.8717520000000001
9,12,O,5.999999999999999e-06
9,12,Y,0.100922
9,12,B,0.899072
10,12,O,0.0
10,12,Y,0.08265999999999998
10,12,B,0.9173399999999998
11,12,O,0.0
11,12,Y,0.07233999999999999
11,12,B,0.9276599999999998
12,12,O,0.0
12,12,Y,0.06482200000000002
12,12,B,0.9351780000000001
13,12,O,0.0
13,12,Y,0.06150599999999999
13,12,B,0.9384939999999999
14,12,O,0.0
14,12,Y,0.057884000000000005
14,12,B,0.942116
15,12,O,0.0
15,12,Y,0.05625799999999999
15,12,B,0.9437420000000003
16,12,O,0.0
16,12,Y,0.053648
16,12,B,0.946352
17,12,O,0.0
17,12,Y,0.05321800000000001
17,12,B,0.946782
18,12,O,0.0
18,12,Y,0.05163600000000001
18,12,B,0.9483639999999997
19,12,O,0.0
19,12,Y,0.050598000000000004
19,12,B,0.9494019999999997
20,12,O,0.0
20,12,Y,0.04999000000000001
20,12,B,0.9500099999999998
21,12,O,0.0
21,12,Y,0.04931800000000001
21,12,B,0.9506819999999999
22,12,O,0.0
22,12,Y,0.049167999999999996
22,12,B,0.950832
23,12,O,0.0
23,12,Y,0.049107999999999985
23,12,B,0.9508920000000002
24,12,O,0.0
24,12,Y,0.048142
24,12,B,0.9518580000000003
25,12,O,0.0
25,12,Y,0.048966
25,12,B,0.9510340000000003
26,12,O,0.0
26,12,Y,0.04785800000000001
26,12,B,0.9521420000000002
27,12,O,0.0
27,12,Y,0.04734800000000001
27,12,B,0.9526519999999998
28,12,O,0.0
28,12,Y,0.04656600000000001
28,12,B,0.9534340000000001
29,12,O,0.0
29,12,Y,0.04664000000000001
29,12,B,0.95336
30,12,O,0.0
30,12,Y,0.046498
30,12,B,0.9535019999999998
31,12,O,0.0
31,12,Y,0.04675200000000001
31,12,B,0.9532480000000001
32,12,O,0.0
32,12,Y,0.04636000000000001
32,12,B,0.9536399999999999
33,12,O,0.0
33,12,Y,0.04659
33,12,B,0.95341
34,12,O,0.0
34,12,Y,0.04545199999999999
34,12,B,0.9545480000000002
35,12,O,0.0
35,12,Y,0.045781999999999996
35,12,B,0.9542179999999999
36,12,O,0.0
36,12,Y,0.04551199999999999
36,12,B,0.9544879999999999
37,12,O,0.0
37,12,Y,0.045668000000000014
37,12,B,0.9543319999999998
38,12,O,0.0
38,12,Y,0.045700000000000005
38,12,B,0.9542999999999998
39,12,O,0.0
39,12,Y,0.04562399999999999
39,12,B,0.9543760000000003
40,12,O,0.0
40,12,Y,0.04635199999999999
40,12,B,0.9536480000000002
41,12,O,0.0
41,12,Y,0.046062000000000006
41,12,B,0.953938
42,12,O,0.0
42,12,Y,0.045052
42,12,B,0.9549479999999997
43,12,O,0.0
43,12,Y,0.045432000000000014
43,12,B,0.9545679999999999
44,12,O,0.0
44,12,Y,0.04497599999999999
44,12,B,0.9550239999999997
45,12,O,0.0
45,12,Y,0.044871999999999995
45,12,B,0.9551279999999999
46,12,O,0.0
46,12,Y,0.04467400000000001
46,12,B,0.9553259999999998
47,12,O,0.0
47,12,Y,0.04500199999999999
47,12,B,0.9549979999999998
48,12,O,0.0
48,12,Y,0.044834
48,12,B,0.955166
49,12,O,0.0
49,12,Y,0.04447200000000001
49,12,B,0.9555279999999996
50,12,O,0.0
50,12,Y,0.04478399999999999
50,12,B,0.9552160000000002
51,12,O,0.0
51,12,Y,0.043998
51,12,B,0.956002
52,12,O,0.0
52,12,Y,0.04432800000000001
52,12,B,0.9556720000000002
53,12,O,0.0
53,12,Y,0.04452599999999998
53,12,B,0.9554739999999999
54,12,O,0.0
54,12,Y,0.04407400000000001
54,12,B,0.9559259999999999
55,12,O,0.0
55,12,Y,0.04420200000000001
55,12,B,0.9557979999999999
56,12,O,0.0
56,12,Y,0.04412800000000001
56,12,B,0.9558720000000003
57,12,O,0.0
57,12,Y,0.04409599999999998
57,12,B,0.955904
58,12,O,0.0
58,12,Y,0.043928
58,12,B,0.9560719999999999
59,12,O,0.0
59,12,Y,0.04460000000000003
59,12,B,0.9554
60,12,O,0.0
60,12,Y,0.043894
60,12,B,0.9561060000000002
61,12,O,0.0
61,12,Y,0.04380000000000002
61,12,B,0.9561999999999999
62,12,O,0.0
62,12,Y,0.043576000000000004
62,12,B,0.9564239999999998
63,12,O,0.0
63,12,Y,0.043842
63,12,B,0.956158
