Generation,O,Y,B,sim
156,0.0,0.1488,0.8512,1
157,0.0,0.1417,0.8583,1
158,0.0,0.1637,0.8363,1
159,0.0,0.1192,0.8808,1
160,0.0,0.1561,0.8439,1
161,0.0,0.115,0.885,1
162,0.0,0.1501,0.8499,1
163,0.0,0.125,0.875,1
164,0.0,0.1633,0.8367,1
165,0.0,0.124,0.876,1
166,0.0,0.1568,0.8432,1
167,0.0,0.1144,0.8856,1
168,0.0,0.1506,0.8494,1
169,0.0,0.1396,0.8604,1
170,0.0,0.1585,0.8415,1
171,0.0,0.1038,0.8962,1
172,0.0,0.1715,0.8285,1
173,0.0,0.1168,0.8832,1
174,0.0,0.1486,0.8514,1
175,0.0,0.135,0.865,1
176,0.0,0.1758,0.8242,1
177,0.0,0.1185,0.8815,1
178,0.0,0.1502,0.8498,1
179,0.0,0.1261,0.8739,1
180,0.0,0.132,0.868,1
181,0.0,0.1367,0.8633,1
182,0.0,0.1414,0.8586,1
183,0.0,0.1365,0.8635,1
184,0.0,0.1373,0.8627,1
185,0.0,0.141,0.859,1
186,0.0,0.1438,0.8562,1
187,0.0,0.1525,0.8475,1
188,0.0,0.1585,0.8415,1
189,0.0,0.1447,0.8553,1
190,0.0,0.1502,0.8498,1
191,0.0,0.1373,0.8627,1
192,0.0,0.1319,0.8681,1
193,0.0,0.1527,0.8473,1
194,0.0,0.1263,0.8737,1
195,0.0,0.1714,0.8286,1
196,0.0,0.1207,0.8793,1
197,0.0,0.1322,0.8678,1
198,0.0,0.1273,0.8727,1
199,0.0,0.163,0.837,1
200,0.0,0.1278,0.8722,1
0,0.4936,0.4966,0.0098,2
1,0.0,0.9998,0.0002,2
2,0.0,0.9902,0.0098,2
3,0.0,0.9662,0.0338,2
4,0.0,0.9302,0.0698,2
5,0.0,0.8774,0.1226,2
6,0.0,0.851,0.149,2
7,0.0,0.7734,0.2266,2
8,0.0,0.7158,0.2842,2
9,0.0,0.6354,0.3646,2
10,0.0,0.6085,0.3915,2
11,0.0,0.5757,0.4243,2
12,0.0,0.4719,0.5281,2
13,0.0,0.4335,0.5665,2
14,0.0,0.317,0.683,2
15,0.0,0.3118,0.6882,2
16,0.0,0.2022,0.7978,2
17,0.0,0.2046,0.7954,2
18,0.0,0.181,0.819,2
19,0.0,0.2106,0.7894,2
20,0.0,0.1889,0.8111,2
21,0.0,0.2085,0.7915,2
22,0.0,0.1811,0.8189,2
23,0.0,0.1899,0.8101,2
24,0.0,0.1408,0.8592,2
25,0.0,0.1749,0.8251,2
26,0.0,0.1164,0.8836,2
27,0.0,0.1515,0.8485,2
28,0.0,0.1228,0.8772,2
29,0.0,0.1358,0.8642,2
30,0.0,0.1497,0.8503,2
31,0.0,0.1325,0.8675,2
32,0.0,0.1409,0.8591,2
33,0.0,0.1491,0.8509,2
34,0.0,0.1102,0.8898,2
35,0.0,0.1409,0.8591,2
36,0.0,0.1419,0.8581,2
37,0.0,0.1274,0.8726,2
38,0.0,0.1502,0.8498,2
39,0.0,0.1371,0.8629,2
40,0.0,0.1439,0.8561,2
41,0.0,0.149,0.851,2
42,0.0,0.1514,0.8486,2
43,0.0,0.1475,0.8525,2
44,0.0,0.1429,0.8571,2
45,0.0,0.1391,0.8609,2
46,0.0,0.1587,0.8413,2
47,0.0,0.1485,0.8515,2
48,0.0,0.1496,0.8504,2
49,0.0,0.1424,0.8576,2
50,0.0,0.1416,0.8584,2
51,0.0,0.1434,0.8566,2
52,0.0,0.1401,0.8599,2
53,0.0,0.1387,0.8613,2
54,0.0,0.1589,0.8411,2
55,0.0,0.1448,0.8552,2
56,0.0,0.1386,0.8614,2
57,0.0,0.1521,0.8479,2
58,0.0,0.1309,0.8691,2
59,0.0,0.1392,0.8608,2
60,0.0,0.1445,0.8555,2
61,0.0,0.1414,0.8586,2
62,0.0,0.1358,0.8642,2
63,0.0,0.1514,0.8486,2
64,0.0,0.137,0.863,2
65,0.0,0.1466,0.8534,2
66,0.0,0.1561,0.8439,2
67,0.0,0.1475,0.8525,2
68,0.0,0.1315,0.8685,2
69,0.0,0.1486,0.8514,2
70,0.0,0.1443,0.8557,2
71,0.0,0.1485,0.8515,2
72,0.0,0.1507,0.8493,2
73,0.0,0.1321,0.8679,2
74,0.0,0.1643,0.8357,2
75,0.0,0.1382,0.8618,2
76,0.0,0.1426,0.8574,2
77,0.0,0.1385,0.8615,2
78,0.0,0.1673,0.8327,2
79,0.0,0.1355,0.8645,2
80,0.0,0.1435,0.8565,2
81,0.0,0.1375,0.8625,2
82,0.0,0.147,0.853,2
83,0.0,0.134,0.866,2
84,0.0,0.1452,0.8548,2
85,0.0,0.1568,0.8432,2
86,0.0,0.1305,0.8695,2
87,0.0,0.1447,0.8553,2
88,0.0,0.1262,0.8738,2
89,0.0,0.1642,0.8358,2
90,0.0,0.1299,0.8701,2
91,0.0,0.1337,0.8663,2
92,0.0,0.1523,0.8477,2
93,0.0,0.1322,0.8678,2
