"","Generation","strategy","freq_media"
"1",0,"B",0.010044
"2",0,"O",0.4948
"3",0,"Y",0.495156
"4",1,"B",0.001011
"5",1,"O",0
"6",1,"Y",0.998989
"7",2,"B",0.012466
"8",2,"O",0
"9",2,"Y",0.987534
"10",3,"B",0.035699
"11",3,"O",0
"12",3,"Y",0.964301
"13",4,"B",0.067238
"14",4,"O",0
"15",4,"Y",0.932762
"16",5,"B",0.112471
"17",5,"O",0
"18",5,"Y",0.887529
"19",6,"B",0.135065
"20",6,"O",0
"21",6,"Y",0.864935
"22",7,"B",0.199061
"23",7,"O",0
"24",7,"Y",0.800939
"25",8,"B",0.261048
"26",8,"O",0
"27",8,"Y",0.738952
"28",9,"B",0.335162
"29",9,"O",0
"30",9,"Y",0.664838
"31",10,"B",0.340753
"32",10,"O",0
"33",10,"Y",0.659247
"34",11,"B",0.368798
"35",11,"O",0
"36",11,"Y",0.631202
"37",12,"B",0.429914
"38",12,"O",0
"39",12,"Y",0.570086
"40",13,"B",0.469433
"41",13,"O",0
"42",13,"Y",0.530567
"43",14,"B",0.537971
"44",14,"O",0
"45",14,"Y",0.462029
"46",15,"B",0.55163
"47",15,"O",0
"48",15,"Y",0.44837
"49",16,"B",0.666283
"50",16,"O",0
"51",16,"Y",0.333717
"52",17,"B",0.687292
"53",17,"O",0
"54",17,"Y",0.312708
"55",18,"B",0.71925
"56",18,"O",0
"57",18,"Y",0.28075
"58",19,"B",0.671645
"59",19,"O",0
"60",19,"Y",0.328355
"61",20,"B",0.715011
"62",20,"O",0
"63",20,"Y",0.284989
"64",21,"B",0.673409
"65",21,"O",0
"66",21,"Y",0.326591
"67",22,"B",0.702284
"68",22,"O",0
"69",22,"Y",0.297716
"70",23,"B",0.668937
"71",23,"O",0
"72",23,"Y",0.331063
"73",24,"B",0.707258
"74",24,"O",0
"75",24,"Y",0.292742
"76",25,"B",0.672484
"77",25,"O",0
"78",25,"Y",0.327516
"79",26,"B",0.704107
"80",26,"O",0
"81",26,"Y",0.295893
"82",27,"B",0.66902
"83",27,"O",0
"84",27,"Y",0.33098
"85",28,"B",0.705347
"86",28,"O",0
"87",28,"Y",0.294653
"88",29,"B",0.676225
"89",29,"O",0
"90",29,"Y",0.323775
"91",30,"B",0.704956
"92",30,"O",0
"93",30,"Y",0.295044
"94",31,"B",0.675713
"95",31,"O",0
"96",31,"Y",0.324287
"97",32,"B",0.700239
"98",32,"O",0
"99",32,"Y",0.299761
"100",33,"B",0.676684
"101",33,"O",0
"102",33,"Y",0.323316
"103",34,"B",0.700416
"104",34,"O",0
"105",34,"Y",0.299584
"106",35,"B",0.67678
"107",35,"O",0
"108",35,"Y",0.32322
"109",36,"B",0.697172
"110",36,"O",0
"111",36,"Y",0.302828
"112",37,"B",0.679096
"113",37,"O",0
"114",37,"Y",0.320904
"115",38,"B",0.696931
"116",38,"O",0
"117",38,"Y",0.303069
"118",39,"B",0.677399
"119",39,"O",0
"120",39,"Y",0.322601
"121",40,"B",0.696673
"122",40,"O",0
"123",40,"Y",0.303327
"124",41,"B",0.678147
"125",41,"O",0
"126",41,"Y",0.321853
"127",42,"B",0.694439
"128",42,"O",0
"129",42,"Y",0.305561
"130",43,"B",0.684014
"131",43,"O",0
"132",43,"Y",0.315986
"133",44,"B",0.693714
"134",44,"O",0
"135",44,"Y",0.306286
"136",45,"B",0.680988
"137",45,"O",0
"138",45,"Y",0.319012
"139",46,"B",0.692203
"140",46,"O",0
"141",46,"Y",0.307797
"142",47,"B",0.682431
"143",47,"O",0
"144",47,"Y",0.317569
"145",48,"B",0.688631
"146",48,"O",0
"147",48,"Y",0.311369
"148",49,"B",0.681294
"149",49,"O",0
"150",49,"Y",0.318706
"151",50,"B",0.688118
"152",50,"O",0
"153",50,"Y",0.311882
"154",51,"B",0.683819
"155",51,"O",0
"156",51,"Y",0.316181
"157",52,"B",0.688161
"158",52,"O",0
"159",52,"Y",0.311839
"160",53,"B",0.688576
"161",53,"O",0
"162",53,"Y",0.311424
"163",54,"B",0.686464
"164",54,"O",0
"165",54,"Y",0.313536
"166",55,"B",0.689752
"167",55,"O",0
"168",55,"Y",0.310248
"169",56,"B",0.685934
"170",56,"O",0
"171",56,"Y",0.314066
"172",57,"B",0.68802
"173",57,"O",0
"174",57,"Y",0.31198
"175",58,"B",0.686933
"176",58,"O",0
"177",58,"Y",0.313067
"178",59,"B",0.685301
"179",59,"O",0
"180",59,"Y",0.314699
"181",60,"B",0.686212
"182",60,"O",0
"183",60,"Y",0.313788
"184",61,"B",0.683214
"185",61,"O",0
"186",61,"Y",0.316786
"187",62,"B",0.68842
"188",62,"O",0
"189",62,"Y",0.31158
"190",63,"B",0.68604
"191",63,"O",0
"192",63,"Y",0.31396
"193",64,"B",0.68756
"194",64,"O",0
"195",64,"Y",0.31244
"196",65,"B",0.6817
"197",65,"O",0
"198",65,"Y",0.3183
"199",66,"B",0.690386
"200",66,"O",0
"201",66,"Y",0.309614
"202",67,"B",0.685288
"203",67,"O",0
"204",67,"Y",0.314712
"205",68,"B",0.690298
"206",68,"O",0
