t,pop,estrategia,frequencia
2,67,Y,0.9144
2,67,B,0.0856
2,68,O,0.0
2,68,Y,0.9552
2,68,B,0.0448
2,69,O,0.0
2,69,Y,0.9772
2,69,B,0.0228
2,70,O,0.0
2,70,Y,0.963
2,70,B,0.037
2,71,O,0.0
2,71,Y,0.993
2,71,B,0.007
2,72,O,0.0
2,72,Y,0.9704
2,72,B,0.0296
2,73,O,0.0
2,73,Y,0.9741
2,73,B,0.0259
2,74,O,0.0
2,74,Y,0.9316
2,74,B,0.0684
2,75,O,0.0
2,75,Y,0.9592
2,75,B,0.0408
2,76,O,0.0
2,76,Y,0.9337
2,76,B,0.0663
2,77,O,0.0
2,77,Y,0.9382
2,77,B,0.0618
2,78,O,0.0
2,78,Y,0.9599
2,78,B,0.0401
2,79,O,0.0
2,79,Y,0.9681
2,79,B,0.0319
2,80,O,0.0
2,80,Y,0.9013
2,80,B,0.0987
2,81,O,0.0
2,81,Y,0.868
2,81,B,0.132
2,82,O,0.0
2,82,Y,0.9476
2,82,B,0.0524
2,83,O,0.0
2,83,Y,0.9139
2,83,B,0.0861
2,84,O,0.0
2,84,Y,0.9783
2,84,B,0.0217
2,85,O,0.0
2,85,Y,0.9391
2,85,B,0.0609
2,86,O,0.0
2,86,Y,0.9361
2,86,B,0.0639
2,87,O,0.0
2,87,Y,0.9243
2,87,B,0.0757
2,88,O,0.0
2,88,Y,0.9452
2,88,B,0.0548
2,89,O,0.0
2,89,Y,0.971
2,89,B,0.029
2,90,O,0.0
2,90,Y,0.9741
2,90,B,0.0259
2,91,O,0.0
2,91,Y,0.925
2,91,B,0.075
2,92,O,0.0
2,92,Y,0.9951
2,92,B,0.0049
2,93,O,0.0
2,93,Y,0.9561
2,93,B,0.0439
2,94,O,0.0
2,94,Y,0.9333
2,94,B,0.0667
2,95,O,0.0
2,95,Y,0.9707
2,95,B,0.0293
2,96,O,0.0
2,96,Y,0.9772
2,96,B,0.0228
2,97,O,0.0
2,97,Y,0.9722
2,97,B,0.0278
2,98,O,0.0
2,98,Y,0.9249
2,98,B,0.0751
2,99,O,0.0
2,99,Y,0.9881
2,99,B,0.0119
3,0,O,0.0
3,0,Y,0.8794
3,0,B,0.1206
3,1,O,0.0
3,1,Y,0.821
3,1,B,0.179
3,2,O,0.0
3,2,Y,0.84
3,2,B,0.16
3,3,O,0.0
3,3,Y,0.8423
3,3,B,0.1577
3,4,O,0.0
3,4,Y,0.8351
3,4,B,0.1649
3,5,O,0.0
3,5,Y,0.885
3,5,B,0.115
3,6,O,0.0
3,6,Y,0.9378
3,6,B,0.0622
3,7,O,0.0
3,7,Y,0.8339
3,7,B,0.1661
3,8,O,0.0
3,8,Y,0.8338
3,8,B,0.1662
3,9,O,0.0
3,9,Y,0.8872
3,9,B,0.1128
3,10,O,0.0
3,10,Y,0.7328
3,10,B,0.2672
3,11,O,0.0
3,11,Y,0.8447
3,11,B,0.1553
3,12,O,0.0
3,12,Y,0.8178
3,12,B,0.1822
3,13,O,0.0
