Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.003,0.9057,0.0913,1
2,0.0,0.1155,0.8845,1
3,0.0,0.0832,0.9168,1
4,0.0,0.142,0.858,1
5,0.0,0.1325,0.8675,1
6,0.0,0.1914,0.8086,1
7,0.0,0.1669,0.8331,1
8,0.0,0.2063,0.7937,1
9,0.0,0.1665,0.8335,1
10,0.0,0.2111,0.7889,1
11,0.0,0.1691,0.8309,1
12,0.0,0.2059,0.7941,1
13,0.0,0.1777,0.8223,1
14,0.0,0.1993,0.8007,1
15,0.0,0.1781,0.8219,1
16,0.0,0.197,0.803,1
17,0.0,0.1691,0.8309,1
18,0.0,0.2094,0.7906,1
19,0.0,0.1672,0.8328,1
20,0.0,0.2173,0.7827,1
21,0.0,0.1749,0.8251,1
22,0.0,0.1963,0.8037,1
23,0.0,0.1752,0.8248,1
24,0.0,0.2059,0.7941,1
25,0.0,0.1575,0.8425,1
26,0.0,0.2199,0.7801,1
27,0.0,0.1671,0.8329,1
28,0.0,0.2058,0.7942,1
29,0.0,0.1557,0.8443,1
30,0.0,0.2161,0.7839,1
31,0.0,0.1514,0.8486,1
32,0.0,0.2185,0.7815,1
33,0.0,0.1567,0.8433,1
34,0.0,0.2361,0.7639,1
35,0.0,0.1567,0.8433,1
36,0.0,0.2194,0.7806,1
37,0.0,0.1535,0.8465,1
38,0.0,0.2256,0.7744,1
39,0.0,0.1418,0.8582,1
40,0.0,0.2284,0.7716,1
41,0.0,0.1534,0.8466,1
42,0.0,0.2263,0.7737,1
43,0.0,0.1437,0.8563,1
44,0.0,0.227,0.773,1
45,0.0,0.1369,0.8631,1
46,0.0,0.2215,0.7785,1
47,0.0,0.1283,0.8717,1
48,0.0,0.2302,0.7698,1
49,0.0,0.1331,0.8669,1
50,0.0,0.2417,0.7583,1
51,0.0,0.1313,0.8687,1
52,0.0,0.2315,0.7685,1
53,0.0,0.1382,0.8618,1
54,0.0,0.2106,0.7894,1
55,0.0,0.1589,0.8411,1
56,0.0,0.2082,0.7918,1
57,0.0,0.162,0.838,1
58,0.0,0.2117,0.7883,1
59,0.0,0.1589,0.8411,1
60,0.0,0.2036,0.7964,1
61,0.0,0.1647,0.8353,1
62,0.0,0.2035,0.7965,1
63,0.0,0.1625,0.8375,1
64,0.0,0.2078,0.7922,1
65,0.0,0.151,0.849,1
66,0.0,0.2066,0.7934,1
67,0.0,0.161,0.839,1
68,0.0,0.2292,0.7708,1
69,0.0,0.1441,0.8559,1
70,0.0,0.2015,0.7985,1
71,0.0,0.1576,0.8424,1
72,0.0,0.2233,0.7767,1
73,0.0,0.1717,0.8283,1
74,0.0,0.21,0.79,1
75,0.0,0.1573,0.8427,1
76,0.0,0.2177,0.7823,1
77,0.0,0.1692,0.8308,1
78,0.0,0.203,0.797,1
79,0.0,0.1745,0.8255,1
80,0.0,0.2163,0.7837,1
81,0.0,0.167,0.833,1
82,0.0,0.2164,0.7836,1
83,0.0,0.1568,0.8432,1
84,0.0,0.2172,0.7828,1
85,0.0,0.1524,0.8476,1
86,0.0,0.2041,0.7959,1
87,0.0,0.1796,0.8204,1
88,0.0,0.1996,0.8004,1
89,0.0,0.164,0.836,1
90,0.0,0.2181,0.7819,1
91,0.0,0.1512,0.8488,1
92,0.0,0.2114,0.7886,1
93,0.0,0.1582,0.8418,1
94,0.0,0.2247,0.7753,1
95,0.0,0.14,0.86,1
96,0.0,0.2106,0.7894,1
97,0.0,0.1441,0.8559,1
98,0.0,0.2208,0.7792,1
99,0.0,0.1478,0.8522,1
100,0.0,0.233,0.767,1
101,0.0,0.1381,0.8619,1
102,0.0,0.2028,0.7972,1
103,0.0,0.1478,0.8522,1
104,0.0,0.2297,0.7703,1
105,0.0,0.1469,0.8531,1
106,0.0,0.1992,0.8008,1
107,0.0,0.1422,0.8578,1
108,0.0,0.2043,0.7957,1
109,0.0,0.142,0.858,1
110,0.0,0.2256,0.7744,1
111,0.0,0.1439,0.8561,1
112,0.0,0.2208,0.7792,1
113,0.0,0.1375,0.8625,1
114,0.0,0.2195,0.7805,1
115,0.0,0.1438,0.8562,1
116,0.0,0.2317,0.7683,1
117,0.0,0.1424,0.8576,1
118,0.0,0.2179,0.7821,1
119,0.0,0.136,0.864,1
120,0.0,0.228,0.772,1
121,0.0,0.1425,0.8575,1
122,0.0,0.2285,0.7715,1
123,0.0,0.1232,0.8768,1
124,0.0,0.2211,0.7789,1
125,0.0,0.1341,0.8659,1
126,0.0,0.2331,0.7669,1
127,0.0,0.1465,0.8535,1
128,0.0,0.2311,0.7689,1
129,0.0,0.1512,0.8488,1
130,0.0,0.2124,0.7876,1
131,0.0,0.1445,0.8555,1
132,0.0,0.2275,0.7725,1
133,0.0,0.1389,0.8611,1
134,0.0,0.208,0.792,1
135,0.0,0.1412,0.8588,1
136,0.0,0.2298,0.7702,1
137,0.0,0.1401,0.8599,1
138,0.0,0.2251,0.7749,1
139,0.0,0.1388,0.8612,1
140,0.0,0.2169,0.7831,1
141,0.0,0.1492,0.8508,1
142,0.0,0.2216,0.7784,1
143,0.0,0.1469,0.8531,1
144,0.0,0.2336,0.7664,1
145,0.0,0.1473,0.8527,1
146,0.0,0.2255,0.7745,1
147,0.0,0.1436,0.8564,1
148,0.0,0.2446,0.7554,1
149,0.0,0.1344,0.8656,1
150,0.0,0.2218,0.7782,1
151,0.0,0.1457,0.8543,1
152,0.0,0.2395,0.7605,1
153,0.0,0.1418,0.8582,1
154,0.0,0.2271,0.7729,1
155,0.0,0.1427,0.8573,1
156,0.0,0.2339,0.7661,1
157,0.0,0.1445,0.8555,1
158,0.0,0.2291,0.7709,1
159,0.0,0.1467,0.8533,1
160,0.0,0.2319,0.7681,1
161,0.0,0.1452,0.8548,1
162,0.0,0.2028,0.7972,1
163,0.0,0.1497,0.8503,1
164,0.0,0.2168,0.7832,1
165,0.0,0.1408,0.8592,1
166,0.0,0.2234,0.7766,1
167,0.0,0.15,0.85,1
168,0.0,0.2293,0.7707,1
169,0.0,0.1445,0.8555,1
170,0.0,0.2297,0.7703,1
171,0.0,0.1404,0.8596,1
172,0.0,0.2417,0.7583,1
173,0.0,0.1369,0.8631,1
174,0.0,0.228,0.772,1
175,0.0,0.1395,0.8605,1
176,0.0,0.2194,0.7806,1
177,0.0,0.149,0.851,1
178,0.0,0.2245,0.7755,1
179,0.0,0.1521,0.8479,1
180,0.0,0.2131,0.7869,1
181,0.0,0.1575,0.8425,1
182,0.0,0.2113,0.7887,1
183,0.0,0.1622,0.8378,1
184,0.0,0.2199,0.7801,1
185,0.0,0.1481,0.8519,1
186,0.0,0.222,0.778,1
187,0.0,0.1557,0.8443,1
188,0.0,0.221,0.779,1
189,0.0,0.1725,0.8275,1
190,0.0,0.2181,0.7819,1
191,0.0,0.1587,0.8413,1
192,0.0,0.1903,0.8097,1
193,0.0,0.177,0.823,1
194,0.0,0.208,0.792,1
195,0.0,0.1739,0.8261,1
196,0.0,0.2008,0.7992,1
197,0.0,0.1891,0.8109,1
198,0.0,0.1953,0.8047,1
199,0.0,0.1868,0.8132,1
200,0.0,0.1788,0.8212,1
0,0.3368,0.3332,0.33,2
1,0.0015,0.9118,0.0867,2
2,0.0,0.1236,0.8764,2
3,0.0,0.0902,0.9098,2
4,0.0,0.1496,0.8504,2
5,0.0,0.1319,0.8681,2
6,0.0,0.1945,0.8055,2
7,0.0,0.1532,0.8468,2
8,0.0,0.2075,0.7925,2
9,0.0,0.1824,0.8176,2
10,0.0,0.2111,0.7889,2
11,0.0,0.1767,0.8233,2
12,0.0,0.2147,0.7853,2
13,0.0,0.1767,0.8233,2
14,0.0,0.2077,0.7923,2
15,0.0,0.1769,0.8231,2
16,0.0,0.2066,0.7934,2
17,0.0,0.1914,0.8086,2
18,0.0,0.1769,0.8231,2
19,0.0,0.1816,0.8184,2
20,0.0,0.1768,0.8232,2
21,0.0,0.1829,0.8171,2
22,0.0,0.1927,0.8073,2
23,0.0,0.1857,0.8143,2
24,0.0,0.172,0.828,2
25,0.0,0.2022,0.7978,2
26,0.0,0.1829,0.8171,2
27,0.0,0.1974,0.8026,2
28,0.0,0.1842,0.8158,2
29,0.0,0.2045,0.7955,2
30,0.0,0.1655,0.8345,2
31,0.0,0.2053,0.7947,2
32,0.0,0.1687,0.8313,2
33,0.0,0.209,0.791,2
34,0.0,0.163,0.837,2
35,0.0,0.2055,0.7945,2
36,0.0,0.1665,0.8335,2
37,0.0,0.2103,0.7897,2
38,0.0,0.1815,0.8185,2
39,0.0,0.2042,0.7958,2
40,0.0,0.1696,0.8304,2
41,0.0,0.2086,0.7914,2
42,0.0,0.1917,0.8083,2
43,0.0,0.2087,0.7913,2
44,0.0,0.1664,0.8336,2
45,0.0,0.2037,0.7963,2
46,0.0,0.1851,0.8149,2
47,0.0,0.2093,0.7907,2
48,0.0,0.1744,0.8256,2
49,0.0,0.1908,0.8092,2
50,0.0,0.1709,0.8291,2
51,0.0,0.2067,0.7933,2
52,0.0,0.1672,0.8328,2
53,0.0,0.2081,0.7919,2
54,0.0,0.1714,0.8286,2
55,0.0,0.2161,0.7839,2
56,0.0,0.1732,0.8268,2
57,0.0,0.1965,0.8035,2
58,0.0,0.173,0.827,2
59,0.0,0.2097,0.7903,2
