Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,7.909952038369305,8.837708830548927,7.954954954954955,8.34305,1
2,7.8487348734873486,8.567589466576637,7.400900900900901,8.34625,1
3,7.659685863874346,8.287353545114144,7.392421602787456,8.14865,1
4,7.29467680608365,8.02681150320231,6.931510710259301,7.81325,1
5,7.208201892744479,7.898427628808086,6.5484375,7.53095,1
6,7.295566502463054,7.84973425672411,6.159084194977844,7.25495,1
7,7.229622266401591,7.822030757828423,5.77719512195122,6.95385,1
8,7.207446808510638,7.793044953350297,5.524576271186441,6.6893,1
9,7.1256,7.834565163833457,5.33624905944319,6.46215,1
10,7.110570236439499,7.861290322580645,5.120888733379986,6.2409,1
11,7.032828282828283,7.937733499377335,4.9858238825883925,6.0961,1
12,6.947194719471947,8.017755443886097,4.872502456600065,5.99995,1
13,6.925648702594811,8.131993006993007,4.817774519387423,5.97685,1
14,6.929596412556053,8.200176056338028,4.766832092638544,5.98305,1
15,6.839026473099914,8.309962470146708,4.774838928450322,6.0527,1
16,6.816901408450704,8.34673202614379,4.78470505121865,6.1344,1
17,6.818050541516246,8.378063540090771,4.790018832391714,6.25675,1
18,6.856789250353607,8.371873262923847,4.880112269446672,6.41595,1
19,6.790672451193059,8.371130030959753,5.00537861210715,6.55685,1
20,6.787620459599704,8.33909574468085,5.090919158361019,6.66325,1
21,6.773242630385488,8.318518518518518,5.195776910718384,6.7535,1
22,6.796393688955672,8.280323450134771,5.295352146075409,6.82405,1
23,6.856371490280778,8.260720601237843,5.37974064105701,6.8882,1
24,6.799483013293944,8.279427587690984,5.457364341085271,6.9505,1
25,6.800918836140888,8.275253592561285,5.502776375567895,6.98425,1
26,6.722649572649573,8.273903145695364,5.523261630815408,6.9927,1
27,6.662634408602151,8.244674185463658,5.53173828125,6.9569,1
28,6.666817769718948,8.233133433283358,5.507213812677389,6.90785,1
29,6.6184327693677645,8.223939929328623,5.500114968958381,6.85905,1
30,6.652600170502984,8.25748781054098,5.517699115044247,6.83085,1
31,6.737577639751553,8.262569832402235,5.450816104461371,6.77415,1
32,6.754497751124438,8.307065217391305,5.4093763533997405,6.7618,1
33,6.788055353241078,8.269372693726938,5.392590968873301,6.7536,1
34,6.754297994269341,8.30362834027948,5.4488397790055245,6.79555,1
35,6.6985611510791365,8.337606837606838,5.48327796234773,6.82105,1
36,6.639833711262282,8.375512171607616,5.473829505300353,6.832,1
37,6.650525525525525,8.350072780203785,5.4740431148262205,6.81625,1
38,6.716342692584593,8.338213582677165,5.485265009896636,6.8157,1
39,6.767595818815331,8.351434933201386,5.487729383152775,6.8289,1
40,6.752624212736179,8.353646477132262,5.523088820150243,6.84375,1
41,6.739484396200814,8.371858671311271,5.544930108719769,6.85715,1
42,6.7321899736147754,8.389934738955823,5.571,6.8701,1
43,6.741503267973856,8.38876404494382,5.580515117581187,6.88285,1
44,6.72893533638145,8.409459459459459,5.566037735849057,6.90135,1
45,6.7260956175298805,8.410834942084943,5.582873563218391,6.92695,1
46,6.7130872483221475,8.39492494639028,5.616392302341757,6.94595,1
47,6.733198924731183,8.404034375746,5.632084200786491,6.9571,1
48,6.704639889196676,8.385257465318599,5.616662793399954,6.95125,1
49,6.6502849002849,8.397276355952101,5.653677657366844,6.9621,1
50,6.673943661971831,8.391528677705784,5.664740539315658,6.9443,1
51,6.718940936863544,8.376322914102879,5.64796146953405,6.91425,1
52,6.695056780227121,8.415061728395061,5.619582304064675,6.91275,1
