Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.5443,0.3656,0.0901,1
2,0.2556,0.7304,0.014,1
3,0.055,0.9326,0.0124,1
4,0.0146,0.9652,0.0202,1
5,0.0132,0.9539,0.0329,1
6,0.0169,0.9343,0.0488,1
7,0.0204,0.912,0.0676,1
8,0.0239,0.887,0.0891,1
9,0.0275,0.8606,0.1119,1
10,0.0317,0.8327,0.1356,1
11,0.0389,0.8017,0.1594,1
12,0.0439,0.7728,0.1833,1
13,0.0485,0.7442,0.2073,1
14,0.0529,0.7154,0.2317,1
15,0.0566,0.687,0.2564,1
16,0.0609,0.6572,0.2819,1
17,0.0681,0.6247,0.3072,1
18,0.0738,0.5945,0.3317,1
19,0.0825,0.5627,0.3548,1
20,0.0885,0.537,0.3745,1
21,0.0942,0.5141,0.3917,1
22,0.0977,0.4954,0.4069,1
23,0.103,0.479,0.418,1
24,0.1072,0.4666,0.4262,1
25,0.1156,0.4523,0.4321,1
26,0.1182,0.4467,0.4351,1
27,0.1272,0.4386,0.4342,1
28,0.1335,0.4364,0.4301,1
29,0.1379,0.4372,0.4249,1
30,0.1402,0.4407,0.4191,1
31,0.1478,0.4422,0.41,1
32,0.1517,0.4472,0.4011,1
33,0.1556,0.4548,0.3896,1
34,0.1599,0.4605,0.3796,1
35,0.1598,0.4715,0.3687,1
36,0.1609,0.4801,0.359,1
37,0.1659,0.4879,0.3462,1
38,0.1698,0.4947,0.3355,1
39,0.1626,0.5115,0.3259,1
40,0.1591,0.5233,0.3176,1
41,0.157,0.5339,0.3091,1
42,0.1632,0.5375,0.2993,1
43,0.1637,0.5483,0.288,1
44,0.16,0.5596,0.2804,1
45,0.1521,0.5747,0.2732,1
46,0.1508,0.5814,0.2678,1
47,0.145,0.5887,0.2663,1
48,0.1397,0.5971,0.2632,1
49,0.134,0.6037,0.2623,1
50,0.1334,0.6049,0.2617,1
51,0.1326,0.606,0.2614,1
52,0.1319,0.6062,0.2619,1
53,0.1307,0.607,0.2623,1
54,0.1315,0.606,0.2625,1
55,0.1302,0.608,0.2618,1
56,0.1326,0.6067,0.2607,1
57,0.1301,0.6095,0.2604,1
58,0.1292,0.6098,0.261,1
59,0.1301,0.6086,0.2613,1
60,0.1309,0.6076,0.2615,1
61,0.1332,0.605,0.2618,1
62,0.1325,0.6052,0.2623,1
63,0.1344,0.6028,0.2628,1
