Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,33.72727272727273,0.0,43.81514666132746,43.80405,1
2,15.86,0.0,8.004221105527638,8.0435,1
3,21.151785714285715,0.0,8.01072006472492,8.1579,1
4,22.51010101010101,0.0,8.016935319322588,8.3039,1
5,23.12012987012987,0.0,8.023318200577796,8.4883,1
6,23.441176470588236,0.0,8.029922577945177,8.7111,1
7,23.628333333333334,0.0,8.036808510638298,8.9723,1
8,23.745524296675192,0.0,8.044044261228033,9.2719,1
9,23.822874493927124,0.0,8.051708832667554,9.6099,1
10,23.876026272577995,0.0,8.059895240264177,9.9863,1
11,23.913722826086957,0.0,8.068714821763603,10.4011,1
12,23.941142857142857,0.0,8.07830303030303,10.8543,1
13,23.96150097465887,0.0,8.088827377956719,11.3459,1
14,23.98738435660219,0.0,8.097218577801103,11.8759,1
15,24.0129103651789,0.0,8.107422142955137,12.4194,1
16,24.016999019287347,0.0,8.118714882581761,12.982,1
17,24.019865614957638,0.0,8.13136688459784,13.57,1
18,24.022087825400998,0.0,8.145877037276101,14.1836,1
19,24.02381519409383,0.0,8.162730563695915,14.8228,1
20,24.0251572327044,0.0,8.182594173316014,15.4876,1
21,24.02619567374479,0.0,8.206409997984277,16.178,1
22,24.050210353027254,0.0,8.21696448268255,16.873,1
23,24.03550195345677,0.0,8.2448334548991,17.5408,1
24,24.056861499364675,0.0,8.25242980561555,18.2029,1
25,24.038726076555022,0.0,8.282910628019323,18.8204,1
26,24.059719467271183,0.0,8.280931339225017,19.4176,1
27,24.039470127061367,0.0,8.31129900076864,19.947,1
28,24.036739974126778,0.0,8.348017621145374,20.4754,1
29,24.04625031040477,0.0,8.346094552929085,20.991,1
30,24.0296518607443,0.0,8.392814371257485,21.4183,1
31,24.027797162130728,0.0,8.453637660485022,21.8443,1
32,24.026078121472114,0.0,8.53940455341506,22.2575,1
33,24.024478594950605,0.0,8.669662921348314,22.6579,1
34,24.02298481932863,0.0,8.891640866873065,23.0455,1
35,24.030448383733056,0.0,9.148780487804878,23.4203,1
36,24.037533237880957,0.0,9.378378378378379,23.7121,1
37,24.032437348423606,0.0,9.423076923076923,23.8805,1
38,24.009646302250804,0.0,10.666666666666666,23.9456,1
39,24.0196,0.0,0.0,24.0196,1
40,24.0,0.0,0.0,24.0,1
41,24.0,0.0,0.0,24.0,1
42,24.0,0.0,0.0,24.0,1
43,24.0,0.0,0.0,24.0,1
44,24.0,0.0,0.0,24.0,1
45,24.0,0.0,0.0,24.0,1
46,24.0,0.0,0.0,24.0,1
47,24.0,0.0,0.0,24.0,1
48,24.0,0.0,0.0,24.0,1
49,24.0,0.0,0.0,24.0,1
50,24.0,0.0,0.0,24.0,1
51,24.0,0.0,0.0,24.0,1
52,24.0,0.0,0.0,24.0,1
53,24.0,0.0,0.0,24.0,1
54,24.0,0.0,0.0,24.0,1
55,24.0,0.0,0.0,24.0,1
56,24.0,0.0,0.0,24.0,1
57,24.0,0.0,0.0,24.0,1
58,24.0,0.0,0.0,24.0,1
59,24.0,0.0,0.0,24.0,1
60,24.0,0.0,0.0,24.0,1
61,24.0,0.0,0.0,24.0,1
62,24.0,0.0,0.0,24.0,1
63,24.0,0.0,0.0,24.0,1
64,24.0,0.0,0.0,24.0,1
65,24.0,0.0,0.0,24.0,1
66,24.0,0.0,0.0,24.0,1
67,24.0,0.0,0.0,24.0,1
68,24.0,0.0,0.0,24.0,1
69,24.0,0.0,0.0,24.0,1
70,24.0,0.0,0.0,24.0,1
71,24.0,0.0,0.0,24.0,1
72,24.0,0.0,0.0,24.0,1
73,24.0,0.0,0.0,24.0,1
74,24.0,0.0,0.0,24.0,1
75,24.0,0.0,0.0,24.0,1
76,24.0,0.0,0.0,24.0,1
77,24.0,0.0,0.0,24.0,1
78,24.0,0.0,0.0,24.0,1
79,24.0,0.0,0.0,24.0,1
80,24.0,0.0,0.0,24.0,1
81,24.0,0.0,0.0,24.0,1
82,24.0,0.0,0.0,24.0,1
83,24.0,0.0,0.0,24.0,1
84,24.0,0.0,0.0,24.0,1
85,24.0,0.0,0.0,24.0,1
86,24.0,0.0,0.0,24.0,1
87,24.0,0.0,0.0,24.0,1
88,24.0,0.0,0.0,24.0,1
89,24.0,0.0,0.0,24.0,1
90,24.0,0.0,0.0,24.0,1
91,24.0,0.0,0.0,24.0,1
92,24.0,0.0,0.0,24.0,1
93,24.0,0.0,0.0,24.0,1
94,24.0,0.0,0.0,24.0,1
95,24.0,0.0,0.0,24.0,1
96,24.0,0.0,0.0,24.0,1
97,24.0,0.0,0.0,24.0,1
98,24.0,0.0,0.0,24.0,1
99,24.0,0.0,0.0,24.0,1
100,24.0,0.0,0.0,24.0,1
101,24.0,0.0,0.0,24.0,1
102,24.0,0.0,0.0,24.0,1
103,24.0,0.0,0.0,24.0,1
104,24.0,0.0,0.0,24.0,1
105,24.0,0.0,0.0,24.0,1
106,24.0,0.0,0.0,24.0,1
107,24.0,0.0,0.0,24.0,1
108,24.0,0.0,0.0,24.0,1
109,24.0,0.0,0.0,24.0,1
110,24.0,0.0,0.0,24.0,1
111,24.0,0.0,0.0,24.0,1
112,24.0,0.0,0.0,24.0,1
113,24.0,0.0,0.0,24.0,1
114,24.0,0.0,0.0,24.0,1
115,24.0,0.0,0.0,24.0,1
116,24.0,0.0,0.0,24.0,1
117,24.0,0.0,0.0,24.0,1
118,24.0,0.0,0.0,24.0,1
119,24.0,0.0,0.0,24.0,1
120,24.0,0.0,0.0,24.0,1
121,24.0,0.0,0.0,24.0,1
122,24.0,0.0,0.0,24.0,1
123,24.0,0.0,0.0,24.0,1
124,24.0,0.0,0.0,24.0,1
125,24.0,0.0,0.0,24.0,1
126,24.0,0.0,0.0,24.0,1
127,24.0,0.0,0.0,24.0,1
128,24.0,0.0,0.0,24.0,1
129,24.0,0.0,0.0,24.0,1
130,24.0,0.0,0.0,24.0,1
131,24.0,0.0,0.0,24.0,1
132,24.0,0.0,0.0,24.0,1
133,24.0,0.0,0.0,24.0,1
134,24.0,0.0,0.0,24.0,1
135,24.0,0.0,0.0,24.0,1
136,24.0,0.0,0.0,24.0,1
137,24.0,0.0,0.0,24.0,1
138,24.0,0.0,0.0,24.0,1
139,24.0,0.0,0.0,24.0,1
140,24.0,0.0,0.0,24.0,1
141,24.0,0.0,0.0,24.0,1
142,24.0,0.0,0.0,24.0,1
143,24.0,0.0,0.0,24.0,1
144,24.0,0.0,0.0,24.0,1
145,24.0,0.0,0.0,24.0,1
146,24.0,0.0,0.0,24.0,1
147,24.0,0.0,0.0,24.0,1
148,24.0,0.0,0.0,24.0,1
149,24.0,0.0,0.0,24.0,1
150,24.0,0.0,0.0,24.0,1
151,24.0,0.0,0.0,24.0,1
152,24.0,0.0,0.0,24.0,1
153,24.0,0.0,0.0,24.0,1
154,24.0,0.0,0.0,24.0,1
155,24.0,0.0,0.0,24.0,1
156,24.0,0.0,0.0,24.0,1
157,24.0,0.0,0.0,24.0,1
158,24.0,0.0,0.0,24.0,1
159,24.0,0.0,0.0,24.0,1
160,24.0,0.0,0.0,24.0,1
161,24.0,0.0,0.0,24.0,1
162,24.0,0.0,0.0,24.0,1
163,24.0,0.0,0.0,24.0,1
164,24.0,0.0,0.0,24.0,1
165,24.0,0.0,0.0,24.0,1
166,24.0,0.0,0.0,24.0,1
167,24.0,0.0,0.0,24.0,1
168,24.0,0.0,0.0,24.0,1
169,24.0,0.0,0.0,24.0,1
170,24.0,0.0,0.0,24.0,1
171,24.0,0.0,0.0,24.0,1
172,24.0,0.0,0.0,24.0,1
173,24.0,0.0,0.0,24.0,1
174,24.0,0.0,0.0,24.0,1
175,24.0,0.0,0.0,24.0,1
176,24.0,0.0,0.0,24.0,1
177,24.0,0.0,0.0,24.0,1
178,24.0,0.0,0.0,24.0,1
179,24.0,0.0,0.0,24.0,1
180,24.0,0.0,0.0,24.0,1
181,24.0,0.0,0.0,24.0,1
182,24.0,0.0,0.0,24.0,1
183,24.0,0.0,0.0,24.0,1
184,24.0,0.0,0.0,24.0,1
185,24.0,0.0,0.0,24.0,1
186,24.0,0.0,0.0,24.0,1
187,24.0,0.0,0.0,24.0,1
188,24.0,0.0,0.0,24.0,1
189,24.0,0.0,0.0,24.0,1
190,24.0,0.0,0.0,24.0,1
191,24.0,0.0,0.0,24.0,1
192,24.0,0.0,0.0,24.0,1
193,24.0,0.0,0.0,24.0,1
194,24.0,0.0,0.0,24.0,1
195,24.0,0.0,0.0,24.0,1
196,24.0,0.0,0.0,24.0,1
197,24.0,0.0,0.0,24.0,1
198,24.0,0.0,0.0,24.0,1
199,24.0,0.0,0.0,24.0,1
200,24.0,0.0,0.0,24.0,1
0,0.0,0.0,0.0,0.0,2
1,0.0,0.0,43.97055,43.97055,2
2,0.0,0.0,8.0,8.0,2
3,0.0,0.0,8.0,8.0,2
4,0.0,0.0,8.0,8.0,2
5,0.0,0.0,8.0,8.0,2
6,0.0,0.0,8.0,8.0,2
7,0.0,0.0,8.0,8.0,2
8,0.0,0.0,8.0,8.0,2
9,0.0,0.0,8.0,8.0,2
10,0.0,0.0,8.0,8.0,2
11,0.0,0.0,8.0,8.0,2
12,0.0,0.0,8.0,8.0,2
13,0.0,0.0,8.0,8.0,2
14,0.0,0.0,8.0,8.0,2
15,0.0,0.0,8.0,8.0,2
16,0.0,0.0,8.0,8.0,2
17,0.0,0.0,8.0,8.0,2
18,0.0,0.0,8.0,8.0,2
19,0.0,0.0,8.0,8.0,2
20,0.0,0.0,8.0,8.0,2
21,0.0,0.0,8.0,8.0,2
22,0.0,0.0,8.0,8.0,2
23,0.0,0.0,8.0,8.0,2
24,0.0,0.0,8.0,8.0,2
25,0.0,0.0,8.0,8.0,2
26,0.0,0.0,8.0,8.0,2
27,0.0,0.0,8.0,8.0,2
28,0.0,0.0,8.0,8.0,2
29,0.0,0.0,8.0,8.0,2
30,0.0,0.0,8.0,8.0,2
31,0.0,0.0,8.0,8.0,2
32,0.0,0.0,8.0,8.0,2
33,0.0,0.0,8.0,8.0,2
34,0.0,0.0,8.0,8.0,2
35,0.0,0.0,8.0,8.0,2
36,0.0,0.0,8.0,8.0,2
37,0.0,0.0,8.0,8.0,2
38,0.0,0.0,8.0,8.0,2
39,0.0,0.0,8.0,8.0,2
40,0.0,0.0,8.0,8.0,2
41,0.0,0.0,8.0,8.0,2
42,0.0,0.0,8.0,8.0,2
43,0.0,0.0,8.0,8.0,2
44,0.0,0.0,8.0,8.0,2
45,0.0,0.0,8.0,8.0,2
46,0.0,0.0,8.0,8.0,2
47,0.0,0.0,8.0,8.0,2
48,0.0,0.0,8.0,8.0,2
49,0.0,0.0,8.0,8.0,2
50,0.0,0.0,8.0,8.0,2
51,0.0,0.0,8.0,8.0,2
52,0.0,0.0,8.0,8.0,2
53,0.0,0.0,8.0,8.0,2
54,0.0,0.0,8.0,8.0,2
55,0.0,0.0,8.0,8.0,2
56,0.0,0.0,8.0,8.0,2
57,0.0,0.0,8.0,8.0,2
58,0.0,0.0,8.0,8.0,2
59,0.0,0.0,8.0,8.0,2
60,0.0,0.0,8.0,8.0,2
61,0.0,0.0,8.0,8.0,2
62,0.0,0.0,8.0,8.0,2
63,0.0,0.0,8.0,8.0,2
64,0.0,0.0,8.0,8.0,2
65,0.0,0.0,8.0,8.0,2
66,0.0,0.0,8.0,8.0,2
67,0.0,0.0,8.0,8.0,2
68,0.0,0.0,8.0,8.0,2
69,0.0,0.0,8.0,8.0,2
70,0.0,0.0,8.0,8.0,2
71,0.0,0.0,8.0,8.0,2
72,0.0,0.0,8.0,8.0,2
73,0.0,0.0,8.0,8.0,2
74,0.0,0.0,8.0,8.0,2
75,0.0,0.0,8.0,8.0,2
76,0.0,0.0,8.0,8.0,2
77,0.0,0.0,8.0,8.0,2
78,0.0,0.0,8.0,8.0,2
79,0.0,0.0,8.0,8.0,2
80,0.0,0.0,8.0,8.0,2
81,0.0,0.0,8.0,8.0,2
82,0.0,0.0,8.0,8.0,2
83,0.0,0.0,8.0,8.0,2
84,0.0,0.0,8.0,8.0,2
85,0.0,0.0,8.0,8.0,2
86,0.0,0.0,8.0,8.0,2
87,0.0,0.0,8.0,8.0,2
88,0.0,0.0,8.0,8.0,2
89,0.0,0.0,8.0,8.0,2
90,0.0,0.0,8.0,8.0,2
91,0.0,0.0,8.0,8.0,2
92,0.0,0.0,8.0,8.0,2
93,0.0,0.0,8.0,8.0,2
94,0.0,0.0,8.0,8.0,2
95,0.0,0.0,8.0,8.0,2
96,0.0,0.0,8.0,8.0,2
97,0.0,0.0,8.0,8.0,2
98,0.0,0.0,8.0,8.0,2
99,0.0,0.0,8.0,8.0,2
100,0.0,0.0,8.0,8.0,2
101,0.0,0.0,8.0,8.0,2
102,0.0,0.0,8.0,8.0,2
103,0.0,0.0,8.0,8.0,2
104,0.0,0.0,8.0,8.0,2
105,0.0,0.0,8.0,8.0,2
106,0.0,0.0,8.0,8.0,2
107,0.0,0.0,8.0,8.0,2
108,0.0,0.0,8.0,8.0,2
109,0.0,0.0,8.0,8.0,2
110,0.0,0.0,8.0,8.0,2
111,0.0,0.0,8.0,8.0,2
112,0.0,0.0,8.0,8.0,2
113,0.0,0.0,8.0,8.0,2
114,0.0,0.0,8.0,8.0,2
115,0.0,0.0,8.0,8.0,2
116,0.0,0.0,8.0,8.0,2
117,0.0,0.0,8.0,8.0,2
118,0.0,0.0,8.0,8.0,2
119,0.0,0.0,8.0,8.0,2
120,0.0,0.0,8.0,8.0,2
121,0.0,0.0,8.0,8.0,2
122,0.0,0.0,8.0,8.0,2
123,0.0,0.0,8.0,8.0,2
124,0.0,0.0,8.0,8.0,2
125,0.0,0.0,8.0,8.0,2
126,0.0,0.0,8.0,8.0,2
127,0.0,0.0,8.0,8.0,2
128,0.0,0.0,8.0,8.0,2
129,0.0,0.0,8.0,8.0,2
130,0.0,0.0,8.0,8.0,2
131,0.0,0.0,8.0,8.0,2
132,0.0,0.0,8.0,8.0,2
133,0.0,0.0,8.0,8.0,2
134,0.0,0.0,8.0,8.0,2
135,0.0,0.0,8.0,8.0,2
136,0.0,0.0,8.0,8.0,2
137,0.0,0.0,8.0,8.0,2
138,0.0,0.0,8.0,8.0,2
139,0.0,0.0,8.0,8.0,2
140,0.0,0.0,8.0,8.0,2
141,0.0,0.0,8.0,8.0,2
142,0.0,0.0,8.0,8.0,2
143,0.0,0.0,8.0,8.0,2
144,0.0,0.0,8.0,8.0,2
145,0.0,0.0,8.0,8.0,2
146,0.0,0.0,8.0,8.0,2
147,0.0,0.0,8.0,8.0,2
148,0.0,0.0,8.0,8.0,2
149,0.0,0.0,8.0,8.0,2
150,0.0,0.0,8.0,8.0,2
151,0.0,0.0,8.0,8.0,2
152,0.0,0.0,8.0,8.0,2
153,0.0,0.0,8.0,8.0,2
154,0.0,0.0,8.0,8.0,2
155,0.0,0.0,8.0,8.0,2
156,0.0,0.0,8.0,8.0,2
157,0.0,0.0,8.0,8.0,2
158,0.0,0.0,8.0,8.0,2
159,0.0,0.0,8.0,8.0,2
160,0.0,0.0,8.0,8.0,2
161,0.0,0.0,8.0,8.0,2
162,0.0,0.0,8.0,8.0,2
163,0.0,0.0,8.0,8.0,2
164,0.0,0.0,8.0,8.0,2
165,0.0,0.0,8.0,8.0,2
166,0.0,0.0,8.0,8.0,2
167,0.0,0.0,8.0,8.0,2
168,0.0,0.0,8.0,8.0,2
169,0.0,0.0,8.0,8.0,2
170,0.0,0.0,8.0,8.0,2
171,0.0,0.0,8.0,8.0,2
172,0.0,0.0,8.0,8.0,2
173,0.0,0.0,8.0,8.0,2
174,0.0,0.0,8.0,8.0,2
175,0.0,0.0,8.0,8.0,2
176,0.0,0.0,8.0,8.0,2
177,0.0,0.0,8.0,8.0,2
178,0.0,0.0,8.0,8.0,2
179,0.0,0.0,8.0,8.0,2
180,0.0,0.0,8.0,8.0,2
181,0.0,0.0,8.0,8.0,2
182,0.0,0.0,8.0,8.0,2
183,0.0,0.0,8.0,8.0,2
184,0.0,0.0,8.0,8.0,2
185,0.0,0.0,8.0,8.0,2
186,0.0,0.0,8.0,8.0,2
187,0.0,0.0,8.0,8.0,2
188,0.0,0.0,8.0,8.0,2
189,0.0,0.0,8.0,8.0,2
190,0.0,0.0,8.0,8.0,2
191,0.0,0.0,8.0,8.0,2
192,0.0,0.0,8.0,8.0,2
193,0.0,0.0,8.0,8.0,2
194,0.0,0.0,8.0,8.0,2
195,0.0,0.0,8.0,8.0,2
196,0.0,0.0,8.0,8.0,2
197,0.0,0.0,8.0,8.0,2
198,0.0,0.0,8.0,8.0,2
199,0.0,0.0,8.0,8.0,2
200,0.0,0.0,8.0,8.0,2
0,0.0,0.0,0.0,0.0,3
1,36.166666666666664,0.0,44.25767730319096,44.25525,3
2,15.6,0.0,8.00150225338007,8.0129,3
3,21.057142857142857,0.0,8.00351229302559,8.0492,3
4,22.49206349206349,0.0,8.005534869678977,8.0968,3
5,23.12121212121212,0.0,8.007574992425008,8.1572,3
6,23.447552447552447,0.0,8.009637820837984,8.2304,3
7,23.635897435897437,0.0,8.011728709841917,8.3164,3
8,23.75294117647059,0.0,8.013853258081067,8.4152,3
9,23.8297213622291,0.0,8.016017360752299,8.5268,3
10,23.882205513784463,0.0,8.018227267992918,8.6512,3
11,23.919254658385093,0.0,8.02048965009982,8.7884,3
12,23.94608695652174,0.0,8.022811671087533,8.9384,3
13,23.965925925925927,0.0,8.025201072386059,9.1012,3
14,23.980842911877396,0.0,8.027666268851036,9.2768,3
15,23.99221357063404,0.0,8.0302164597297,9.4652,3
16,24.00097751710655,0.0,8.032861757825554,9.6664,3
17,24.007792207792207,0.0,8.035613340870547,9.8804,3
18,24.013127413127414,0.0,8.038483630097645,10.1072,3
19,24.017325017325017,0.0,8.041486502278836,10.3468,3
20,24.02063789868668,0.0,8.044637543149625,10.5992,3
21,24.023255813953487,0.0,8.047954352312734,10.8644,3
22,24.02532299741602,0.0,8.051456912585245,11.1424,3
23,24.02695035460993,0.0,8.055168040583386,11.4332,3
24,24.028224055579678,0.0,8.059113940496298,11.7368,3
25,24.029211684673868,0.0,8.063324890014664,12.0532,3
26,24.0299667036626,0.0,8.067836097026175,12.3824,3
27,24.030531732418524,0.0,8.072688779110797,12.7244,3
28,24.030940988835727,0.0,8.077931536780772,13.0792,3
29,24.03122212310437,0.0,8.083622118427,13.4468,3
30,24.031397610447346,0.0,8.089829714107172,13.8272,3
31,24.031485818371063,0.0,8.096637973038817,14.2204,3
32,24.03150183150183,0.0,8.104149026248942,14.6264,3
33,24.03145809414466,0.0,8.112488928255093,15.0452,3
34,24.031364914557646,0.0,8.121815138553096,15.4768,3
35,24.031230863441518,0.0,8.13232699470692,15.9212,3
36,24.03106309087401,0.0,8.144280672617812,16.3784,3
37,24.030867579908676,0.0,8.158011049723758,16.8484,3
38,24.03064935064935,0.0,8.17396449704142,17.3312,3
39,24.030412625349335,0.0,8.192749553229513,17.8268,3
40,24.030160962650413,0.0,8.215217995001389,18.3352,3
41,24.029897367246765,0.0,8.242599938968569,18.8564,3
42,24.02962437987243,0.0,8.276740237691001,19.3904,3
43,24.029344151453685,0.0,8.320537428023032,19.9372,3
44,24.029058504455637,0.0,8.378821444395214,20.4968,3
45,24.028768983825163,0.0,8.460284061020516,21.0692,3
