"","Generation","strategy","fit_media"
"165",41,"fit_B",21.2043871689574
"166",41,"fit_O",0
"167",41,"fit_Y",18.9878121970058
"168",41,"fit_total",20.911012
"169",42,"fit_B",20.5880095745005
"170",42,"fit_O",0
"171",42,"fit_Y",18.7204548862658
"172",42,"fit_total",20.33303
"173",43,"fit_B",21.1371426030395
"174",43,"fit_O",0
"175",43,"fit_Y",18.9392572262819
"176",43,"fit_total",20.845664
"177",44,"fit_B",20.5514872029763
"178",44,"fit_O",0
"179",44,"fit_Y",18.7577838651189
"180",44,"fit_total",20.310198
"181",45,"fit_B",21.0946257791765
"182",45,"fit_O",0
"183",45,"fit_Y",19.0025633444818
"184",45,"fit_total",20.818319
"185",46,"fit_B",20.6310009638958
"186",46,"fit_O",0
"187",46,"fit_Y",18.7417460076535
"188",46,"fit_total",20.371729
"189",47,"fit_B",21.2289736298355
"190",47,"fit_O",0
"191",47,"fit_Y",18.9503846651605
"192",47,"fit_total",20.930551
"193",48,"fit_B",20.5043356440224
"194",48,"fit_O",0
"195",48,"fit_Y",18.772699831682
"196",48,"fit_total",20.269797
"197",49,"fit_B",20.9944665586688
"198",49,"fit_O",0
"199",49,"fit_Y",19.0362919214792
"200",49,"fit_total",20.729996
"201",50,"fit_B",20.7016912445091
"202",50,"fit_O",0
"203",50,"fit_Y",18.7941439612169
"204",50,"fit_total",20.441387
"205",51,"fit_B",20.956671764878
"206",51,"fit_O",0
"207",51,"fit_Y",18.9313907205838
"208",51,"fit_total",20.683249
"209",52,"fit_B",20.8447009455915
"210",52,"fit_O",0
"211",52,"fit_Y",18.867200566054
"212",52,"fit_total",20.575091
"213",53,"fit_B",20.9712122435034
"214",53,"fit_O",0
"215",53,"fit_Y",18.9128679228055
"216",53,"fit_total",20.694025
"217",54,"fit_B",20.7802899102807
"218",54,"fit_O",0
"219",54,"fit_Y",18.7957041779994
"220",54,"fit_total",20.510734
"221",55,"fit_B",20.8866231832367
"222",55,"fit_O",0
"223",55,"fit_Y",18.9846996991617
"224",55,"fit_total",20.634664
"225",56,"fit_B",20.8553333797101
"226",56,"fit_O",0
"227",56,"fit_Y",18.9058501687234
"228",56,"fit_total",20.583542
"229",57,"fit_B",21.1016924586633
"230",57,"fit_O",0
"231",57,"fit_Y",18.9046440932274
"232",57,"fit_total",20.806131
"233",58,"fit_B",20.8067575215029
"234",58,"fit_O",0
"235",58,"fit_Y",18.9175239832744
"236",58,"fit_total",20.553461
"237",59,"fit_B",20.771843481447
"238",59,"fit_O",0
"239",59,"fit_Y",18.9476253846494
"240",59,"fit_total",20.52372
"241",60,"fit_B",20.9059114709966
"242",60,"fit_O",0
"243",60,"fit_Y",18.9163161362593
"244",60,"fit_total",20.63907
"245",61,"fit_B",20.7549080356193
"246",61,"fit_O",0
"247",61,"fit_Y",18.8831909531071
"248",61,"fit_total",20.503456
"249",62,"fit_B",20.7417506389762
"250",62,"fit_O",0
"251",62,"fit_Y",18.8902264100054
"252",62,"fit_total",20.493582
"253",63,"fit_B",20.6826913658886
"254",63,"fit_O",0
"255",63,"fit_Y",18.8921539776145
"256",63,"fit_total",20.432744
"257",64,"fit_B",21.1146430668569
"258",64,"fit_O",0
"259",64,"fit_Y",18.9286863514725
"260",64,"fit_total",20.819688
"261",65,"fit_B",20.7756723779989
"262",65,"fit_O",0
"263",65,"fit_Y",18.8030948466064
"264",65,"fit_total",20.507585
"265",66,"fit_B",20.8714398950822
"266",66,"fit_O",0
"267",66,"fit_Y",18.9397637189171
"268",66,"fit_total",20.609202
"269",67,"fit_B",20.8277010456099
"270",67,"fit_O",0
"271",67,"fit_Y",18.8979022953063
"272",67,"fit_total",20.568466
"273",68,"fit_B",20.9763937271421
"274",68,"fit_O",0
"275",68,"fit_Y",18.9496706577169
"276",68,"fit_total",20.701915
"277",69,"fit_B",20.8366600406865
"278",69,"fit_O",0
"279",69,"fit_Y",18.8856199657989
"280",69,"fit_total",20.573446
"281",70,"fit_B",20.8528387755238
"282",70,"fit_O",0
"283",70,"fit_Y",18.9048643792749
"284",70,"fit_total",20.590283
"285",71,"fit_B",20.992914572322
"286",71,"fit_O",0
"287",71,"fit_Y",18.849111986033
"288",71,"fit_total",20.697659
"289",72,"fit_B",21.109456694356
"290",72,"fit_O",0
"291",72,"fit_Y",18.9147746701629
"292",72,"fit_total",20.808454
"293",73,"fit_B",20.8998975678887
"294",73,"fit_O",0
"295",73,"fit_Y",18.8647299731643
"296",73,"fit_total",20.622481
"297",74,"fit_B",21.0661997480256
"298",74,"fit_O",0
"299",74,"fit_Y",18.9390391223845
"300",74,"fit_total",20.781534
"301",75,"fit_B",20.832309810597
"302",75,"fit_O",0
"303",75,"fit_Y",18.8092200753042
"304",75,"fit_total",20.553694
"305",76,"fit_B",21.0487461115595
"306",76,"fit_O",0
"307",76,"fit_Y",18.9136868321363
"308",76,"fit_total",20.758421
"309",77,"fit_B",20.7818308894586
"310",77,"fit_O",0
"311",77,"fit_Y",18.9348820702366
"312",77,"fit_total",20.526522
"313",78,"fit_B",20.9787069431861
"314",78,"fit_O",0
"315",78,"fit_Y",18.9357067943633
"316",78,"fit_total",20.704898
"317",79,"fit_B",20.8054052475055
"318",79,"fit_O",0
"319",79,"fit_Y",18.8585718751432
"320",79,"fit_total",20.53967
"321",80,"fit_B",20.8816867511923
"322",80,"fit_O",0
"323",80,"fit_Y",18.8994535194581
"324",80,"fit_total",20.61161
"325",81,"fit_B",20.9404342255062
"326",81,"fit_O",0
"327",81,"fit_Y",18.8527635986529
"328",81,"fit_total",20.657646
"329",82,"fit_B",20.8069144097076
"330",82,"fit_O",0
"331",82,"fit_Y",18.8423394149431
"332",82,"fit_total",20.540222
"333",83,"fit_B",20.8490870385087
"334",83,"fit_O",0
"335",83,"fit_Y",18.8778831815255
"336",83,"fit_total",20.582257
"337",84,"fit_B",20.8318784554281
"338",84,"fit_O",0
"339",84,"fit_Y",18.8966384165294
"340",84,"fit_total",20.574773
"341",85,"fit_B",20.7263429905312
"342",85,"fit_O",0
"343",85,"fit_Y",18.8790684942208
"344",85,"fit_total",20.482025
"345",86,"fit_B",20.821137732254
"346",86,"fit_O",0
"347",86,"fit_Y",18.9519057322796
"348",86,"fit_total",20.572302
"349",87,"fit_B",20.8833785481003
"350",87,"fit_O",0
"351",87,"fit_Y",18.8865079364364
"352",87,"fit_total",20.615495
"353",88,"fit_B",20.8015119374698
"354",88,"fit_O",0
"355",88,"fit_Y",18.9031787053075
"356",88,"fit_total",20.542081
"357",89,"fit_B",21.0945633059477
"358",89,"fit_O",0
"359",89,"fit_Y",18.9406526909928
"360",89,"fit_total",20.809268
"361",90,"fit_B",20.6665096094231
"362",90,"fit_O",0
"363",90,"fit_Y",18.7589142075197
"364",90,"fit_total",20.406806
"365",91,"fit_B",20.9277213328972
"366",91,"fit_O",0
"367",91,"fit_Y",18.9290652294257
"368",91,"fit_total",20.658538
"369",92,"fit_B",20.6429442564345
"370",92,"fit_O",0
"371",92,"fit_Y",18.782439319695
"372",92,"fit_total",20.384572
"373",93,"fit_B",21.1056493661083
"374",93,"fit_O",0
"375",93,"fit_Y",18.9516065956048
"376",93,"fit_total",20.814679
"377",94,"fit_B",20.7347727290094
"378",94,"fit_O",0
"379",94,"fit_Y",18.8468669935061
"380",94,"fit_total",20.474465
"381",95,"fit_B",21.065267390499
"382",95,"fit_O",0
"383",95,"fit_Y",18.9985709721314
"384",95,"fit_total",20.782472
"385",96,"fit_B",20.8750567178461
"386",96,"fit_O",0
"387",96,"fit_Y",18.8392375374586
"388",96,"fit_total",20.594947
"389",97,"fit_B",21.0347564578787
"390",97,"fit_O",0
"391",97,"fit_Y",18.8762419882326
"392",97,"fit_total",20.73953
"393",98,"fit_B",20.8567405526281
"394",98,"fit_O",0
"395",98,"fit_Y",18.8550493865326
"396",98,"fit_total",20.580321
"397",99,"fit_B",21.2178685473537
"398",99,"fit_O",0
"399",99,"fit_Y",18.9032276599646
"400",99,"fit_total",20.906869
"401",100,"fit_B",20.7039568285814
"402",100,"fit_O",0
"403",100,"fit_Y",18.7984274977211
"404",100,"fit_total",20.445417
"405",101,"fit_B",21.0028193807244
"406",101,"fit_O",0
"407",101,"fit_Y",18.9520639332383
"408",101,"fit_total",20.728204
"409",102,"fit_B",20.7275613823889
"410",102,"fit_O",0
"411",102,"fit_Y",18.8260259081937
"412",102,"fit_total",20.468204
"413",103,"fit_B",20.9329017318216
"414",103,"fit_O",0
"415",103,"fit_Y",18.9932045486633
"416",103,"fit_total",20.670497
"417",104,"fit_B",20.8909026532205
"418",104,"fit_O",0
"419",104,"fit_Y",18.8439758416599
"420",104,"fit_total",20.618959
"421",105,"fit_B",20.8721499062907
"422",105,"fit_O",0
"423",105,"fit_Y",18.8645772411939
"424",105,"fit_total",20.602912
"425",106,"fit_B",20.6649266635029
"426",106,"fit_O",0
"427",106,"fit_Y",18.8602619920917
"428",106,"fit_total",20.419392
"429",107,"fit_B",20.9314535817978
"430",107,"fit_O",0
"431",107,"fit_Y",18.8878055220407
"432",107,"fit_total",20.659874
"433",108,"fit_B",20.5977355408852
"434",108,"fit_O",0
"435",108,"fit_Y",18.79951591276
"436",108,"fit_total",20.352748
"437",109,"fit_B",20.9340956081278
"438",109,"fit_O",0
"439",109,"fit_Y",19.0251700406805
"440",109,"fit_total",20.677361
"441",110,"fit_B",20.8675776673126
"442",110,"fit_O",0
"443",110,"fit_Y",18.891756304244
"444",110,"fit_total",20.601819
"445",111,"fit_B",20.7454665345751
"446",111,"fit_O",0
"447",111,"fit_Y",18.845644509202
"448",111,"fit_total",20.497392
"449",112,"fit_B",20.6658836159779
"450",112,"fit_O",0
"451",112,"fit_Y",18.8794397620041
"452",112,"fit_total",20.423446
"453",113,"fit_B",20.936379429171
"454",113,"fit_O",0
"455",113,"fit_Y",18.9354440828611
"456",113,"fit_total",20.666468
"457",114,"fit_B",20.7465056447305
"458",114,"fit_O",0
"459",114,"fit_Y",18.8903935712808
"460",114,"fit_total",20.49094
"461",115,"fit_B",20.9446551170333
"462",115,"fit_O",0
"463",115,"fit_Y",18.9214090811994
"464",115,"fit_total",20.671472
"465",116,"fit_B",20.7314354627002
"466",116,"fit_O",0
"467",116,"fit_Y",18.8110664952676
"468",116,"fit_total",20.466183
"469",117,"fit_B",20.9007702333174
"470",117,"fit_O",0
"471",117,"fit_Y",18.9209467386563
"472",117,"fit_total",20.633014
"473",118,"fit_B",20.7611290864246
"474",118,"fit_O",0
"475",118,"fit_Y",18.8555504005204
"476",118,"fit_total",20.504028
"477",119,"fit_B",20.8166435502261
"478",119,"fit_O",0
"479",119,"fit_Y",18.9452455329155
"480",119,"fit_total",20.561727
"481",120,"fit_B",20.8530599699252
"482",120,"fit_O",0
"483",120,"fit_Y",18.9082834182197
"484",120,"fit_total",20.589956
"485",121,"fit_B",20.8441726006669
"486",121,"fit_O",0
"487",121,"fit_Y",18.9386285334469
"488",121,"fit_total",20.584221
"489",122,"fit_B",20.9491384277407
"490",122,"fit_O",0
"491",122,"fit_Y",18.8819675264897
"492",122,"fit_total",20.665494
"493",123,"fit_B",21.00400208569
"494",123,"fit_O",0
"495",123,"fit_Y",18.9217257823099
"496",123,"fit_total",20.721825
"497",124,"fit_B",20.8112251933251
"498",124,"fit_O",0
"499",124,"fit_Y",18.8850483822532
"500",124,"fit_total",20.549181
"501",125,"fit_B",20.7967765727824
"502",125,"fit_O",0
"503",125,"fit_Y",18.8494128172585
"504",125,"fit_total",20.532731
"505",126,"fit_B",20.857164861231
"506",126,"fit_O",0
"507",126,"fit_Y",18.8717249007562
"508",126,"fit_total",20.588586
"509",127,"fit_B",20.7292582686912
"510",127,"fit_O",0
"511",127,"fit_Y",18.9476350490733
"512",127,"fit_total",20.486421
"513",128,"fit_B",21.019458510829
"514",128,"fit_O",0
"515",128,"fit_Y",18.9141164853001
"516",128,"fit_total",20.73674
"517",129,"fit_B",20.7531311457306
"518",129,"fit_O",0
"519",129,"fit_Y",18.8363980057233
"520",129,"fit_total",20.494134
"521",130,"fit_B",20.8512046206716
"522",130,"fit_O",0
"523",130,"fit_Y",18.9655008677617
"524",130,"fit_total",20.593525
"525",131,"fit_B",21.0452802083796
"526",131,"fit_O",0
"527",131,"fit_Y",18.9625557366877
"528",131,"fit_total",20.758831
"529",132,"fit_B",20.8985019106015
"530",132,"fit_O",0
"531",132,"fit_Y",18.8729179633519
"532",132,"fit_total",20.619318
"533",133,"fit_B",21.0539167111946
"534",133,"fit_O",0
"535",133,"fit_Y",18.8958496050475
"536",133,"fit_total",20.761638
"537",134,"fit_B",20.9407293832398
"538",134,"fit_O",0
"539",134,"fit_Y",18.8424416238028
"540",134,"fit_total",20.661971
"541",135,"fit_B",20.7004249682777
"542",135,"fit_O",0
"543",135,"fit_Y",18.8033367418292
"544",135,"fit_total",20.440735
"545",136,"fit_B",20.9084678366142
"546",136,"fit_O",0
"547",136,"fit_Y",18.8717361538273
