Generation,O,Y,B,sim
156,0.0,0.1464,0.8536,1
157,0.0,0.1493,0.8507,1
158,0.0,0.1432,0.8568,1
159,0.0,0.1329,0.8671,1
160,0.0,0.1588,0.8412,1
161,0.0,0.131,0.869,1
162,0.0,0.1514,0.8486,1
163,0.0,0.1507,0.8493,1
164,0.0,0.1622,0.8378,1
165,0.0,0.1353,0.8647,1
166,0.0,0.139,0.861,1
167,0.0,0.1297,0.8703,1
168,0.0,0.1295,0.8705,1
169,0.0,0.1089,0.8911,1
170,0.0,0.1356,0.8644,1
171,0.0,0.1387,0.8613,1
172,0.0,0.1242,0.8758,1
173,0.0,0.1395,0.8605,1
174,0.0,0.134,0.866,1
175,0.0,0.1394,0.8606,1
176,0.0,0.1401,0.8599,1
177,0.0,0.141,0.859,1
178,0.0,0.1281,0.8719,1
179,0.0,0.1573,0.8427,1
180,0.0,0.1351,0.8649,1
181,0.0,0.1592,0.8408,1
182,0.0,0.1245,0.8755,1
183,0.0,0.1629,0.8371,1
184,0.0,0.1264,0.8736,1
185,0.0,0.161,0.839,1
186,0.0,0.1326,0.8674,1
187,0.0,0.143,0.857,1
188,0.0,0.1254,0.8746,1
189,0.0,0.1697,0.8303,1
190,0.0,0.139,0.861,1
191,0.0,0.1511,0.8489,1
192,0.0,0.1276,0.8724,1
193,0.0,0.1393,0.8607,1
194,0.0,0.152,0.848,1
195,0.0,0.1481,0.8519,1
196,0.0,0.1318,0.8682,1
197,0.0,0.1446,0.8554,1
198,0.0,0.1476,0.8524,1
199,0.0,0.1595,0.8405,1
200,0.0,0.1404,0.8596,1
0,0.3368,0.3332,0.33,2
1,0.004,0.9757,0.0203,2
2,0.0,0.5827,0.4173,2
3,0.0,0.183,0.817,2
4,0.0,0.0964,0.9036,2
5,0.0,0.0788,0.9212,2
6,0.0,0.1167,0.8833,2
7,0.0,0.1265,0.8735,2
8,0.0,0.1417,0.8583,2
9,0.0,0.1502,0.8498,2
10,0.0,0.1356,0.8644,2
11,0.0,0.146,0.854,2
12,0.0,0.1357,0.8643,2
13,0.0,0.1455,0.8545,2
14,0.0,0.1498,0.8502,2
15,0.0,0.1485,0.8515,2
16,0.0,0.148,0.852,2
17,0.0,0.1456,0.8544,2
18,0.0,0.1424,0.8576,2
19,0.0,0.1371,0.8629,2
20,0.0,0.1453,0.8547,2
21,0.0,0.1442,0.8558,2
22,0.0,0.1379,0.8621,2
23,0.0,0.1557,0.8443,2
24,0.0,0.1543,0.8457,2
25,0.0,0.1407,0.8593,2
26,0.0,0.1585,0.8415,2
27,0.0,0.1156,0.8844,2
28,0.0,0.1696,0.8304,2
29,0.0,0.1318,0.8682,2
30,0.0,0.1552,0.8448,2
31,0.0,0.1375,0.8625,2
32,0.0,0.162,0.838,2
33,0.0,0.1273,0.8727,2
34,0.0,0.1606,0.8394,2
35,0.0,0.1253,0.8747,2
36,0.0,0.1721,0.8279,2
37,0.0,0.1201,0.8799,2
38,0.0,0.177,0.823,2
39,0.0,0.1022,0.8978,2
40,0.0,0.1727,0.8273,2
41,0.0,0.1107,0.8893,2
42,0.0,0.1668,0.8332,2
43,0.0,0.1141,0.8859,2
