Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.4895,0.4077,0.1028,1
2,0.2525,0.7125,0.035,1
3,0.0677,0.8858,0.0465,1
4,0.0212,0.8923,0.0865,1
5,0.0236,0.8352,0.1412,1
6,0.0307,0.7627,0.2066,1
7,0.0375,0.6831,0.2794,1
8,0.0443,0.5995,0.3562,1
9,0.0573,0.5134,0.4293,1
10,0.073,0.4319,0.4951,1
11,0.0856,0.3683,0.5461,1
12,0.1021,0.3165,0.5814,1
13,0.1183,0.2862,0.5955,1
14,0.1268,0.2781,0.5951,1
15,0.1371,0.2813,0.5816,1
16,0.1467,0.2911,0.5622,1
17,0.1526,0.3073,0.5401,1
18,0.1674,0.319,0.5136,1
19,0.1743,0.3376,0.4881,1
20,0.172,0.364,0.464,1
21,0.1709,0.3893,0.4398,1
22,0.1761,0.4013,0.4226,1
23,0.1747,0.4177,0.4076,1
24,0.1713,0.4301,0.3986,1
25,0.1703,0.4344,0.3953,1
26,0.1706,0.4368,0.3926,1
27,0.1714,0.4371,0.3915,1
28,0.1722,0.4406,0.3872,1
29,0.1742,0.4447,0.3811,1
30,0.1829,0.4436,0.3735,1
31,0.1885,0.4509,0.3606,1
32,0.1888,0.4618,0.3494,1
33,0.1802,0.4827,0.3371,1
34,0.1802,0.4977,0.3221,1
35,0.1802,0.5094,0.3104,1
36,0.1705,0.5195,0.31,1
37,0.1634,0.5196,0.317,1
38,0.1611,0.5137,0.3252,1
39,0.1671,0.5021,0.3308,1
40,0.1705,0.4994,0.3301,1
41,0.1682,0.5009,0.3309,1
42,0.1731,0.4938,0.3331,1
43,0.1724,0.4932,0.3344,1
44,0.1756,0.4855,0.3389,1
45,0.1818,0.476,0.3422,1
46,0.1816,0.4678,0.3506,1
47,0.1765,0.466,0.3575,1
48,0.1831,0.4554,0.3615,1
49,0.1969,0.4424,0.3607,1
50,0.2084,0.4364,0.3552,1
51,0.2092,0.4416,0.3492,1
52,0.2108,0.4476,0.3416,1
53,0.2074,0.455,0.3376,1
54,0.2109,0.4628,0.3263,1
55,0.207,0.4747,0.3183,1
56,0.2033,0.4869,0.3098,1
57,0.1946,0.4968,0.3086,1
58,0.1893,0.4984,0.3123,1
59,0.1874,0.492,0.3206,1
60,0.193,0.4794,0.3276,1
61,0.1924,0.4735,0.3341,1
62,0.2066,0.4523,0.3411,1
63,0.209,0.4447,0.3463,1
64,0.2182,0.4326,0.3492,1
65,0.2175,0.433,0.3495,1
66,0.2123,0.436,0.3517,1
67,0.204,0.4398,0.3562,1
68,0.2068,0.4376,0.3556,1
69,0.2131,0.4385,0.3484,1
70,0.2115,0.4477,0.3408,1
71,0.2093,0.449,0.3417,1
72,0.2039,0.4524,0.3437,1
73,0.1991,0.4569,0.344,1
74,0.1966,0.4536,0.3498,1
75,0.2013,0.4445,0.3542,1
76,0.2029,0.4384,0.3587,1
77,0.1904,0.4421,0.3675,1
78,0.1876,0.4388,0.3736,1
79,0.1863,0.4391,0.3746,1
80,0.1869,0.4341,0.379,1
81,0.1861,0.4281,0.3858,1
82,0.1892,0.4189,0.3919,1
83,0.1925,0.4103,0.3972,1
84,0.2005,0.4004,0.3991,1
85,0.1965,0.401,0.4025,1
86,0.206,0.3921,0.4019,1
87,0.2061,0.3933,0.4006,1
88,0.1934,0.4029,0.4037,1
89,0.187,0.4037,0.4093,1
90,0.1861,0.4041,0.4098,1
91,0.1939,0.3953,0.4108,1
92,0.1935,0.3944,0.4121,1
93,0.1891,0.3948,0.4161,1
94,0.189,0.3902,0.4208,1
95,0.1886,0.3835,0.4279,1
96,0.1879,0.3793,0.4328,1
97,0.1887,0.3748,0.4365,1
98,0.1928,0.3741,0.4331,1
99,0.1957,0.3718,0.4325,1
100,0.1882,0.3797,0.4321,1
101,0.1873,0.3759,0.4368,1
102,0.1919,0.369,0.4391,1
