Generation,O,Y,B,sim
149,0.079,0.8758,0.0452,1
150,0.0825,0.8725,0.045,1
151,0.0807,0.8749,0.0444,1
152,0.0774,0.8776,0.045,1
153,0.0762,0.8784,0.0454,1
154,0.0806,0.8744,0.045,1
155,0.0801,0.875,0.0449,1
156,0.0807,0.8746,0.0447,1
157,0.08,0.875,0.045,1
158,0.0794,0.875,0.0456,1
159,0.0781,0.8772,0.0447,1
160,0.0797,0.8757,0.0446,1
161,0.0785,0.8765,0.045,1
162,0.0805,0.8744,0.0451,1
163,0.0794,0.8754,0.0452,1
164,0.0786,0.8764,0.045,1
165,0.0803,0.8748,0.0449,1
166,0.082,0.8731,0.0449,1
167,0.0771,0.8781,0.0448,1
168,0.0775,0.8773,0.0452,1
169,0.0796,0.8754,0.045,1
170,0.0819,0.8731,0.045,1
171,0.0801,0.8751,0.0448,1
172,0.0789,0.8763,0.0448,1
173,0.0768,0.8777,0.0455,1
174,0.0804,0.8744,0.0452,1
175,0.0812,0.8744,0.0444,1
176,0.0789,0.8763,0.0448,1
177,0.0779,0.877,0.0451,1
178,0.0809,0.8738,0.0453,1
179,0.0794,0.8755,0.0451,1
180,0.0801,0.8752,0.0447,1
181,0.0787,0.8765,0.0448,1
182,0.0789,0.8758,0.0453,1
183,0.0783,0.8767,0.045,1
184,0.0805,0.8747,0.0448,1
185,0.08,0.875,0.045,1
186,0.0814,0.8737,0.0449,1
187,0.0793,0.8758,0.0449,1
188,0.0764,0.8783,0.0453,1
189,0.0781,0.8768,0.0451,1
190,0.0824,0.8727,0.0449,1
191,0.0795,0.8759,0.0446,1
192,0.0795,0.8756,0.0449,1
193,0.0791,0.8756,0.0453,1
194,0.0797,0.8751,0.0452,1
195,0.0789,0.8763,0.0448,1
196,0.0798,0.8756,0.0446,1
197,0.0781,0.8767,0.0452,1
198,0.0806,0.8739,0.0455,1
199,0.0801,0.8753,0.0446,1
200,0.0794,0.8758,0.0448,1
0,0.3368,0.3332,0.33,2
1,0.5268,0.3624,0.1108,2
2,0.244,0.7328,0.0232,2
3,0.0998,0.8787,0.0215,2
4,0.0765,0.8999,0.0236,2
5,0.0663,0.9081,0.0256,2
6,0.0707,0.9026,0.0267,2
7,0.0664,0.9051,0.0285,2
8,0.069,0.8995,0.0315,2
9,0.0675,0.8994,0.0331,2
10,0.0709,0.8935,0.0356,2
11,0.0687,0.8947,0.0366,2
12,0.072,0.8894,0.0386,2
13,0.0693,0.89,0.0407,2
14,0.0733,0.8844,0.0423,2
15,0.0685,0.8873,0.0442,2
16,0.071,0.8833,0.0457,2
17,0.0689,0.8843,0.0468,2
18,0.0694,0.8819,0.0487,2
19,0.066,0.8836,0.0504,2
20,0.0707,0.878,0.0513,2
21,0.067,0.8803,0.0527,2
22,0.0698,0.8763,0.0539,2
23,0.0672,0.8784,0.0544,2
24,0.0687,0.8753,0.056,2
25,0.0669,0.8767,0.0564,2
26,0.0701,0.8726,0.0573,2
27,0.0646,0.8766,0.0588,2
28,0.0695,0.8707,0.0598,2
29,0.0683,0.8716,0.0601,2
30,0.0705,0.8692,0.0603,2
31,0.067,0.8728,0.0602,2
32,0.0694,0.8697,0.0609,2
33,0.0656,0.8724,0.062,2
34,0.0698,0.8675,0.0627,2
35,0.069,0.8683,0.0627,2
36,0.0709,0.8665,0.0626,2
37,0.0667,0.8709,0.0624,2
38,0.0711,0.8659,0.063,2
39,0.0659,0.8704,0.0637,2
40,0.0709,0.8655,0.0636,2
41,0.0692,0.8674,0.0634,2
42,0.0709,0.8663,0.0628,2
43,0.0663,0.8701,0.0636,2
44,0.0708,0.8651,0.0641,2
45,0.0685,0.8679,0.0636,2
46,0.0719,0.8642,0.0639,2
47,0.0691,0.8671,0.0638,2
48,0.0707,0.8657,0.0636,2
49,0.0677,0.8684,0.0639,2
50,0.0735,0.863,0.0635,2
51,0.0678,0.8692,0.063,2
52,0.0712,0.8653,0.0635,2
53,0.0693,0.8671,0.0636,2
54,0.0711,0.8656,0.0633,2
55,0.0679,0.8686,0.0635,2
56,0.0728,0.8638,0.0634,2
57,0.0676,0.8693,0.0631,2
58,0.0708,0.8655,0.0637,2
59,0.0692,0.867,0.0638,2
60,0.0717,0.8652,0.0631,2
61,0.0681,0.8686,0.0633,2
62,0.0722,0.8641,0.0637,2
63,0.0671,0.8691,0.0638,2
64,0.0707,0.8648,0.0645,2
65,0.0701,0.8659,0.064,2
66,0.0726,0.8644,0.063,2
67,0.0673,0.8694,0.0633,2
68,0.0716,0.8647,0.0637,2
69,0.0672,0.8692,0.0636,2
70,0.0725,0.8638,0.0637,2
71,0.0703,0.8663,0.0634,2
72,0.0708,0.8663,0.0629,2
73,0.0675,0.869,0.0635,2
74,0.0719,0.8644,0.0637,2
75,0.0678,0.869,0.0632,2
76,0.0714,0.865,0.0636,2
77,0.0698,0.8669,0.0633,2
78,0.0714,0.8654,0.0632,2
79,0.0667,0.8694,0.0639,2
80,0.0729,0.8632,0.0639,2
81,0.068,0.8685,0.0635,2
82,0.0712,0.865,0.0638,2
83,0.0688,0.8671,0.0641,2
84,0.0711,0.8653,0.0636,2
85,0.0687,0.8678,0.0635,2
86,0.073,0.8636,0.0634,2
87,0.0676,0.8693,0.0631,2
88,0.0705,0.8656,0.0639,2
89,0.0693,0.8668,0.0639,2
90,0.0722,0.8648,0.063,2
91,0.0682,0.8687,0.0631,2
92,0.072,0.8647,0.0633,2
93,0.0669,0.8698,0.0633,2
94,0.0713,0.8647,0.064,2
95,0.0699,0.8665,0.0636,2
96,0.0716,0.8654,0.063,2
97,0.0674,0.8691,0.0635,2
98,0.0723,0.8639,0.0638,2
99,0.067,0.8691,0.0639,2
100,0.0714,0.8645,0.0641,2
101,0.0705,0.8658,0.0637,2
102,0.0715,0.8654,0.0631,2
103,0.067,0.8693,0.0637,2
104,0.0716,0.8643,0.0641,2
105,0.0687,0.868,0.0633,2
106,0.0723,0.8643,0.0634,2
107,0.0692,0.8675,0.0633,2
108,0.071,0.8659,0.0631,2
109,0.0671,0.8693,0.0636,2
110,0.073,0.8635,0.0635,2
111,0.0677,0.8691,0.0632,2
112,0.0711,0.8653,0.0636,2
113,0.0694,0.8669,0.0637,2
114,0.071,0.8657,0.0633,2
115,0.0683,0.8682,0.0635,2
116,0.0724,0.864,0.0636,2
117,0.0673,0.8693,0.0634,2
118,0.0709,0.8648,0.0643,2
119,0.0692,0.8665,0.0643,2
120,0.0721,0.8645,0.0634,2
121,0.0682,0.8684,0.0634,2
122,0.0728,0.8639,0.0633,2
123,0.0669,0.8698,0.0633,2
124,0.0705,0.8655,0.064,2
125,0.0704,0.866,0.0636,2
126,0.0725,0.8647,0.0628,2
127,0.0674,0.8694,0.0632,2
128,0.0713,0.865,0.0637,2
129,0.0674,0.869,0.0636,2
130,0.072,0.8644,0.0636,2
131,0.0698,0.8669,0.0633,2
132,0.0709,0.8661,0.063,2
133,0.0675,0.8689,0.0636,2
134,0.0722,0.8637,0.0641,2
135,0.0677,0.8686,0.0637,2
136,0.0718,0.8642,0.064,2
137,0.0694,0.8668,0.0638,2
138,0.0712,0.8655,0.0633,2
139,0.067,0.8691,0.0639,2
140,0.0731,0.8633,0.0636,2
141,0.0685,0.8685,0.063,2
142,0.0712,0.8653,0.0635,2
143,0.0694,0.8669,0.0637,2
144,0.0706,0.866,0.0634,2
145,0.0682,0.8684,0.0634,2
146,0.0729,0.8638,0.0633,2
147,0.0674,0.8696,0.063,2
148,0.0707,0.8655,0.0638,2
149,0.069,0.8672,0.0638,2
150,0.0726,0.8643,0.0631,2
151,0.0678,0.8688,0.0634,2
152,0.0717,0.8646,0.0637,2
153,0.067,0.8691,0.0639,2
154,0.0713,0.8644,0.0643,2
155,0.0702,0.8659,0.0639,2
156,0.0716,0.8653,0.0631,2
157,0.068,0.8687,0.0633,2
158,0.0721,0.8642,0.0637,2
159,0.0669,0.8695,0.0636,2
160,0.0716,0.8645,0.0639,2
161,0.0707,0.8659,0.0634,2
162,0.0717,0.8656,0.0627,2
163,0.0667,0.8699,0.0634,2
164,0.0718,0.8644,0.0638,2
165,0.0681,0.8687,0.0632,2
166,0.0719,0.8646,0.0635,2
167,0.0691,0.8674,0.0635,2
168,0.071,0.8657,0.0633,2
169,0.0674,0.8687,0.0639,2
170,0.0729,0.8634,0.0637,2
171,0.0681,0.8685,0.0634,2
172,0.0707,0.8654,0.0639,2
173,0.0691,0.8669,0.064,2
174,0.0712,0.8651,0.0637,2
175,0.0685,0.8679,0.0636,2
176,0.0729,0.8636,0.0635,2
177,0.0674,0.8695,0.0631,2
178,0.0714,0.8649,0.0637,2
179,0.069,0.8672,0.0638,2
180,0.0717,0.8653,0.063,2
181,0.0681,0.8687,0.0632,2
182,0.0726,0.8641,0.0633,2
183,0.067,0.8696,0.0634,2
184,0.0703,0.8656,0.0641,2
185,0.0706,0.8658,0.0636,2
186,0.0721,0.8651,0.0628,2
187,0.0671,0.8696,0.0633,2
188,0.0714,0.8646,0.064,2
189,0.0674,0.8687,0.0639,2
190,0.0723,0.8636,0.0641,2
191,0.0697,0.8665,0.0638,2
192,0.0714,0.8654,0.0632,2
193,0.0673,0.869,0.0637,2
194,0.0721,0.8641,0.0638,2
195,0.068,0.8687,0.0633,2
196,0.0719,0.8646,0.0635,2
197,0.0699,0.8668,0.0633,2
198,0.071,0.8659,0.0631,2
