Generation,fit_O,fit_Y,fit_B,fit_total,sim
0,0.0,0.0,0.0,0.0,1
1,8.528083545018346,9.14343949044586,8.981042654028435,8.8843,1
2,8.06547619047619,8.639192252215125,7.507668108533228,8.20205,1
3,7.946220192795535,8.475362027353178,7.189564932940792,7.978,1
4,7.839932126696833,8.3631993006993,6.707877461706784,7.6655,1
5,7.747586598523566,8.320496738585048,6.360098753820832,7.38585,1
6,7.678215223097113,8.349446273570788,6.098969289019773,7.1517,1
7,7.645061728395062,8.423569023569023,5.730706742485784,6.93365,1
8,7.606873614190687,8.500676132521974,5.4479841236682685,6.8378,1
9,7.561410964725882,8.559158494147422,5.34384752563531,6.882,1
10,7.555888223552894,8.5802561048243,5.428087986463621,7.0196,1
11,7.505965061780997,8.600159616919393,5.638032871083719,7.1899,1
12,7.461087669948429,8.598143564356436,5.857852103475307,7.3069,1
13,7.4377868434472205,8.565470417070806,5.967305236270754,7.32715,1
14,7.428687635574837,8.51963932806324,6.004016553067186,7.28505,1
15,7.4224915445321304,8.477754785307813,6.019839449541284,7.2189,1
16,7.429978118161926,8.500557413600891,5.902923211169284,7.1141,1
17,7.3441145281018025,8.561239403683134,5.771894310675474,7.02265,1
18,7.293189784677016,8.649146861669713,5.737131963567041,7.0036,1
19,7.287280701754386,8.682410423452769,5.605556770947277,6.9897,1
20,7.295519542421354,8.697569248162804,5.553849679193401,7.0315,1
21,7.362712665406427,8.63519313304721,5.558589990375361,7.0873,1
22,7.350313858039595,8.594075769132978,5.676051051051051,7.17045,1
23,7.333488588728458,8.59817864271457,5.782444733420026,7.244,1
24,7.357776739841196,8.587635201573255,5.9873384331311,7.33855,1
25,7.375867195242814,8.578167448752778,6.08975336892957,7.35685,1
26,7.405845835488877,8.545546303305576,6.027655945419103,7.2919,1
27,7.4179769392033545,8.510430419857407,5.966898954703833,7.207,1
28,7.416666666666667,8.53039430449069,5.880710085933966,7.1442,1
29,7.3946969696969695,8.562289562289562,5.804645421903052,7.1023,1
30,7.357493857493857,8.622862029646523,5.721785954678035,7.07235,1
31,7.384270193670289,8.631449985586624,5.703556864521976,7.07505,1
32,7.377444292860391,8.65937052932761,5.695541105434278,7.10125,1
33,7.361459265890779,8.655858613971612,5.714713635274383,7.13935,1
34,7.365870153291254,8.66794415548864,5.865705982077985,7.2221,1
35,7.426973984481972,8.63233269071881,5.936811871708952,7.24205,1
36,7.359767891682785,8.63264192139738,5.9362699156513585,7.2186,1
37,7.383372365339579,8.628768303186908,5.927316293929713,7.1791,1
38,7.359815242494227,8.674459899378514,5.881059245960503,7.1451,1
39,7.348041529023124,8.690469208211145,5.822075598300157,7.12355,1
40,7.346432015429122,8.679783290561733,5.72968997510749,7.0996,1
41,7.325365853658536,8.661891515994437,5.721814006888634,7.1075,1
42,7.299474187380497,8.66859344894027,5.762573099415205,7.13985,1
43,7.331136363636364,8.665666757567493,5.830147592547786,7.20015,1
44,7.344531974050047,8.677077818951826,5.888656496062992,7.2563,1
45,7.372167487684729,8.622080954852102,5.9528668610301265,7.2697,1
46,7.394867962132536,8.589386223532564,5.993430314406382,7.24325,1
47,7.383054892601432,8.595907928388748,5.973894208846329,7.1918,1
48,7.350558659217877,8.65530414340288,5.965497864688694,7.17835,1
49,7.361741547012506,8.692533803644915,5.856724487497184,7.1464,1
50,7.337464920486436,8.703862660944205,5.760018319212274,7.12615,1
51,7.322916666666667,8.683164128595601,5.797857475547275,7.1504,1
52,7.298517832329782,8.689631272525645,5.8520311761927255,7.18785,1
53,7.311320754716981,8.696369179600888,5.950792126740279,7.24425,1
54,7.379021595416483,8.663628944504897,5.956103575832306,7.27425,1
55,7.390531177829099,8.627346193952034,5.950987746936734,7.2893,1
56,7.385362387494078,8.595700052438385,6.033006134969325,7.2959,1
57,7.421102661596958,8.599563557010365,6.0743498817966906,7.28345,1
58,7.415370108439415,8.608898305084745,5.948490435584236,7.2014,1
59,7.448042870456663,8.596594161419576,5.849426605504587,7.15235,1
60,7.425318761384335,8.596438746438746,5.784699580810433,7.1319,1
61,7.4281115879828326,8.617189749496113,5.806409340004765,7.16045,1
62,7.4722792607802875,8.610505166475315,5.815853957363391,7.19285,1
63,7.488970588235294,8.633513053348468,5.8681727904667325,7.23945,1
64,7.48991670320035,8.608520900321544,5.852771507399047,7.25465,1
65,7.461375412152615,8.574425969912905,5.952177103718199,7.26615,1
66,7.39785470502194,8.614948731786292,5.996464765496111,7.2543,1
67,7.343441814595661,8.637246738828754,5.963149462119478,7.20655,1
68,7.373930548565677,8.614864864864865,5.845438242546514,7.13285,1
69,7.331801939765186,8.619314910765688,5.835012042916575,7.0955,1
70,7.335857352222765,8.629046497939965,5.759824368825466,7.0574,1
71,7.355952380952381,8.646476412347116,5.719771607702643,7.0684,1
72,7.3575743494423795,8.657516527737856,5.7515449759670405,7.10815,1
73,7.313176470588235,8.673119469026549,5.801361822023949,7.16105,1
74,7.3335762876579205,8.634224598930482,5.8443598286530225,7.19425,1
75,7.325151821862348,8.626638699528055,5.870071258907363,7.20895,1
76,7.285790313996807,8.62292531120332,5.8851113716295425,7.204,1
77,7.227834497581945,8.63638757240653,5.874452891038931,7.1753,1
78,7.352711157455683,8.570726379027853,5.828846153846154,7.1252,1
79,7.340756084930088,8.581485587583149,5.812934319659269,7.10685,1
80,7.345066931085771,8.620930896630497,5.830171836643606,7.11305,1
81,7.362536302032914,8.649550333623441,5.8285045687541785,7.11785,1
82,7.331941031941032,8.651717286403633,5.789171544349392,7.1116,1
83,7.37799155326138,8.63076923076923,5.836573236889692,7.12765,1
