Generation,O,Y,B,sim
0,0.3348,0.3358,0.3294,1
1,0.4424,0.4901,0.0675,1
2,0.1108,0.7707,0.1185,1
3,0.0421,0.6785,0.2794,1
4,0.0537,0.462,0.4843,1
5,0.0858,0.2692,0.645,1
6,0.133,0.1359,0.7311,1
7,0.1766,0.1069,0.7165,1
8,0.2047,0.1345,0.6608,1
9,0.1966,0.2014,0.602,1
10,0.1874,0.261,0.5516,1
11,0.1939,0.2945,0.5116,1
12,0.1932,0.3283,0.4785,1
13,0.1956,0.3625,0.4419,1
14,0.2073,0.3851,0.4076,1
15,0.2211,0.4255,0.3534,1
16,0.2005,0.4692,0.3303,1
17,0.2048,0.4712,0.324,1
18,0.1833,0.4812,0.3355,1
19,0.1745,0.4802,0.3453,1
20,0.1791,0.4496,0.3713,1
21,0.1968,0.4062,0.397,1
22,0.2117,0.3904,0.3979,1
23,0.2129,0.3989,0.3882,1
24,0.2069,0.3968,0.3963,1
25,0.2066,0.3902,0.4032,1
26,0.186,0.3803,0.4337,1
27,0.1607,0.3655,0.4738,1
28,0.172,0.3206,0.5074,1
29,0.1918,0.2811,0.5271,1
30,0.1963,0.2947,0.509,1
31,0.1882,0.3285,0.4833,1
32,0.197,0.3181,0.4849,1
33,0.2228,0.3145,0.4627,1
34,0.2198,0.3511,0.4291,1
35,0.2295,0.364,0.4065,1
36,0.2216,0.4007,0.3777,1
37,0.2136,0.422,0.3644,1
38,0.2095,0.4165,0.374,1
39,0.1932,0.4216,0.3852,1
40,0.2073,0.3975,0.3952,1
41,0.2139,0.3975,0.3886,1
42,0.2446,0.3851,0.3703,1
43,0.2216,0.4078,0.3706,1
44,0.2248,0.3967,0.3785,1
45,0.2108,0.3891,0.4001,1
46,0.219,0.3479,0.4331,1
47,0.2167,0.3509,0.4324,1
48,0.2073,0.3708,0.4219,1
49,0.2138,0.376,0.4102,1
50,0.2168,0.3882,0.395,1
51,0.2033,0.3862,0.4105,1
52,0.1961,0.3912,0.4127,1
53,0.193,0.3725,0.4345,1
54,0.1777,0.3663,0.456,1
55,0.189,0.3453,0.4657,1
56,0.1961,0.3255,0.4784,1
57,0.2173,0.3099,0.4728,1
58,0.2299,0.3293,0.4408,1
59,0.243,0.3404,0.4166,1
60,0.2373,0.3804,0.3823,1
61,0.2145,0.3881,0.3974,1
62,0.1878,0.3632,0.449,1
63,0.1852,0.3211,0.4937,1
64,0.2135,0.2909,0.4956,1
65,0.2376,0.3159,0.4465,1
66,0.2618,0.3406,0.3976,1
67,0.2453,0.4161,0.3386,1
68,0.223,0.4551,0.3219,1
69,0.157,0.4746,0.3684,1
70,0.1618,0.3646,0.4736,1
71,0.1834,0.2755,0.5411,1
72,0.2169,0.2563,0.5268,1
73,0.2397,0.2904,0.4699,1
74,0.2346,0.3439,0.4215,1
75,0.243,0.382,0.375,1
76,0.2103,0.4156,0.3741,1
77,0.1697,0.3965,0.4338,1
78,0.1778,0.323,0.4992,1
79,0.2076,0.2559,0.5365,1
80,0.2357,0.2665,0.4978,1
81,0.2387,0.3236,0.4377,1
82,0.2266,0.3939,0.3795,1
83,0.201,0.4445,0.3545,1
84,0.1778,0.4439,0.3783,1
85,0.1916,0.395,0.4134,1
86,0.2157,0.3561,0.4282,1
87,0.2264,0.3361,0.4375,1
88,0.2199,0.3562,0.4239,1
89,0.2128,0.3816,0.4056,1
90,0.2193,0.3615,0.4192,1
91,0.2108,0.3548,0.4344,1
92,0.1956,0.3338,0.4706,1
93,0.197,0.3175,0.4855,1
94,0.1997,0.3186,0.4817,1
95,0.2329,0.3157,0.4514,1
96,0.2503,0.3334,0.4163,1
97,0.2522,0.3833,0.3645,1
98,0.2065,0.4566,0.3369,1
99,0.1713,0.4675,0.3612,1
100,0.1781,0.4133,0.4086,1
101,0.1923,0.3459,0.4618,1
102,0.1883,0.3101,0.5016,1
103,0.1825,0.298,0.5195,1
104,0.1952,0.3028,0.502,1
105,0.2258,0.3107,0.4635,1
106,0.2253,0.3474,0.4273,1
107,0.2208,0.3729,0.4063,1
108,0.2275,0.379,0.3935,1
109,0.1934,0.385,0.4216,1
110,0.1754,0.3399,0.4847,1
111,0.2028,0.2723,0.5249,1
112,0.2226,0.2758,0.5016,1
