y,o,prop_B_mantida,prop_O_mantida,prop_Y_mantida
9,7,1.0,1.0,1.0
9,8,1.0,1.0,1.0
9,9,1.0,1.0,1.0
9,10,1.0,1.0,1.0
9,11,1.0,1.0,1.0
9,12,1.0,0.73,0.73
9,13,0.5,0.2,0.7
9,14,0.06,0.03,0.97
9,15,0.0,0.0,1.0
9,16,0.0,0.08,1.0
9,17,0.0,0.0,1.0
9,18,0.0,0.0,1.0
9,19,0.0,0.0,1.0
9,20,0.0,0.0,1.0
9,21,0.0,0.0,1.0
9,22,0.0,0.0,1.0
9,23,0.0,0.37,1.0
9,24,0.0,0.39,1.0
10,1,1.0,1.0,0.99
10,2,1.0,1.0,1.0
10,3,1.0,1.0,1.0
10,4,1.0,1.0,1.0
10,5,1.0,1.0,1.0
10,6,1.0,1.0,1.0
10,7,1.0,1.0,1.0
10,8,1.0,1.0,1.0
10,9,1.0,1.0,1.0
10,10,1.0,1.0,1.0
10,11,1.0,1.0,1.0
10,12,1.0,0.84,0.84
10,13,0.92,0.17,0.25
10,14,0.33,0.06,0.73
10,15,0.0,0.0,1.0
10,16,0.0,0.0,1.0
10,17,0.0,0.0,1.0
10,18,0.0,0.0,1.0
10,19,0.0,0.0,1.0
10,20,0.0,0.0,1.0
10,21,0.0,0.0,1.0
10,22,0.0,0.0,1.0
10,23,0.0,0.0,1.0
10,24,0.0,0.0,1.0
11,1,1.0,0.97,0.76
11,2,0.88,1.0,0.88
11,3,0.94,0.99,0.94
11,4,0.99,1.0,0.99
11,5,0.99,1.0,0.99
11,6,0.99,1.0,0.99
11,7,0.99,1.0,0.99
11,8,0.99,1.0,0.99
11,9,1.0,1.0,1.0
11,10,1.0,1.0,1.0
11,11,1.0,1.0,1.0
11,12,1.0,0.89,0.89
11,13,1.0,0.25,0.25
11,14,0.75,0.07,0.32
11,15,0.22,0.0,0.78
11,16,0.0,0.0,1.0
11,17,0.0,0.0,1.0
11,18,0.0,0.0,1.0
11,19,0.0,0.0,1.0
11,20,0.0,0.0,1.0
11,21,0.0,0.0,1.0
11,22,0.0,0.0,1.0
11,23,0.0,0.0,1.0
11,24,0.0,0.0,1.0
12,1,1.0,0.31,0.1
12,2,0.81,0.42,0.23
12,3,0.78,0.49,0.27
12,4,0.77,0.58,0.35
12,5,0.78,0.58,0.36
12,6,0.77,0.58,0.35
12,7,0.77,0.59,0.36
12,8,0.77,0.59,0.36
12,9,0.89,0.9,0.79
12,10,0.97,0.9,0.87
12,11,1.0,0.84,0.84
12,12,1.0,0.58,0.58
12,13,1.0,0.22,0.22
12,14,0.94,0.03,0.09
12,15,0.57,0.01,0.44
12,16,0.18,0.0,0.82
12,17,0.07,0.0,0.93
12,18,0.0,0.0,1.0
12,19,0.01,0.0,0.99
12,20,0.0,0.0,1.0
12,21,0.0,0.0,1.0
12,22,0.0,0.0,1.0
12,23,0.0,0.0,1.0
12,24,0.0,0.0,1.0
13,1,1.0,0.02,0.01
13,2,0.99,0.03,0.02
13,3,0.99,0.02,0.01
13,4,0.99,0.02,0.01
13,5,0.99,0.02,0.01
13,6,0.99,0.01,0.01
13,7,0.99,0.01,0.01
13,8,0.99,0.01,0.01
13,9,0.99,0.11,0.1
13,10,0.99,0.28,0.27
13,11,1.0,0.27,0.27
13,12,1.0,0.23,0.23
13,13,1.0,0.05,0.05
13,14,0.99,0.01,0.03
13,15,0.88,0.0,0.14
13,16,0.4,0.0,0.62
13,17,0.21,0.01,0.8
13,18,0.09,0.0,0.91
13,19,0.05,0.0,0.95
13,20,0.03,0.0,0.97
13,21,0.02,0.0,0.98
13,22,0.01,0.0,0.99
13,23,0.0,0.0,1.0
13,24,0.0,0.0,1.0
14,1,1.0,0.0,0.0
14,2,1.0,0.0,0.0
14,3,1.0,0.0,0.0
14,4,1.0,0.0,0.0
14,5,1.0,0.0,0.0
14,6,1.0,0.0,0.0
14,7,1.0,0.0,0.0
14,8,1.0,0.0,0.0
14,9,1.0,0.0,0.0
14,10,1.0,0.0,0.0
14,11,1.0,0.06,0.06
14,12,0.99,0.04,0.04
14,13,1.0,0.01,0.01
14,14,1.0,0.0,0.0
14,15,0.96,0.01,0.11
14,16,0.64,0.0,0.48
14,17,0.33,0.0,0.74
14,18,0.2,0.0,0.89
14,19,0.18,0.0,0.88
14,20,0.12,0.0,0.9
14,21,0.06,0.0,0.98
14,22,0.04,0.0,0.99
14,23,0.02,0.0,0.99
14,24,0.02,0.0,0.98
15,1,1.0,0.0,0.0
15,2,1.0,0.0,0.0
15,3,1.0,0.0,0.0
15,4,1.0,0.0,0.0
