t,pop,estrategia,n_vizinhos
1,15,O,48.0
1,15,Y,45.146100985957574
1,15,B,38.06949100883877
1,16,O,48.0
1,16,Y,45.4987929993965
1,16,B,37.98850913376547
1,17,O,48.0
1,17,Y,45.020531400966185
1,17,B,37.97342995169082
1,18,O,48.0
1,18,Y,45.20048974594429
1,18,B,37.944014294222754
1,19,O,48.0
1,19,Y,45.154612005856514
1,19,B,38.07823439878234
1,20,O,48.0
1,20,Y,44.99364021804967
1,20,B,37.831626506024094
1,21,O,48.0
1,21,Y,45.159199522102746
1,21,B,37.89162413689583
1,22,O,48.0
1,22,Y,44.862310030395136
1,22,B,37.866767371601206
1,23,O,48.0
1,23,Y,45.1111766440578
1,23,B,38.098099325567134
1,24,O,48.0
1,24,Y,45.43527653213752
1,24,B,38.06710408589323
1,25,O,48.0
1,25,Y,45.200059541530216
1,25,B,38.050437934158865
1,26,O,48.0
1,26,Y,45.331448973519784
1,26,B,38.033883058470764
1,27,O,48.0
1,27,Y,45.52420306965762
1,27,B,38.14812611540749
1,28,O,48.0
1,28,Y,45.2755765819042
1,28,B,37.986111111111114
1,29,O,48.0
1,29,Y,44.9312725090036
1,29,B,37.9984544049459
1,30,O,48.0
1,30,Y,45.587142435859626
1,30,B,38.174768863704145
1,31,O,48.0
1,31,Y,45.191154195698275
1,31,B,38.00842358604091
1,32,O,48.0
1,32,Y,45.737122557726465
1,32,B,38.15452930728242
1,33,O,48.0
1,33,Y,45.16300090388671
1,33,B,37.960431654676256
1,34,O,48.0
1,34,Y,45.06163753449862
1,34,B,37.859188544152744
1,35,O,48.0
1,35,Y,45.23754904920012
1,35,B,37.8968583283936
1,36,O,48.0
1,36,Y,45.17879604672058
1,36,B,38.017618469015794
1,37,O,48.0
1,37,Y,44.75719146303743
1,37,B,37.70623501199041
1,38,O,48.0
1,38,Y,45.316553153686705
1,38,B,38.152537222728654
1,39,O,48.0
1,39,Y,45.20614558472554
1,39,B,38.02385986106916
1,40,O,48.0
1,40,Y,45.574598540145985
1,40,B,38.177287828450616
1,41,O,48.0
1,41,Y,45.23846614739365
1,41,B,38.01148036253777
1,42,O,48.0
1,42,Y,45.38851963746224
1,42,B,37.97567487392465
1,43,O,48.0
1,43,Y,45.28467815049864
1,43,B,37.92366637194223
1,44,O,48.0
1,44,Y,44.88604160385891
1,44,B,37.96220036877689
1,45,O,48.0
1,45,Y,45.296926290659506
1,45,B,38.05165165165165
1,46,O,48.0
1,46,Y,45.0365742151783
1,46,B,37.852502979737785
1,47,O,48.0
1,47,Y,45.38957147138148
1,47,B,38.11762954139369
1,48,O,48.0
1,48,Y,45.32042882668255
1,48,B,38.099577549788776
1,49,O,48.0
1,49,Y,45.04470802919708
1,49,B,37.934450763244534
1,50,O,48.0
1,50,Y,45.175671685857694
1,50,B,38.124692874692876
1,51,O,48.0
1,51,Y,45.268910065515186
1,51,B,37.987168009549386
1,52,O,48.0
1,52,Y,45.30254588513913
1,52,B,38.0314104500151
1,53,O,48.0
1,53,Y,45.431117824773416
1,53,B,38.06826241134752
1,54,O,48.0
1,54,Y,45.18046011353451
1,54,B,38.00815709969788
1,55,O,48.0
1,55,Y,45.234946871310505
1,55,B,38.001816530426886
1,56,O,48.0
1,56,Y,45.3860606060606
1,56,B,37.91812865497076
1,57,O,48.0
1,57,Y,45.41251133272892
1,57,B,38.06851355376825
1,58,O,48.0
1,58,Y,45.5111985472155
1,58,B,38.05901350557839
1,59,O,48.0
1,59,Y,44.89140811455847
1,59,B,38.02143950995406
1,60,O,48.0
1,60,Y,45.00910746812386
1,60,B,37.805167805167805
1,61,O,48.0
1,61,Y,45.020981087470446
1,61,B,38.023824257425744
1,62,O,48.0
1,62,Y,45.17807389460933
1,62,B,37.947739283617146
1,63,O,48.0
1,63,Y,45.40304878048781
1,63,B,37.91260997067449
1,64,O,48.0
1,64,Y,44.99765876499853
1,64,B,38.09477329974811
1,65,O,48.0
1,65,Y,45.25
1,65,B,37.97185185185185
1,66,O,48.0
1,66,Y,45.072749317975145
1,66,B,37.92487279257707
1,67,O,48.0
1,67,Y,45.203898050974516
1,67,B,38.03328335832084
1,68,O,48.0
1,68,Y,45.18735083532219
1,68,B,37.93611940298508
1,69,O,48.0
1,69,Y,44.72275099785078
1,69,B,37.690132370637784
1,70,O,48.0
1,70,Y,44.99303663336361
1,70,B,37.898386132695755
1,71,O,48.0
1,71,Y,45.013300340241265
1,71,B,37.9235592714243
1,72,O,48.0
1,72,Y,45.175091352009744
1,72,B,37.869321533923305
1,73,O,48.0
1,73,Y,44.85050753614273
1,73,B,37.71661721068249
1,74,O,48.0
1,74,Y,44.766999093381685
1,74,B,37.85696821515892
1,75,O,48.0
1,75,Y,44.919359710057385
1,75,B,37.885766092475066
1,76,O,48.0
1,76,Y,45.087008700870086
1,76,B,37.90174278846154
1,77,O,48.0
1,77,Y,45.32157926461724
1,77,B,38.055473153366954
1,78,O,48.0
1,78,Y,45.20982142857143
1,78,B,38.03049516908212
1,79,O,48.0
1,79,Y,45.404511278195486
1,79,B,38.02079619726678
1,80,O,48.0
1,80,Y,44.87677011147936
1,80,B,37.77918552036199
1,81,O,48.0
1,81,Y,45.64609908039157
1,81,B,38.13418246445497
1,82,O,48.0
1,82,Y,45.24024024024024
1,82,B,37.90790255496138
1,83,O,48.0
1,83,Y,45.53565062388592
1,83,B,38.05678140629597
1,84,O,48.0
1,84,Y,45.50653206650831
1,84,B,38.0873440285205
1,85,O,48.0
1,85,Y,45.164467628106785
1,85,B,37.95732617129215
1,86,O,48.0
1,86,Y,45.560579196217496
1,86,B,38.222591362126245
1,87,O,48.0
1,87,Y,45.09146341463415
1,87,B,37.81470588235294
1,88,O,48.0
1,88,Y,45.311568276684554
1,88,B,38.09792106056041
1,89,O,48.0
1,89,Y,45.38182897862233
1,89,B,38.04261704681873
1,90,O,48.0
1,90,Y,44.87770432692308
1,90,B,37.957479351483634
1,91,O,48.0
1,91,Y,45.08711111111111
1,91,B,37.97057931452836
1,92,O,48.0
1,92,Y,45.179132040627884
1,92,B,37.885284576821
1,93,O,48.0
1,93,Y,44.708764455264756
1,93,B,37.782990314769975
1,94,O,48.0
1,94,Y,45.49344848123883
1,94,B,38.08039157520024
1,95,O,48.0
1,95,Y,44.856313054111894
1,95,B,37.84861152582861
1,96,O,48.0
1,96,Y,44.97733454215775
1,96,B,37.869343721905906
1,97,O,48.0
1,97,Y,44.82121394230769
1,97,B,37.83832518337408
1,98,O,48.0
1,98,Y,45.039133052378084
1,98,B,37.98003629764065
1,99,O,48.0
1,99,Y,44.83546617915905
1,99,B,37.962861491628615
2,0,O,48.0
2,0,Y,47.32479627473807
2,0,B,39.31805157593123
2,1,O,48.0
2,1,Y,47.517978620019434
2,1,B,36.5748502994012
2,2,O,48.0
2,2,Y,47.41391106043329
2,2,B,36.90954773869347
2,3,O,48.0
2,3,Y,47.50819265143992
2,3,B,37.52038834951456
2,4,O,48.0
2,4,Y,47.43584637268848
2,4,B,37.324380165289256
2,5,O,48.0
2,5,Y,47.409795102448776
2,5,B,37.5564681724846
2,6,O,48.0
2,6,Y,47.40289781392984
2,6,B,39.66216216216216
2,7,O,48.0
2,7,Y,47.43054786939679
2,7,B,38.25897035881435
2,8,O,48.0
2,8,Y,47.30480109739369
2,8,B,36.93775933609958
2,9,O,48.0
2,9,Y,47.27666567074993
2,9,B,39.25
2,10,O,48.0
2,10,Y,47.36690856313498
2,10,B,38.44687045123727
2,11,O,48.0
2,11,Y,47.29851181791655
2,11,B,36.59171597633136
2,12,O,48.0
2,12,Y,47.2415059687787
2,12,B,37.35064935064935
2,13,O,48.0
2,13,Y,47.43291139240506
2,13,B,39.35374149659864
2,14,O,48.0
2,14,Y,47.514095335725266
2,14,B,36.38461538461539
2,15,O,48.0
2,15,Y,47.43400503778337
2,15,B,37.116618075801746
2,16,O,48.0
2,16,Y,47.283590623213264
2,16,B,38.13375796178344
2,17,O,48.0
2,17,Y,47.368407578085
2,17,B,35.883468834688344
2,18,O,48.0
2,18,Y,47.371875
2,18,B,36.858381502890175
2,19,O,48.0
2,19,Y,47.256274768824305
2,19,B,36.84201954397394
2,20,O,48.0
2,20,Y,47.43977191732003
2,20,B,39.94818652849741
2,21,O,48.0
2,21,Y,47.45785695293805
2,21,B,37.527027027027025
2,22,O,48.0
2,22,Y,47.29752501316482
2,22,B,38.76119402985075
2,23,O,48.0
2,23,Y,47.47243346007605
2,23,B,37.91639871382637
2,24,O,48.0
2,24,Y,47.42718446601942
2,24,B,39.80204778156997
2,25,O,48.0
2,25,Y,47.48833671399594
2,25,B,40.04472843450479
2,26,O,48.0
2,26,Y,47.14709236031927
2,26,B,39.224242424242426
2,27,O,48.0
2,27,Y,47.226764611945065
2,27,B,40.33498759305211
2,28,O,48.0
2,28,Y,47.320830929024815
2,28,B,39.42138364779874
2,29,O,48.0
2,29,Y,47.45981435363369
2,29,B,39.00271002710027
2,30,O,48.0
2,30,Y,47.24191580231849
2,30,B,36.91641337386018
2,31,O,48.0
2,31,Y,47.46814404432133
2,31,B,41.903614457831324
2,32,O,48.0
2,32,Y,47.4758108851017
2,32,B,38.458193979933114
2,33,O,48.0
2,33,Y,47.44351928948099
2,33,B,36.360849056603776
2,34,O,48.0
2,34,Y,47.28257810301154
2,34,B,36.19634703196347
2,35,O,48.0
2,35,Y,47.36647727272727
2,35,B,36.79032258064516
2,36,O,48.0
2,36,Y,47.3691738594328
2,36,B,38.87822878228782
2,37,O,48.0
2,37,Y,47.35754489413026
2,37,B,40.619909502262445
2,38,O,48.0
2,38,Y,47.31290322580645
2,38,B,36.234234234234236
2,39,O,48.0
2,39,Y,47.246664851619926
2,39,B,37.53125
2,40,O,48.0
2,40,Y,47.406217616580314
2,40,B,37.502369668246445
2,41,O,48.0
2,41,Y,47.33167147730254
2,41,B,38.88578680203046
2,42,O,48.0
2,42,Y,47.28094415659182
2,42,B,39.01075268817204
2,43,O,48.0
2,43,Y,47.205300030459945
2,43,B,39.43788819875776
2,44,O,48.0
2,44,Y,47.48978201634878
2,44,B,39.75
2,45,O,48.0
2,45,Y,47.360407659048796
2,45,B,36.97782705099778
2,46,O,48.0
2,46,Y,47.44334719334719
2,46,B,36.043103448275865
2,47,O,48.0
2,47,Y,47.45519808561553
2,47,B,37.906054279749476
2,48,O,48.0
2,48,Y,47.28788687299893
2,48,B,41.32022471910113
2,49,O,48.0
2,49,Y,47.299191374663074
2,49,B,37.76978417266187
2,50,O,48.0
2,50,Y,47.531555132174326
2,50,B,35.59574468085106
2,51,O,48.0
2,51,Y,47.35929043896572
2,51,B,37.660071942446045
2,52,O,48.0
2,52,Y,47.34469403563129
2,52,B,37.062344139650875
2,53,O,48.0
2,53,Y,47.39271859146523
2,53,B,38.19502074688797
2,54,O,48.0
2,54,Y,47.35528500276702
2,54,B,37.99233716475096
2,55,O,48.0
2,55,Y,47.49003601440576
2,55,B,39.215859030837
2,56,O,48.0
2,56,Y,47.08140738185581
2,56,B,37.27067669172932
2,57,O,48.0
2,57,Y,47.434421841541756
2,57,B,36.458083832335326
2,58,O,48.0
2,58,Y,47.135143570536826
2,58,B,37.95548961424333
2,59,O,48.0
2,59,Y,47.461309523809526
2,59,B,38.030985915492955
2,60,O,48.0
2,60,Y,47.36620455139943
2,60,B,36.94919786096256
2,61,O,48.0
2,61,Y,47.55358346439002
2,61,B,37.46252676659529
2,62,O,48.0
2,62,Y,47.33576179917643
2,62,B,37.41977611940298
2,63,O,48.0
2,63,Y,47.293301858955445
2,63,B,40.257861635220124
2,64,O,48.0
2,64,Y,47.568288518992745
2,64,B,37.1892523364486
2,65,O,48.0
2,65,Y,47.29582089552239
2,65,B,39.2078853046595
2,66,O,48.0
2,66,Y,47.167257683215134
2,66,B,39.771929824561404
2,67,O,48.0
2,67,Y,47.35176282051282
2,67,B,37.274468085106385
2,68,O,48.0
2,68,Y,47.3149560117302
2,68,B,37.648960739030024
2,69,O,48.0
2,69,Y,47.27780665280665
2,69,B,40.04945054945055
2,70,O,48.0
2,70,Y,47.25711002585464
2,70,B,38.478873239436616
2,71,O,48.0
2,71,Y,47.35056121117202
2,71,B,38.07185628742515
2,72,O,48.0
2,72,Y,47.3260736196319
2,72,B,35.54480286738351
2,73,O,48.0
2,73,Y,47.21157801939465
2,73,B,38.3307392996109
2,74,O,48.0
2,74,Y,47.53443964537395
2,74,B,38.131147540983605
2,75,O,48.0
2,75,Y,47.43005437469105
2,75,B,38.324074074074076
2,76,O,48.0
2,76,Y,47.2382176520994
2,76,B,37.585427135678394
2,77,O,48.0
2,77,Y,47.20264175257732
2,77,B,37.03195488721804
2,78,O,48.0
2,78,Y,47.44152266466316
2,78,B,36.920212765957444
2,79,O,48.0
2,79,Y,47.158371040723985
2,79,B,39.392712550607285
2,80,O,48.0
2,80,Y,47.33921719109747
2,80,B,37.203090507726266
2,81,O,48.0
2,81,Y,47.25233644859813
2,81,B,36.56301145662848
2,82,O,48.0
2,82,Y,47.2662462297779
2,82,B,38.05298013245033
2,83,O,48.0
2,83,Y,47.34352300242131
2,83,B,38.857482185273156
2,84,O,48.0
2,84,Y,47.22143517092701
2,84,B,36.62155388471178
2,85,O,48.0
2,85,Y,47.351372967208746
